team,pos,season
Melbourne City,1,2022-23
Western Sydney Wanderers,2,2022-23
Central Coast Mariners,3,2022-23
Adelaide United,4,2022-23
Sydney FC,5,2022-23
Perth Glory FC,6,2022-23
Wellington Phoenix,7,2022-23
Macarthur FC,8,2022-23
Newcastle United Jets FC,9,2022-23
Brisbane Roar,10,2022-23
Western United FC,11,2022-23
Melbourne Victory,12,2022-23
Melbourne City,1,2021-22
Melbourne Victory,2,2021-22
Western United FC,3,2021-22
Adelaide United,4,2021-22
Central Coast Mariners,5,2021-22
Wellington Phoenix,6,2021-22
Sydney FC,7,2021-22
Newcastle United Jets FC,8,2021-22
Western Sydney Wanderers,9,2021-22
Brisbane Roar,10,2021-22
Macarthur FC,11,2021-22
Perth Glory FC,12,2021-22
Melbourne City,1,2020-21
Sydney FC,2,2020-21
Central Coast Mariners,3,2020-21
Brisbane Roar,4,2020-21
Adelaide United,5,2020-21
Macarthur FC,6,2020-21
Wellington Phoenix,7,2020-21
Western Sydney Wanderers,8,2020-21
Perth Glory FC,9,2020-21
Western United FC,10,2020-21
Newcastle United Jets FC,11,2020-21
Melbourne Victory,12,2020-21
Sydney FC,1,2019-20
Melbourne City,2,2019-20
Wellington Phoenix,3,2019-20
Brisbane Roar,4,2019-20
Western United FC,5,2019-20
Perth Glory FC,6,2019-20
Adelaide United,7,2019-20
Newcastle United Jets FC,8,2019-20
Western Sydney Wanderers,9,2019-20
Melbourne Victory,10,2019-20
Central Coast Mariners,11,2019-20
Perth Glory FC,1,2018-19
Sydney FC,2,2018-19
Melbourne Victory,3,2018-19
Adelaide United,4,2018-19
Melbourne City,5,2018-19
Wellington Phoenix,6,2018-19
Newcastle United Jets FC,7,2018-19
Western Sydney Wanderers,8,2018-19
Brisbane Roar,9,2018-19
Central Coast Mariners,10,2018-19
Sydney FC,1,2017-18
Newcastle United Jets FC,2,2017-18
Melbourne City,3,2017-18
Melbourne Victory,4,2017-18
Adelaide United,5,2017-18
Brisbane Roar,6,2017-18
Western Sydney Wanderers,7,2017-18
Perth Glory FC,8,2017-18
Wellington Phoenix,9,2017-18
Central Coast Mariners,10,2017-18
Sydney FC,1,2016-17
Melbourne Victory,2,2016-17
Brisbane Roar,3,2016-17
Melbourne City,4,2016-17
Perth Glory FC,5,2016-17
Western Sydney Wanderers,6,2016-17
Wellington Phoenix,7,2016-17
Central Coast Mariners,8,2016-17
Adelaide United,9,2016-17
Newcastle United Jets FC,10,2016-17
Adelaide United,1,2015-16
Western Sydney Wanderers,2,2015-16
Brisbane Roar,3,2015-16
Melbourne City,4,2015-16
Perth Glory FC,5,2015-16
Melbourne Victory,6,2015-16
Sydney FC,7,2015-16
Newcastle United Jets FC,8,2015-16
Wellington Phoenix,9,2015-16
Central Coast Mariners,10,2015-16
Melbourne Victory,1,2014-15
Newcastle United Jets FC,2,2014-15
Wellington Phoenix,3,2014-15
Brisbane Roar,4,2014-15
Sydney FC,5,2014-15
Melbourne City,6,2014-15
Central Coast Mariners,7,2014-15
Perth Glory FC,8,2014-15
Adelaide United,9,2014-15
Western Sydney Wanderers,10,2014-15
Brisbane Roar,1,2013-14
Western Sydney Wanderers,2,2013-14
Central Coast Mariners,3,2013-14
Melbourne Victory,4,2013-14
Sydney FC,5,2013-14
Adelaide United,6,2013-14
Newcastle United Jets FC,7,2013-14
Perth Glory FC,8,2013-14
Wellington Phoenix,9,2013-14
Melbourne City,10,2013-14
Central Coast Mariners,1,2012-13
Western Sydney Wanderers,2,2012-13
Melbourne Victory,3,2012-13
Adelaide United,4,2012-13
Brisbane Roar,5,2012-13
Perth Glory FC,6,2012-13
Sydney FC,7,2012-13
Newcastle United Jets FC,8,2012-13
Melbourne City,9,2012-13
Wellington Phoenix,10,2012-13
Central Coast Mariners,1,2011-12
Brisbane Roar,2,2011-12
Perth Glory FC,3,2011-12
Wellington Phoenix,4,2011-12
Sydney FC,5,2011-12
Melbourne City,6,2011-12
Newcastle United Jets FC,7,2011-12
Melbourne Victory,8,2011-12
Adelaide United,9,2011-12
Gold Coast United,10,2011-12
Brisbane Roar,1,2010-11
Central Coast Mariners,2,2010-11
Adelaide United,3,2010-11
Gold Coast United,4,2010-11
Melbourne Victory,5,2010-11
Wellington Phoenix,6,2010-11
Newcastle United Jets FC,7,2010-11
Melbourne City,8,2010-11
Sydney FC,9,2010-11
Perth Glory FC,10,2010-11
North Queensland Fury FC,11,2010-11
Sydney FC,1,2009-10
Melbourne Victory,2,2009-10
Gold Coast United,3,2009-10
Wellington Phoenix,4,2009-10
Perth Glory FC,5,2009-10
Newcastle United Jets FC,6,2009-10
North Queensland Fury FC,7,2009-10
Central Coast Mariners,8,2009-10
Brisbane Roar,9,2009-10
Adelaide United,10,2009-10
