team,pos,season
Pachuca,1,2022-22
Tigres U.A.N.L.,2,2022-22
Club América,3,2022-22
Puebla,4,2022-22
Guadalajara,5,2022-22
Monterrey,6,2022-22
Cruz Azul,7,2022-22
Atlas,8,2022-22
Club Necaxa,9,2022-22
Club Atlético de San Luis,10,2022-22
Pumas U.N.A.M.,11,2022-22
Mazatlán FC,12,2022-22
Club León,13,2022-22
Santos Laguna,14,2022-22
Toluca,15,2022-22
Querétaro,16,2022-22
Tijuana,17,2022-22
FC Juárez,18,2022-22
Club América,1,2021-21
Cruz Azul,2,2021-21
Puebla,3,2021-21
Monterrey,4,2021-21
Santos Laguna,5,2021-21
Club León,6,2021-21
Pachuca,7,2021-21
Guadalajara,8,2021-21
Tigres U.A.N.L.,9,2021-21
Toluca,10,2021-21
Atlas,11,2021-21
Querétaro,12,2021-21
Mazatlán FC,13,2021-21
Tijuana,14,2021-21
Pumas U.N.A.M.,15,2021-21
FC Juárez,16,2021-21
Club Atlético de San Luis,17,2021-21
Club Necaxa,18,2021-21
Cruz Azul,1,2020-20
Club León,2,2020-20
Santos Laguna,3,2020-20
Club América,4,2020-20
Guadalajara,5,2020-20
Pumas U.N.A.M.,6,2020-20
Tigres U.A.N.L.,7,2020-20
FC Juárez,8,2020-20
Monarcas Morelia,9,2020-20
Puebla,10,2020-20
Pachuca,11,2020-20
Querétaro,12,2020-20
Club Atlético de San Luis,13,2020-20
Club Necaxa,14,2020-20
Toluca,15,2020-20
Tijuana,16,2020-20
Atlas,17,2020-20
Monterrey,18,2020-20
Club León,1,2019-19
Tigres U.A.N.L.,2,2019-19
Club América,3,2019-19
Monterrey,4,2019-19
Cruz Azul,5,2019-19
Club Necaxa,6,2019-19
Pachuca,7,2019-19
Tijuana,8,2019-19
Toluca,9,2019-19
Puebla,10,2019-19
Santos Laguna,11,2019-19
Lobos B.U.A.P.,12,2019-19
Atlas,13,2019-19
Guadalajara,14,2019-19
Pumas U.N.A.M.,15,2019-19
Monarcas Morelia,16,2019-19
Querétaro,17,2019-19
Tiburones Rojos de Veracruz,18,2019-19
Toluca,1,2018-18
Club América,2,2018-18
Monterrey,3,2018-18
Santos Laguna,4,2018-18
Tigres U.A.N.L.,5,2018-18
Tijuana,6,2018-18
Pumas U.N.A.M.,7,2018-18
Monarcas Morelia,8,2018-18
Pachuca,9,2018-18
Puebla,10,2018-18
Club Necaxa,11,2018-18
Cruz Azul,12,2018-18
Club León,13,2018-18
Querétaro,14,2018-18
Atlas,15,2018-18
Tiburones Rojos de Veracruz,16,2018-18
Guadalajara,17,2018-18
Lobos B.U.A.P.,18,2018-18
Tijuana,1,2017-17
Monterrey,2,2017-17
Guadalajara,3,2017-17
Toluca,4,2017-17
Santos Laguna,5,2017-17
Atlas,6,2017-17
Tigres U.A.N.L.,7,2017-17
Monarcas Morelia,8,2017-17
Club América,9,2017-17
Pachuca,10,2017-17
Cruz Azul,11,2017-17
Club Necaxa,12,2017-17
Tiburones Rojos de Veracruz,13,2017-17
Club León,14,2017-17
Querétaro,15,2017-17
Jaguares de Chiapas,16,2017-17
Pumas U.N.A.M.,17,2017-17
Puebla,18,2017-17
Monterrey,1,2016-16
Pachuca,2,2016-16
Club León,3,2016-16
Club América,4,2016-16
Guadalajara,5,2016-16
Monarcas Morelia,6,2016-16
Santos Laguna,7,2016-16
Tigres U.A.N.L.,8,2016-16
Cruz Azul,9,2016-16
Pumas U.N.A.M.,10,2016-16
Toluca,11,2016-16
Puebla,12,2016-16
Querétaro,13,2016-16
Tijuana,14,2016-16
Atlas,15,2016-16
Sinaloa,16,2016-16
Tiburones Rojos de Veracruz,17,2016-16
Jaguares de Chiapas,18,2016-16
Club América,1,2015-15
