team,pos,season
Feyenoord,1,2022-23
AZ Alkmaar,2,2022-23
Ajax,3,2022-23
PSV,4,2022-23
FC Twente,5,2022-23
Sparta Rotterdam,6,2022-23
FC Utrecht,7,2022-23
SC Heerenveen,8,2022-23
RKC Waalwijk,9,2022-23
NEC Nijmegen,10,2022-23
Fortuna Sittard,11,2022-23
Go Ahead Eagles,12,2022-23
Vitesse,13,2022-23
SBV Excelsior,14,2022-23
FC Volendam,15,2022-23
FC Emmen,16,2022-23
FC Groningen,17,2022-23
SC Cambuur,18,2022-23
Ajax,1,2021-22
PSV,2,2021-22
Feyenoord,3,2021-22
FC Twente,4,2021-22
AZ Alkmaar,5,2021-22
Vitesse,6,2021-22
FC Utrecht,7,2021-22
SC Heerenveen,8,2021-22
SC Cambuur,9,2021-22
RKC Waalwijk,10,2021-22
NEC Nijmegen,11,2021-22
FC Groningen,12,2021-22
Go Ahead Eagles,13,2021-22
Sparta Rotterdam,14,2021-22
Fortuna Sittard,15,2021-22
Heracles Almelo,16,2021-22
Willem II,17,2021-22
PEC Zwolle,18,2021-22
Ajax,1,2020-21
PSV,2,2020-21
AZ Alkmaar,3,2020-21
Vitesse,4,2020-21
Feyenoord,5,2020-21
FC Utrecht,6,2020-21
FC Groningen,7,2020-21
Sparta Rotterdam,8,2020-21
Heracles Almelo,9,2020-21
FC Twente,10,2020-21
Fortuna Sittard,11,2020-21
SC Heerenveen,12,2020-21
PEC Zwolle,13,2020-21
Willem II,14,2020-21
RKC Waalwijk,15,2020-21
FC Emmen,16,2020-21
VVV-Venlo,17,2020-21
ADO Den Haag,18,2020-21
Ajax,1,2019-20
AZ Alkmaar,2,2019-20
Feyenoord,3,2019-20
PSV,4,2019-20
Willem II,5,2019-20
FC Utrecht,6,2019-20
Vitesse,7,2019-20
Heracles Almelo,8,2019-20
FC Groningen,9,2019-20
SC Heerenveen,10,2019-20
Sparta Rotterdam,11,2019-20
FC Emmen,12,2019-20
VVV-Venlo,13,2019-20
FC Twente,14,2019-20
PEC Zwolle,15,2019-20
Fortuna Sittard,16,2019-20
ADO Den Haag,17,2019-20
RKC Waalwijk,18,2019-20
Ajax,1,2018-19
PSV,2,2018-19
Feyenoord,3,2018-19
AZ Alkmaar,4,2018-19
Vitesse,5,2018-19
FC Utrecht,6,2018-19
Heracles Almelo,7,2018-19
FC Groningen,8,2018-19
Willem II,9,2018-19
ADO Den Haag,10,2018-19
SC Heerenveen,11,2018-19
VVV-Venlo,12,2018-19
PEC Zwolle,13,2018-19
FC Emmen,14,2018-19
Fortuna Sittard,15,2018-19
SBV Excelsior,16,2018-19
De Graafschap,17,2018-19
NAC Breda,18,2018-19
PSV,1,2017-18
Ajax,2,2017-18
AZ Alkmaar,3,2017-18
Feyenoord,4,2017-18
FC Utrecht,5,2017-18
Vitesse,6,2017-18
ADO Den Haag,7,2017-18
SC Heerenveen,8,2017-18
PEC Zwolle,9,2017-18
Heracles Almelo,10,2017-18
SBV Excelsior,11,2017-18
FC Groningen,12,2017-18
Willem II,13,2017-18
NAC Breda,14,2017-18
VVV-Venlo,15,2017-18
Roda JC Kerkrade,16,2017-18
Sparta Rotterdam,17,2017-18
FC Twente,18,2017-18
Feyenoord,1,2016-17
Ajax,2,2016-17
PSV,3,2016-17
FC Utrecht,4,2016-17
Vitesse,5,2016-17
AZ Alkmaar,6,2016-17
FC Twente,7,2016-17
FC Groningen,8,2016-17
SC Heerenveen,9,2016-17
Heracles Almelo,10,2016-17
ADO Den Haag,11,2016-17
SBV Excelsior,12,2016-17
Willem II,13,2016-17
PEC Zwolle,14,2016-17
Sparta Rotterdam,15,2016-17
NEC Nijmegen,16,2016-17
Roda JC Kerkrade,17,2016-17
Go Ahead Eagles,18,2016-17
PSV,1,2015-16
Ajax,2,2015-16
Feyenoord,3,2015-16
AZ Alkmaar,4,2015-16
FC Utrecht,5,2015-16
Heracles Almelo,6,2015-16
FC Groningen,7,2015-16
PEC Zwolle,8,2015-16
Vitesse,9,2015-16
NEC Nijmegen,10,2015-16
ADO Den Haag,11,2015-16
FC Twente,12,2015-16
SC Heerenveen,13,2015-16
Roda JC Kerkrade,14,2015-16
SBV Excelsior,15,2015-16
Willem II,16,2015-16
De Graafschap,17,2015-16
SC Cambuur,18,2015-16
ADO Den Haag,1,2014-15
Vitesse,2,2014-15
SC Heerenveen,3,2014-15
PSV,4,2014-15
PEC Zwolle,5,2014-15
NAC Breda,6,2014-15
Heracles Almelo,7,2014-15
Go Ahead Eagles,8,2014-15
Feyenoord,9,2014-15
FC Utrecht,10,2014-15
FC Twente,11,2014-15
FC Groningen,12,2014-15
FC Dordrecht,13,2014-15
SBV Excelsior,14,2014-15
SC Cambuur,15,2014-15
AZ Alkmaar,16,2014-15
Ajax,17,2014-15
Willem II,18,2014-15
Ajax,1,2013-14
Feyenoord,2,2013-14
FC Twente,3,2013-14
PSV,4,2013-14
SC Heerenveen,5,2013-14
Vitesse,6,2013-14
FC Groningen,7,2013-14
AZ Alkmaar,8,2013-14
ADO Den Haag,9,2013-14
FC Utrecht,10,2013-14
PEC Zwolle,11,2013-14
SC Cambuur,12,2013-14
Go Ahead Eagles,13,2013-14
Heracles Almelo,14,2013-14
NAC Breda,15,2013-14
RKC Waalwijk,16,2013-14
NEC Nijmegen,17,2013-14
Roda JC Kerkrade,18,2013-14
Ajax,1,2012-13
FC Utrecht,2,2012-13
FC Twente,3,2012-13
PSV,4,2012-13
Feyenoord,5,2012-13
Vitesse,6,2012-13
FC Groningen,7,2012-13
SC Heerenveen,8,2012-13
ADO Den Haag,9,2012-13
AZ Alkmaar,10,2012-13
PEC Zwolle,11,2012-13
Heracles Almelo,12,2012-13
NAC Breda,13,2012-13
RKC Waalwijk,14,2012-13
NEC Nijmegen,15,2012-13
Roda JC Kerkrade,16,2012-13
VVV-Venlo,17,2012-13
Willem II,18,2012-13
Ajax,1,2011-12
PSV,2,2011-12
Feyenoord,3,2011-12
AZ Alkmaar,4,2011-12
SC Heerenveen,5,2011-12
FC Twente,6,2011-12
Vitesse,7,2011-12
RKC Waalwijk,8,2011-12
NEC Nijmegen,9,2011-12
Roda JC Kerkrade,10,2011-12
FC Utrecht,11,2011-12
Heracles Almelo,12,2011-12
NAC Breda,13,2011-12
FC Groningen,14,2011-12
ADO Den Haag,15,2011-12
VVV-Venlo,16,2011-12
De Graafschap,17,2011-12
SBV Excelsior,18,2011-12
Ajax,1,2010-11
FC Twente,2,2010-11
PSV,3,2010-11
FC Groningen,4,2010-11
AZ Alkmaar,5,2010-11
ADO Den Haag,6,2010-11
Roda JC Kerkrade,7,2010-11
Heracles Almelo,8,2010-11
FC Utrecht,9,2010-11
Feyenoord,10,2010-11
NEC Nijmegen,11,2010-11
NAC Breda,12,2010-11
SC Heerenveen,13,2010-11
De Graafschap,14,2010-11
Vitesse,15,2010-11
SBV Excelsior,16,2010-11
VVV-Venlo,17,2010-11
Willem II,18,2010-11
FC Twente,1,2009-10
Ajax,2,2009-10
PSV,3,2009-10
Feyenoord,4,2009-10
AZ Alkmaar,5,2009-10
Heracles Almelo,6,2009-10
FC Utrecht,7,2009-10
FC Groningen,8,2009-10
Roda JC Kerkrade,9,2009-10
NAC Breda,10,2009-10
SC Heerenveen,11,2009-10
VVV-Venlo,12,2009-10
NEC Nijmegen,13,2009-10
Vitesse,14,2009-10
ADO Den Haag,15,2009-10
Sparta Rotterdam,16,2009-10
Willem II,17,2009-10
RKC Waalwijk,18,2009-10
