team,pos,season
Leyton Orient,1,2022-23
Stevenage FC,2,2022-23
Carlisle United,3,2022-23
Northampton Town,4,2022-23
Stockport County,5,2022-23
Bradford City,6,2022-23
Salford City,7,2022-23
Mansfield Town,8,2022-23
Sutton United,9,2022-23
Swindon Town,10,2022-23
Barrow,11,2022-23
Tranmere Rovers,12,2022-23
Doncaster Rovers,13,2022-23
Walsall,14,2022-23
AFC Wimbledon,15,2022-23
Grimsby Town,16,2022-23
Crewe Alexandra,17,2022-23
Newport County AFC,18,2022-23
Colchester United,19,2022-23
Gillingham,20,2022-23
Harrogate Town,21,2022-23
Hartlepool United,22,2022-23
Crawley Town,23,2022-23
Rochdale,24,2022-23
Forest Green Rovers,1,2021-22
Exeter City,2,2021-22
Bristol Rovers,3,2021-22
Northampton Town,4,2021-22
Port Vale,5,2021-22
Swindon Town,6,2021-22
Mansfield Town,7,2021-22
Sutton United,8,2021-22
Tranmere Rovers,9,2021-22
Salford City,10,2021-22
Newport County AFC,11,2021-22
Crawley Town,12,2021-22
Leyton Orient,13,2021-22
Bradford City,14,2021-22
Colchester United,15,2021-22
Walsall,16,2021-22
Hartlepool United,17,2021-22
Rochdale,18,2021-22
Harrogate Town,19,2021-22
Carlisle United,20,2021-22
Stevenage FC,21,2021-22
Barrow,22,2021-22
Oldham Athletic,23,2021-22
Scunthorpe United,24,2021-22
Cheltenham Town,1,2020-21
Cambridge United,2,2020-21
Bolton Wanderers,3,2020-21
Morecambe,4,2020-21
Newport County AFC,5,2020-21
Forest Green Rovers,6,2020-21
Tranmere Rovers,7,2020-21
Salford City,8,2020-21
Exeter City,9,2020-21
Carlisle United,10,2020-21
Leyton Orient,11,2020-21
Crawley Town,12,2020-21
Port Vale,13,2020-21
Stevenage FC,14,2020-21
Bradford City,15,2020-21
Mansfield Town,16,2020-21
Harrogate Town,17,2020-21
Oldham Athletic,18,2020-21
Walsall,19,2020-21
Colchester United,20,2020-21
Barrow,21,2020-21
Scunthorpe United,22,2020-21
Southend United,23,2020-21
Grimsby Town,24,2020-21
Swindon Town,1,2019-20
Crewe Alexandra,2,2019-20
Plymouth Argyle,3,2019-20
Cheltenham Town,4,2019-20
Exeter City,5,2019-20
Colchester United,6,2019-20
Northampton Town,7,2019-20
Port Vale,8,2019-20
Bradford City,9,2019-20
Forest Green Rovers,10,2019-20
Salford City,11,2019-20
Walsall,12,2019-20
Crawley Town,13,2019-20
Newport County AFC,14,2019-20
Grimsby Town,15,2019-20
Cambridge United,16,2019-20
Leyton Orient,17,2019-20
Carlisle United,18,2019-20
Oldham Athletic,19,2019-20
Scunthorpe United,20,2019-20
Mansfield Town,21,2019-20
Morecambe,22,2019-20
Macclesfield Town,23,2019-20
Stevenage FC,24,2019-20
Lincoln City,1,2018-19
Bury,2,2018-19
Milton Keynes,3,2018-19
