team,pos,season
BSC Young Boys,1,2022-23
FC St. Gallen 1879,2,2022-23
AC Lugano,3,2022-23
Servette FC,4,2022-23
FC Luzern,5,2022-23
Grasshoppers Zürich,6,2022-23
FC Basel 1893,7,2022-23
FC Sion,8,2022-23
FC Zürich,9,2022-23
FC Winterthur,10,2022-23
FC Zürich,1,2021-22
FC Basel 1893,2,2021-22
BSC Young Boys,3,2021-22
AC Lugano,4,2021-22
FC St. Gallen 1879,5,2021-22
Servette FC,6,2021-22
FC Sion,7,2021-22
Grasshoppers Zürich,8,2021-22
FC Luzern,9,2021-22
FC Lausanne-Sport,10,2021-22
BSC Young Boys,1,2020-21
FC Basel 1893,2,2020-21
Servette FC,3,2020-21
AC Lugano,4,2020-21
FC Luzern,5,2020-21
FC Lausanne-Sport,6,2020-21
FC St. Gallen 1879,7,2020-21
FC Zürich,8,2020-21
FC Sion,9,2020-21
FC Vaduz,10,2020-21
BSC Young Boys,1,2019-20
FC St. Gallen 1879,2,2019-20
FC Basel 1893,3,2019-20
Servette FC,4,2019-20
AC Lugano,5,2019-20
FC Luzern,6,2019-20
FC Zürich,7,2019-20
FC Sion,8,2019-20
FC Thun,9,2019-20
Neuchâtel Xamax,10,2019-20
BSC Young Boys,1,2018-19
FC Basel 1893,2,2018-19
FC Thun,3,2018-19
FC Luzern,4,2018-19
FC St. Gallen 1879,5,2018-19
FC Zürich,6,2018-19
AC Lugano,7,2018-19
FC Sion,8,2018-19
Neuchâtel Xamax,9,2018-19
Grasshoppers Zürich,10,2018-19
BSC Young Boys,1,2017-18
FC Basel 1893,2,2017-18
FC Luzern,3,2017-18
FC Zürich,4,2017-18
FC St. Gallen 1879,5,2017-18
FC Sion,6,2017-18
AC Lugano,7,2017-18
Grasshoppers Zürich,8,2017-18
FC Thun,9,2017-18
FC Lausanne-Sport,10,2017-18
FC Basel 1893,1,2016-17
BSC Young Boys,2,2016-17
AC Lugano,3,2016-17
FC Sion,4,2016-17
FC Luzern,5,2016-17
FC Thun,6,2016-17
FC St. Gallen 1879,7,2016-17
Grasshoppers Zürich,8,2016-17
FC Lausanne-Sport,9,2016-17
FC Vaduz,10,2016-17
FC Basel 1893,1,2015-16
BSC Young Boys,2,2015-16
FC Luzern,3,2015-16
Grasshoppers Zürich,4,2015-16
FC Sion,5,2015-16
FC Thun,6,2015-16
FC St. Gallen 1879,7,2015-16
FC Vaduz,8,2015-16
AC Lugano,9,2015-16
FC Zürich,10,2015-16
FC Aarau,1,2014-15
FC Thun,2,2014-15
FC St. Gallen 1879,3,2014-15
FC Sion,4,2014-15
FC Luzern,5,2014-15
Grasshoppers Zürich,6,2014-15
FC Zürich,7,2014-15
FC Vaduz,8,2014-15
FC Basel 1893,9,2014-15
BSC Young Boys,10,2014-15
FC Basel 1893,1,2013-14
Grasshoppers Zürich,2,2013-14
BSC Young Boys,3,2013-14
FC Luzern,4,2013-14
FC Zürich,5,2013-14
FC Thun,6,2013-14
FC St. Gallen 1879,7,2013-14
FC Sion,8,2013-14
FC Aarau,9,2013-14
FC Lausanne-Sport,10,2013-14
FC Basel 1893,1,2012-13
Grasshoppers Zürich,2,2012-13
FC St. Gallen 1879,3,2012-13
FC Zürich,4,2012-13
FC Thun,5,2012-13
FC Sion,6,2012-13
BSC Young Boys,7,2012-13
FC Luzern,8,2012-13
FC Lausanne-Sport,9,2012-13
Servette FC,10,2012-13
FC Basel 1893,1,2011-12
FC Luzern,2,2011-12
FC Sion,3,2011-12
BSC Young Boys,4,2011-12
Servette FC,5,2011-12
FC Thun,6,2011-12
FC Zürich,7,2011-12
FC Lausanne-Sport,8,2011-12
Neuchâtel Xamax,9,2011-12
Grasshoppers Zürich,10,2011-12
FC Basel 1893,1,2010-11
FC Zürich,2,2010-11
BSC Young Boys,3,2010-11
FC Sion,4,2010-11
FC Thun,5,2010-11
FC Luzern,6,2010-11
Grasshoppers Zürich,7,2010-11
Neuchâtel Xamax,8,2010-11
AC Bellinzona,9,2010-11
FC St. Gallen 1879,10,2010-11
FC Basel 1893,1,2009-10
BSC Young Boys,2,2009-10
Grasshoppers Zürich,3,2009-10
FC Luzern,4,2009-10
FC Sion,5,2009-10
FC St. Gallen 1879,6,2009-10
FC Zürich,7,2009-10
Neuchâtel Xamax,8,2009-10
AC Bellinzona,9,2009-10
FC Aarau,10,2009-10
