team,pos,season
RKS Raków Częstochowa SA,1,2022-23
Legia Warszawa,2,2022-23
Lech Poznań,3,2022-23
Widzew Łódź,4,2022-23
Pogoń Szczecin,5,2022-23
Cracovia,6,2022-23
Wisła Płock,7,2022-23
Stal Mielec,8,2022-23
Radomiak Radom,9,2022-23
Warta Poznań,10,2022-23
Śląsk Wrocław,11,2022-23
Górnik Zabrze,12,2022-23
Lechia Gdańsk,13,2022-23
Jagiellonia Białystok,14,2022-23
Zagłębie Lubin,15,2022-23
Piast Gliwice,16,2022-23
Miedź Legnica,17,2022-23
Korona Kielce,18,2022-23
Lech Poznań,1,2021-22
RKS Raków Częstochowa SA,2,2021-22
Pogoń Szczecin,3,2021-22
Lechia Gdańsk,4,2021-22
Piast Gliwice,5,2021-22
Wisła Płock,6,2021-22
Górnik Zabrze,7,2021-22
Cracovia,8,2021-22
Legia Warszawa,9,2021-22
Jagiellonia Białystok,10,2021-22
Zagłębie Lubin,11,2021-22
Śląsk Wrocław,12,2021-22
Termalica Bruk-Bet Nieciecza,13,2021-22
Wisła Kraków,14,2021-22
Górnik Łęczna,15,2021-22
Warta Poznań,16,2021-22
Radomiak Radom,17,2021-22
Stal Mielec,18,2021-22
Legia Warszawa,1,2020-21
RKS Raków Częstochowa SA,2,2020-21
Pogoń Szczecin,3,2020-21
Warta Poznań,4,2020-21
Piast Gliwice,5,2020-21
Śląsk Wrocław,6,2020-21
Lechia Gdańsk,7,2020-21
Zagłębie Lubin,8,2020-21
Lech Poznań,9,2020-21
Jagiellonia Białystok,10,2020-21
Górnik Zabrze,11,2020-21
Cracovia,12,2020-21
Wisła Kraków,13,2020-21
Wisła Płock,14,2020-21
Stal Mielec,15,2020-21
Podbeskidzie Bielsko-Biała,16,2020-21
Legia Warszawa,1,2019-20
Lech Poznań,2,2019-20
Piast Gliwice,3,2019-20
Lechia Gdańsk,4,2019-20
Śląsk Wrocław,5,2019-20
Pogoń Szczecin,6,2019-20
Cracovia,7,2019-20
Zagłębie Lubin,8,2019-20
Górnik Zabrze,9,2019-20
Jagiellonia Białystok,10,2019-20
RKS Raków Częstochowa SA,11,2019-20
Wisła Płock,12,2019-20
Wisła Kraków,13,2019-20
Arka Gdynia,14,2019-20
Korona Kielce,15,2019-20
ŁKS Łódź,16,2019-20
Piast Gliwice,1,2018-19
Legia Warszawa,2,2018-19
Lechia Gdańsk,3,2018-19
Jagiellonia Białystok,4,2018-19
Cracovia,5,2018-19
Zagłębie Lubin,6,2018-19
Pogoń Szczecin,7,2018-19
Lech Poznań,8,2018-19
Korona Kielce,9,2018-19
Wisła Kraków,10,2018-19
Górnik Zabrze,11,2018-19
Śląsk Wrocław,12,2018-19
Arka Gdynia,13,2018-19
Wisła Płock,14,2018-19
Miedź Legnica,15,2018-19
Zagłębie Sosnowiec,16,2018-19
Legia Warszawa,1,2017-18
Jagiellonia Białystok,2,2017-18
Lech Poznań,3,2017-18
Górnik Zabrze,4,2017-18
Wisła Płock,5,2017-18
Wisła Kraków,6,2017-18
Zagłębie Lubin,7,2017-18
Cracovia,8,2017-18
Śląsk Wrocław,9,2017-18
Korona Kielce,10,2017-18
Pogoń Szczecin,11,2017-18
Arka Gdynia,12,2017-18
Lechia Gdańsk,13,2017-18
Piast Gliwice,14,2017-18
Termalica Bruk-Bet Nieciecza,15,2017-18
Sandecja Nowy Sącz,16,2017-18
Legia Warszawa,1,2016-17
