team,pos,season
Galatasaray SK,1,2022-23
Fenerbahçe SK,2,2022-23
İstanbul Başakşehir FK,3,2022-23
Beşiktaş JK,4,2022-23
Adana Demirspor,5,2022-23
Trabzonspor,6,2022-23
Kayserispor,7,2022-23
Konyaspor,8,2022-23
Karagümrük SK,9,2022-23
Gaziantep FK,10,2022-23
Alanyaspor,11,2022-23
Sivasspor,12,2022-23
Antalyaspor,13,2022-23
Hatayspor,14,2022-23
MKE Ankaragücü,15,2022-23
Kasimpaşa SK,16,2022-23
Giresunspor,17,2022-23
İstanbulspor,18,2022-23
Ümraniyespor,19,2022-23
Trabzonspor,1,2021-22
Fenerbahçe SK,2,2021-22
Konyaspor,3,2021-22
İstanbul Başakşehir FK,4,2021-22
Alanyaspor,5,2021-22
Beşiktaş JK,6,2021-22
Antalyaspor,7,2021-22
Sivasspor,8,2021-22
Kasimpaşa SK,9,2021-22
Galatasaray SK,10,2021-22
Kayserispor,11,2021-22
Çaykur Rizespor,12,2021-22
Karagümrük SK,13,2021-22
Göztepe SK,14,2021-22
Adana Demirspor,15,2021-22
Giresunspor,16,2021-22
Hatayspor,17,2021-22
Evkur Yeni Malatyaspor,18,2021-22
Gaziantep FK,19,2021-22
Altay,20,2021-22
Beşiktaş JK,1,2020-21
Galatasaray SK,2,2020-21
Fenerbahçe SK,3,2020-21
Trabzonspor,4,2020-21
Sivasspor,5,2020-21
Hatayspor,6,2020-21
Alanyaspor,7,2020-21
Karagümrük SK,8,2020-21
Gaziantep FK,9,2020-21
Göztepe SK,10,2020-21
Konyaspor,11,2020-21
İstanbul Başakşehir FK,12,2020-21
Çaykur Rizespor,13,2020-21
Kasimpaşa SK,14,2020-21
Evkur Yeni Malatyaspor,15,2020-21
Antalyaspor,16,2020-21
Kayserispor,17,2020-21
BB Erzurumspor,18,2020-21
MKE Ankaragücü,19,2020-21
Gençlerbirligi SK,20,2020-21
Denizlispor,21,2020-21
İstanbul Başakşehir FK,1,2019-20
Trabzonspor,2,2019-20
Beşiktaş JK,3,2019-20
Sivasspor,4,2019-20
Alanyaspor,5,2019-20
Galatasaray SK,6,2019-20
Fenerbahçe SK,7,2019-20
Gaziantep FK,8,2019-20
Kasimpaşa SK,9,2019-20
Göztepe SK,10,2019-20
Antalyaspor,11,2019-20
Konyaspor,12,2019-20
Gençlerbirligi SK,13,2019-20
Çaykur Rizespor,14,2019-20
Denizlispor,15,2019-20
Evkur Yeni Malatyaspor,16,2019-20
MKE Ankaragücü,17,2019-20
Kayserispor,18,2019-20
Galatasaray SK,1,2018-19
İstanbul Başakşehir FK,2,2018-19
Beşiktaş JK,3,2018-19
Trabzonspor,4,2018-19
Evkur Yeni Malatyaspor,5,2018-19
Fenerbahçe SK,6,2018-19
Antalyaspor,7,2018-19
Konyaspor,8,2018-19
Çaykur Rizespor,9,2018-19
Alanyaspor,10,2018-19
Sivasspor,11,2018-19
MKE Ankaragücü,12,2018-19
Kasimpaşa SK,13,2018-19
Göztepe SK,14,2018-19
Kayserispor,15,2018-19
Bursaspor,16,2018-19
BB Erzurumspor,17,2018-19
Akhisar Belediyespor,18,2018-19
Galatasaray SK,1,2017-18
Fenerbahçe SK,2,2017-18
İstanbul Başakşehir FK,3,2017-18
Beşiktaş JK,4,2017-18
Trabzonspor,5,2017-18
Göztepe SK,6,2017-18
Sivasspor,7,2017-18
Kasimpaşa SK,8,2017-18
Kayserispor,9,2017-18
Evkur Yeni Malatyaspor,10,2017-18
Akhisar Belediyespor,11,2017-18
Alanyaspor,12,2017-18
Bursaspor,13,2017-18
Antalyaspor,14,2017-18
Konyaspor,15,2017-18
Osmanlıspor,16,2017-18
Gençlerbirligi SK,17,2017-18
Kardemir Karabükspor,18,2017-18
Beşiktaş JK,1,2016-17
İstanbul Başakşehir FK,2,2016-17
Fenerbahçe SK,3,2016-17
Galatasaray SK,4,2016-17
Antalyaspor,5,2016-17
Trabzonspor,6,2016-17
Akhisar Belediyespor,7,2016-17
Gençlerbirligi SK,8,2016-17
Kasimpaşa SK,9,2016-17
Konyaspor,10,2016-17
Kardemir Karabükspor,11,2016-17
Alanyaspor,12,2016-17
Osmanlıspor,13,2016-17
Kayserispor,14,2016-17
Bursaspor,15,2016-17
Çaykur Rizespor,16,2016-17
Gaziantep FK,17,2016-17
Adanaspor,18,2016-17
Beşiktaş JK,1,2015-16
Fenerbahçe SK,2,2015-16
Konyaspor,3,2015-16
İstanbul Başakşehir FK,4,2015-16
Osmanlıspor,5,2015-16
Galatasaray SK,6,2015-16
Kasimpaşa SK,7,2015-16
Akhisar Belediyespor,8,2015-16
Antalyaspor,9,2015-16
Gençlerbirligi SK,10,2015-16
Bursaspor,11,2015-16
Trabzonspor,12,2015-16
Çaykur Rizespor,13,2015-16
Gaziantep FK,14,2015-16
Kayserispor,15,2015-16
Sivasspor,16,2015-16
Eskişehirspor SK,17,2015-16
Mersin İdman Yurdu,18,2015-16
Galatasaray SK,1,2014-15
Mersin İdman Yurdu,2,2014-15
Sivasspor,3,2014-15
Konyaspor,4,2014-15
Balıkesirspor,5,2014-15
Kardemir Karabükspor,6,2014-15
Trabzonspor,7,2014-15
Kayseri Erciyesspor,8,2014-15
Çaykur Rizespor,9,2014-15
Kasimpaşa SK,10,2014-15
İstanbul Başakşehir FK,11,2014-15
Gençlerbirligi SK,12,2014-15
Beşiktaş JK,13,2014-15
Gaziantep FK,14,2014-15
Eskişehirspor SK,15,2014-15
Akhisar Belediyespor,16,2014-15
Fenerbahçe SK,17,2014-15
Bursaspor,18,2014-15
Fenerbahçe SK,1,2013-14
Galatasaray SK,2,2013-14
Beşiktaş JK,3,2013-14
Kasimpaşa SK,4,2013-14
Trabzonspor,5,2013-14
Sivasspor,6,2013-14
Kardemir Karabükspor,7,2013-14
Bursaspor,8,2013-14
Gençlerbirligi SK,9,2013-14
Akhisar Belediyespor,10,2013-14
Konyaspor,11,2013-14
Çaykur Rizespor,12,2013-14
Eskişehirspor SK,13,2013-14
Kayseri Erciyesspor,14,2013-14
Gaziantep FK,15,2013-14
Elazığspor,16,2013-14
Antalyaspor,17,2013-14
Kayserispor,18,2013-14
Galatasaray SK,1,2012-13
Fenerbahçe SK,2,2012-13
Beşiktaş JK,3,2012-13
Bursaspor,4,2012-13
Kayserispor,5,2012-13
Kasimpaşa SK,6,2012-13
Antalyaspor,7,2012-13
Eskişehirspor SK,8,2012-13
Trabzonspor,9,2012-13
Gaziantep FK,10,2012-13
Gençlerbirligi SK,11,2012-13
Sivasspor,12,2012-13
Elazığspor,13,2012-13
Akhisar Belediyespor,14,2012-13
Kardemir Karabükspor,15,2012-13
İstanbul Başakşehir FK,16,2012-13
Orduspor,17,2012-13
Mersin İdman Yurdu,18,2012-13
Galatasaray SK,1,2011-12
Fenerbahçe SK,2,2011-12
Bursaspor,3,2011-12
Eskişehirspor SK,4,2011-12
Trabzonspor,5,2011-12
Beşiktaş JK,6,2011-12
İstanbul Başakşehir FK,7,2011-12
Sivasspor,8,2011-12
Gençlerbirligi SK,9,2011-12
Gaziantep FK,10,2011-12
Kayserispor,11,2011-12
Kardemir Karabükspor,12,2011-12
Orduspor,13,2011-12
Mersin İdman Yurdu,14,2011-12
Antalyaspor,15,2011-12
Samsunspor,16,2011-12
Vestel Manisaspor,17,2011-12
MKE Ankaragücü,18,2011-12
Fenerbahçe SK,1,2010-11
Trabzonspor,2,2010-11
Bursaspor,3,2010-11
Gaziantep FK,4,2010-11
Beşiktaş JK,5,2010-11
Kayserispor,6,2010-11
Eskişehirspor SK,7,2010-11
Galatasaray SK,8,2010-11
Kardemir Karabükspor,9,2010-11
Vestel Manisaspor,10,2010-11
İstanbul Başakşehir FK,11,2010-11
Antalyaspor,12,2010-11
MKE Ankaragücü,13,2010-11
Gençlerbirligi SK,14,2010-11
Sivasspor,15,2010-11
Bucaspor,16,2010-11
Konyaspor,17,2010-11
Kasimpaşa SK,18,2010-11
Bursaspor,1,2009-10
Fenerbahçe SK,2,2009-10
Galatasaray SK,3,2009-10
Beşiktaş JK,4,2009-10
