team,pos,season
FC Red Bull Salzburg,1,2022-23
SK Sturm Graz,2,2022-23
LASK Linz,3,2022-23
SK Rapid Wien,4,2022-23
WSG Tirol,5,2022-23
FK Austria Wien,6,2022-23
SK Austria Klagenfurt,7,2022-23
SC Austria Lustenau,8,2022-23
Wolfsberger AC,9,2022-23
SCR Altach,10,2022-23
SV Josko Ried,11,2022-23
TSV Hartberg,12,2022-23
FC Red Bull Salzburg,1,2020-21
SK Rapid Wien,2,2020-21
SK Sturm Graz,3,2020-21
LASK Linz,4,2020-21
TSV Hartberg,5,2020-21
Wolfsberger AC,6,2020-21
FK Austria Wien,7,2020-21
WSG Tirol,8,2020-21
SCR Altach,9,2020-21
SV Josko Ried,10,2020-21
FC Admira Wacker Mödling,11,2020-21
SKN St. Pölten,12,2020-21
FC Red Bull Salzburg,1,2019-20
LASK Linz,2,2019-20
SK Rapid Wien,3,2019-20
Wolfsberger AC,4,2019-20
FK Austria Wien,5,2019-20
TSV Hartberg,6,2019-20
SCR Altach,7,2019-20
SK Sturm Graz,8,2019-20
SKN St. Pölten,9,2019-20
SV Mattersburg,10,2019-20
WSG Tirol,11,2019-20
FC Admira Wacker Mödling,12,2019-20
FC Red Bull Salzburg,1,2018-19
LASK Linz,2,2018-19
SK Rapid Wien,3,2018-19
Wolfsberger AC,4,2018-19
SV Mattersburg,5,2018-19
SK Sturm Graz,6,2018-19
FK Austria Wien,7,2018-19
SCR Altach,8,2018-19
TSV Hartberg,9,2018-19
SKN St. Pölten,10,2018-19
FC Admira Wacker Mödling,11,2018-19
FC Wacker Innsbruck,12,2018-19
FC Red Bull Salzburg,1,2017-18
SK Sturm Graz,2,2017-18
SK Rapid Wien,3,2017-18
LASK Linz,4,2017-18
FC Admira Wacker Mödling,5,2017-18
SV Mattersburg,6,2017-18
FK Austria Wien,7,2017-18
SCR Altach,8,2017-18
Wolfsberger AC,9,2017-18
SKN St. Pölten,10,2017-18
FC Red Bull Salzburg,1,2016-17
FK Austria Wien,2,2016-17
SK Sturm Graz,3,2016-17
SCR Altach,4,2016-17
SK Rapid Wien,5,2016-17
FC Admira Wacker Mödling,6,2016-17
SV Mattersburg,7,2016-17
Wolfsberger AC,8,2016-17
SKN St. Pölten,9,2016-17
SV Josko Ried,10,2016-17
FC Red Bull Salzburg,1,2015-16
SK Rapid Wien,2,2015-16
FK Austria Wien,3,2015-16
FC Admira Wacker Mödling,4,2015-16
SK Sturm Graz,5,2015-16
Wolfsberger AC,6,2015-16
SV Josko Ried,7,2015-16
SCR Altach,8,2015-16
SV Mattersburg,9,2015-16
SV Grödig,10,2015-16
SV Josko Ried,1,2014-15
SV Grödig,2,2014-15
SK Sturm Graz,3,2014-15
FC Red Bull Salzburg,4,2014-15
FC Admira Wacker Mödling,5,2014-15
SCR Altach,6,2014-15
Wolfsberger AC,7,2014-15
SK Rapid Wien,8,2014-15
FK Austria Wien,9,2014-15
SC Wiener Neustadt,10,2014-15
FC Red Bull Salzburg,1,2013-14
SK Rapid Wien,2,2013-14
SV Grödig,3,2013-14
FK Austria Wien,4,2013-14
SK Sturm Graz,5,2013-14
SV Josko Ried,6,2013-14
FC Admira Wacker Mödling,7,2013-14
Wolfsberger AC,8,2013-14
SC Wiener Neustadt,9,2013-14
FC Wacker Innsbruck,10,2013-14
FK Austria Wien,1,2012-13
FC Red Bull Salzburg,2,2012-13
SK Rapid Wien,3,2012-13
SK Sturm Graz,4,2012-13
Wolfsberger AC,5,2012-13
SV Josko Ried,6,2012-13
SC Wiener Neustadt,7,2012-13
FC Wacker Innsbruck,8,2012-13
FC Admira Wacker Mödling,9,2012-13
SV Mattersburg,10,2012-13
FC Red Bull Salzburg,1,2011-12
SK Rapid Wien,2,2011-12
FC Admira Wacker Mödling,3,2011-12
FK Austria Wien,4,2011-12
SK Sturm Graz,5,2011-12
SV Josko Ried,6,2011-12
FC Wacker Innsbruck,7,2011-12
SV Mattersburg,8,2011-12
SC Wiener Neustadt,9,2011-12
KSV 1919,10,2011-12
SK Sturm Graz,1,2010-11
FC Red Bull Salzburg,2,2010-11
FK Austria Wien,3,2010-11
SV Josko Ried,4,2010-11
SK Rapid Wien,5,2010-11
FC Wacker Innsbruck,6,2010-11
SC Wiener Neustadt,7,2010-11
KSV 1919,8,2010-11
SV Mattersburg,9,2010-11
LASK Linz,10,2010-11
FC Red Bull Salzburg,1,2009-10
FK Austria Wien,2,2009-10
SK Rapid Wien,3,2009-10
SK Sturm Graz,4,2009-10
SC Wiener Neustadt,5,2009-10
SV Mattersburg,6,2009-10
LASK Linz,7,2009-10
SV Josko Ried,8,2009-10
KSV 1919,9,2009-10
SK Austria Kärnten,10,2009-10
