team,pos,season
Celtic,1,2022-23
Rangers FC,2,2022-23
Heart of Midlothian,3,2022-23
Livingston FC,4,2022-23
Hibernian,5,2022-23
St. Mirren,6,2022-23
Aberdeen,7,2022-23
St. Johnstone,8,2022-23
Kilmarnock,9,2022-23
Ross County,10,2022-23
Motherwell,11,2022-23
Dundee United,12,2022-23
Celtic,1,2021-22
Rangers FC,2,2021-22
Heart of Midlothian,3,2021-22
Livingston FC,4,2021-22
Dundee United,5,2021-22
Motherwell,6,2021-22
Hibernian,7,2021-22
St. Mirren,8,2021-22
Aberdeen,9,2021-22
Ross County,10,2021-22
St. Johnstone,11,2021-22
Dundee FC,12,2021-22
Rangers FC,1,2020-21
Celtic,2,2020-21
Hibernian,3,2020-21
Aberdeen,4,2020-21
St. Mirren,5,2020-21
St. Johnstone,6,2020-21
Livingston FC,7,2020-21
Motherwell,8,2020-21
Dundee United,9,2020-21
Ross County,10,2020-21
Kilmarnock,11,2020-21
Hamilton Academical FC,12,2020-21
Celtic,1,2019-20
Rangers FC,2,2019-20
Motherwell,3,2019-20
Aberdeen,4,2019-20
Livingston FC,5,2019-20
Hibernian,6,2019-20
St. Johnstone,7,2019-20
Kilmarnock,8,2019-20
St. Mirren,9,2019-20
Ross County,10,2019-20
Hamilton Academical FC,11,2019-20
Heart of Midlothian,12,2019-20
Celtic,1,2018-19
Rangers FC,2,2018-19
Aberdeen,3,2018-19
Kilmarnock,4,2018-19
Hibernian,5,2018-19
St. Johnstone,6,2018-19
Motherwell,7,2018-19
Heart of Midlothian,8,2018-19
Livingston FC,9,2018-19
Hamilton Academical FC,10,2018-19
St. Mirren,11,2018-19
Dundee FC,12,2018-19
Celtic,1,2017-18
Aberdeen,2,2017-18
Rangers FC,3,2017-18
Hibernian,4,2017-18
Kilmarnock,5,2017-18
Heart of Midlothian,6,2017-18
Motherwell,7,2017-18
St. Johnstone,8,2017-18
Dundee FC,9,2017-18
Hamilton Academical FC,10,2017-18
Partick Thistle F.C.,11,2017-18
Ross County,12,2017-18
Celtic,1,2016-17
Aberdeen,2,2016-17
Rangers FC,3,2016-17
St. Johnstone,4,2016-17
Heart of Midlothian,5,2016-17
Ross County,6,2016-17
Partick Thistle F.C.,7,2016-17
Kilmarnock,8,2016-17
Motherwell,9,2016-17
Dundee FC,10,2016-17
Hamilton Academical FC,11,2016-17
Inverness Caledonian Thistle,12,2016-17
Celtic,1,2015-16
Aberdeen,2,2015-16
Heart of Midlothian,3,2015-16
St. Johnstone,4,2015-16
Inverness Caledonian Thistle,5,2015-16
Motherwell,6,2015-16
Dundee FC,7,2015-16
Ross County,8,2015-16
Partick Thistle F.C.,9,2015-16
Hamilton Academical FC,10,2015-16
Kilmarnock,11,2015-16
Dundee United,12,2015-16
Aberdeen,1,2014-15
St. Mirren,2,2014-15
Ross County,3,2014-15
Partick Thistle F.C.,4,2014-15
Motherwell,5,2014-15
Kilmarnock,6,2014-15
Inverness Caledonian Thistle,7,2014-15
Hamilton Academical FC,8,2014-15
Dundee United,9,2014-15
Dundee FC,10,2014-15
Celtic,11,2014-15
St. Johnstone,12,2014-15
Celtic,1,2013-14
Motherwell,2,2013-14
Aberdeen,3,2013-14
Dundee United,4,2013-14
Inverness Caledonian Thistle,5,2013-14
St. Johnstone,6,2013-14
Ross County,7,2013-14
St. Mirren,8,2013-14
Kilmarnock,9,2013-14
Partick Thistle F.C.,10,2013-14
Heart of Midlothian,11,2013-14
Hibernian,12,2013-14
Celtic,1,2012-13
Motherwell,2,2012-13
St. Johnstone,3,2012-13
Inverness Caledonian Thistle,4,2012-13
Ross County,5,2012-13
Hibernian,6,2012-13
Aberdeen,7,2012-13
Dundee United,8,2012-13
Kilmarnock,9,2012-13
Heart of Midlothian,10,2012-13
St. Mirren,11,2012-13
Dundee FC,12,2012-13
Celtic,1,2011-12
Rangers FC,2,2011-12
Motherwell,3,2011-12
Dundee United,4,2011-12
Heart of Midlothian,5,2011-12
St. Johnstone,6,2011-12
Kilmarnock,7,2011-12
St. Mirren,8,2011-12
Aberdeen,9,2011-12
Inverness Caledonian Thistle,10,2011-12
Hibernian,11,2011-12
Dunfermline Athletic,12,2011-12
Rangers FC,1,2010-11
Celtic,2,2010-11
Heart of Midlothian,3,2010-11
Dundee United,4,2010-11
Inverness Caledonian Thistle,5,2010-11
Kilmarnock,6,2010-11
Motherwell,7,2010-11
St. Johnstone,8,2010-11
Aberdeen,9,2010-11
Hibernian,10,2010-11
St. Mirren,11,2010-11
Hamilton Academical FC,12,2010-11
Rangers FC,1,2009-10
Celtic,2,2009-10
Dundee United,3,2009-10
Hibernian,4,2009-10
Motherwell,5,2009-10
Heart of Midlothian,6,2009-10
St. Johnstone,7,2009-10
Hamilton Academical FC,8,2009-10
Aberdeen,9,2009-10
Kilmarnock,10,2009-10
St. Mirren,11,2009-10
Falkirk,12,2009-10
