team,pos,season
KRC Genk,1,2022-23
Union Saint-Gilloise,2,2022-23
Royal Antwerp FC,3,2022-23
Club Brugge,4,2022-23
KAA Gent,5,2022-23
KVC Westerlo,6,2022-23
Standard de Liège,7,2022-23
Sint-Truidense VV,8,2022-23
Cercle Brugge,9,2022-23
RSC Anderlecht,10,2022-23
Oud-Heverlee Leuven,11,2022-23
Sporting Charleroi,12,2022-23
KV Mechelen,13,2022-23
KAS Eupen,14,2022-23
KV Kortrijk,15,2022-23
SV Zulte Waregem,16,2022-23
RFC Seraing,17,2022-23
KV Oostende,18,2022-23
Royal Excel Mouscron,19,2022-23
Waasland-Beveren,20,2022-23
Beerschot AC,21,2022-23
Club Brugge,1,2021-22
Union Saint-Gilloise,2,2021-22
KAA Gent,3,2021-22
RSC Anderlecht,4,2021-22
Royal Antwerp FC,5,2021-22
KRC Genk,6,2021-22
Sporting Charleroi,7,2021-22
KV Mechelen,8,2021-22
Sint-Truidense VV,9,2021-22
Cercle Brugge,10,2021-22
Oud-Heverlee Leuven,11,2021-22
KV Kortrijk,12,2021-22
KV Oostende,13,2021-22
Standard de Liège,14,2021-22
KAS Eupen,15,2021-22
SV Zulte Waregem,16,2021-22
Beerschot AC,17,2021-22
RFC Seraing,18,2021-22
Club Brugge,1,2020-21
KRC Genk,2,2020-21
Royal Antwerp FC,3,2020-21
KAA Gent,4,2020-21
RSC Anderlecht,5,2020-21
KV Oostende,6,2020-21
KV Mechelen,7,2020-21
Standard de Liège,8,2020-21
Beerschot AC,9,2020-21
SV Zulte Waregem,10,2020-21
Oud-Heverlee Leuven,11,2020-21
KAS Eupen,12,2020-21
Sporting Charleroi,13,2020-21
KV Kortrijk,14,2020-21
Sint-Truidense VV,15,2020-21
Cercle Brugge,16,2020-21
Royal Excel Mouscron,17,2020-21
Waasland-Beveren,18,2020-21
Club Brugge,1,2019-20
KAA Gent,2,2019-20
Sporting Charleroi,3,2019-20
Royal Antwerp FC,4,2019-20
