team,pos,season
FC Bayern München,1,2022-23
1. FC Union Berlin,2,2022-23
Borussia Dortmund,3,2022-23
RB Leipzig,4,2022-23
Eintracht Frankfurt,5,2022-23
SC Freiburg,6,2022-23
VfL Wolfsburg,7,2022-23
SV Werder Bremen,8,2022-23
Borussia Mönchengladbach,9,2022-23
Bayer 04 Leverkusen,10,2022-23
1. FC Köln,11,2022-23
1. FSV Mainz 05,12,2022-23
FC Augsburg,13,2022-23
TSG 1899 Hoffenheim,14,2022-23
VfL Bochum 1848,15,2022-23
VfB Stuttgart,16,2022-23
Hertha Berlin,17,2022-23
FC Schalke 04,18,2022-23
FC Bayern München,1,2021-22
Borussia Dortmund,2,2021-22
Bayer 04 Leverkusen,3,2021-22
RB Leipzig,4,2021-22
SC Freiburg,5,2021-22
1. FC Köln,6,2021-22
1. FSV Mainz 05,7,2021-22
TSG 1899 Hoffenheim,8,2021-22
Eintracht Frankfurt,9,2021-22
Borussia Mönchengladbach,10,2021-22
VfL Wolfsburg,11,2021-22
VfL Bochum 1848,12,2021-22
FC Augsburg,13,2021-22
VfB Stuttgart,14,2021-22
Hertha Berlin,15,2021-22
1. FC Union Berlin,16,2021-22
SpVgg Greuther Fürth,17,2021-22
DSC Arminia Bielefeld,18,2021-22
FC Bayern München,1,2020-21
Borussia Dortmund,2,2020-21
RB Leipzig,3,2020-21
VfL Wolfsburg,4,2020-21
Eintracht Frankfurt,5,2020-21
Bayer 04 Leverkusen,6,2020-21
1. FC Union Berlin,7,2020-21
Borussia Mönchengladbach,8,2020-21
VfB Stuttgart,9,2020-21
SC Freiburg,10,2020-21
TSG 1899 Hoffenheim,11,2020-21
1. FSV Mainz 05,12,2020-21
FC Augsburg,13,2020-21
Hertha Berlin,14,2020-21
DSC Arminia Bielefeld,15,2020-21
1. FC Köln,16,2020-21
SV Werder Bremen,17,2020-21
FC Schalke 04,18,2020-21
FC Bayern München,1,2019-20
Borussia Dortmund,2,2019-20
RB Leipzig,3,2019-20
Borussia Mönchengladbach,4,2019-20
Bayer 04 Leverkusen,5,2019-20
TSG 1899 Hoffenheim,6,2019-20
VfL Wolfsburg,7,2019-20
SC Freiburg,8,2019-20
Eintracht Frankfurt,9,2019-20
Hertha Berlin,10,2019-20
1. FC Union Berlin,11,2019-20
FC Schalke 04,12,2019-20
1. FSV Mainz 05,13,2019-20
1. FC Köln,14,2019-20
FC Augsburg,15,2019-20
SV Werder Bremen,16,2019-20
Fortuna Düsseldorf,17,2019-20
SC Paderborn 07,18,2019-20
Borussia Dortmund,1,2018-19
FC Bayern München,2,2018-19
RB Leipzig,3,2018-19
Bayer 04 Leverkusen,4,2018-19
Borussia Mönchengladbach,5,2018-19
Eintracht Frankfurt,6,2018-19
VfL Wolfsburg,7,2018-19
SV Werder Bremen,8,2018-19
TSG 1899 Hoffenheim,9,2018-19
Fortuna Düsseldorf,10,2018-19
Hertha Berlin,11,2018-19
1. FSV Mainz 05,12,2018-19
SC Freiburg,13,2018-19
FC Schalke 04,14,2018-19
FC Augsburg,15,2018-19
VfB Stuttgart,16,2018-19
Hannover 96,17,2018-19
1. FC Nürnberg,18,2018-19
FC Bayern München,1,2017-18
FC Schalke 04,2,2017-18
TSG 1899 Hoffenheim,3,2017-18
Borussia Dortmund,4,2017-18
Bayer 04 Leverkusen,5,2017-18
RB Leipzig,6,2017-18
VfB Stuttgart,7,2017-18
Eintracht Frankfurt,8,2017-18
Borussia Mönchengladbach,9,2017-18
Hertha Berlin,10,2017-18
SV Werder Bremen,11,2017-18
FC Augsburg,12,2017-18
Hannover 96,13,2017-18
1. FSV Mainz 05,14,2017-18
SC Freiburg,15,2017-18
VfL Wolfsburg,16,2017-18
Hamburger SV,17,2017-18
1. FC Köln,18,2017-18
FC Bayern München,1,2016-17
RB Leipzig,2,2016-17
Borussia Dortmund,3,2016-17
TSG 1899 Hoffenheim,4,2016-17
1. FC Köln,5,2016-17
Hertha Berlin,6,2016-17
SC Freiburg,7,2016-17
SV Werder Bremen,8,2016-17
Borussia Mönchengladbach,9,2016-17
FC Schalke 04,10,2016-17
Eintracht Frankfurt,11,2016-17
Bayer 04 Leverkusen,12,2016-17
FC Augsburg,13,2016-17
Hamburger SV,14,2016-17
1. FSV Mainz 05,15,2016-17
VfL Wolfsburg,16,2016-17
FC Ingolstadt 04,17,2016-17
SV Darmstadt 98,18,2016-17
FC Bayern München,1,2015-16
Borussia Dortmund,2,2015-16
Bayer 04 Leverkusen,3,2015-16
Borussia Mönchengladbach,4,2015-16
FC Schalke 04,5,2015-16
1. FSV Mainz 05,6,2015-16
Hertha Berlin,7,2015-16
VfL Wolfsburg,8,2015-16
1. FC Köln,9,2015-16
Hamburger SV,10,2015-16
FC Ingolstadt 04,11,2015-16
FC Augsburg,12,2015-16
SV Werder Bremen,13,2015-16
SV Darmstadt 98,14,2015-16
TSG 1899 Hoffenheim,15,2015-16
Eintracht Frankfurt,16,2015-16
VfB Stuttgart,17,2015-16
Hannover 96,18,2015-16
FC Augsburg,1,2014-15
SV Werder Bremen,2,2014-15
VfB Stuttgart,3,2014-15
FC Schalke 04,4,2014-15
SC Paderborn 07,5,2014-15
1. FSV Mainz 05,6,2014-15
TSG 1899 Hoffenheim,7,2014-15
Hertha Berlin,8,2014-15
Hannover 96,9,2014-15
Hamburger SV,10,2014-15
SC Freiburg,11,2014-15
1. FC Köln,12,2014-15
Eintracht Frankfurt,13,2014-15
Borussia Mönchengladbach,14,2014-15
Borussia Dortmund,15,2014-15
FC Bayern München,16,2014-15
Bayer 04 Leverkusen,17,2014-15
VfL Wolfsburg,18,2014-15
FC Bayern München,1,2013-14
Borussia Dortmund,2,2013-14
FC Schalke 04,3,2013-14
Bayer 04 Leverkusen,4,2013-14
VfL Wolfsburg,5,2013-14
Borussia Mönchengladbach,6,2013-14
1. FSV Mainz 05,7,2013-14
FC Augsburg,8,2013-14
TSG 1899 Hoffenheim,9,2013-14
Hannover 96,10,2013-14
Hertha Berlin,11,2013-14
SV Werder Bremen,12,2013-14
Eintracht Frankfurt,13,2013-14
SC Freiburg,14,2013-14
VfB Stuttgart,15,2013-14
Hamburger SV,16,2013-14
1. FC Nürnberg,17,2013-14
Eintracht Braunschweig,18,2013-14
FC Bayern München,1,2012-13
Borussia Dortmund,2,2012-13
Bayer 04 Leverkusen,3,2012-13
FC Schalke 04,4,2012-13
SC Freiburg,5,2012-13
Eintracht Frankfurt,6,2012-13
Hamburger SV,7,2012-13
Borussia Mönchengladbach,8,2012-13
Hannover 96,9,2012-13
1. FC Nürnberg,10,2012-13
VfL Wolfsburg,11,2012-13
VfB Stuttgart,12,2012-13
1. FSV Mainz 05,13,2012-13
SV Werder Bremen,14,2012-13
FC Augsburg,15,2012-13
TSG 1899 Hoffenheim,16,2012-13
Fortuna Düsseldorf,17,2012-13
SpVgg Greuther Fürth,18,2012-13
Borussia Dortmund,1,2011-12
FC Bayern München,2,2011-12
FC Schalke 04,3,2011-12
Borussia Mönchengladbach,4,2011-12
Bayer 04 Leverkusen,5,2011-12
VfB Stuttgart,6,2011-12
Hannover 96,7,2011-12
VfL Wolfsburg,8,2011-12
SV Werder Bremen,9,2011-12
1. FC Nürnberg,10,2011-12
TSG 1899 Hoffenheim,11,2011-12
SC Freiburg,12,2011-12
1. FSV Mainz 05,13,2011-12
FC Augsburg,14,2011-12
Hamburger SV,15,2011-12
Hertha Berlin,16,2011-12
1. FC Köln,17,2011-12
1. FC Kaiserslautern,18,2011-12
Borussia Dortmund,1,2010-11
Bayer 04 Leverkusen,2,2010-11
FC Bayern München,3,2010-11
Hannover 96,4,2010-11
1. FSV Mainz 05,5,2010-11
1. FC Nürnberg,6,2010-11
1. FC Kaiserslautern,7,2010-11
Hamburger SV,8,2010-11
SC Freiburg,9,2010-11
1. FC Köln,10,2010-11
TSG 1899 Hoffenheim,11,2010-11
VfB Stuttgart,12,2010-11
SV Werder Bremen,13,2010-11
FC Schalke 04,14,2010-11
VfL Wolfsburg,15,2010-11
Borussia Mönchengladbach,16,2010-11
Eintracht Frankfurt,17,2010-11
FC St. Pauli,18,2010-11
FC Bayern München,1,2009-10
FC Schalke 04,2,2009-10
SV Werder Bremen,3,2009-10
Bayer 04 Leverkusen,4,2009-10
Borussia Dortmund,5,2009-10
VfB Stuttgart,6,2009-10
Hamburger SV,7,2009-10
VfL Wolfsburg,8,2009-10
1. FSV Mainz 05,9,2009-10
Eintracht Frankfurt,10,2009-10
TSG 1899 Hoffenheim,11,2009-10
Borussia Mönchengladbach,12,2009-10
1. FC Köln,13,2009-10
SC Freiburg,14,2009-10
Hannover 96,15,2009-10
1. FC Nürnberg,16,2009-10
VfL Bochum 1848,17,2009-10
Hertha Berlin,18,2009-10
