team,pos,season
Paris Saint-Germain,1,2022-23
Olympique de Marseille,2,2022-23
RC Lens,3,2022-23
AS Monaco,4,2022-23
Stade Rennais,5,2022-23
Lille OSC,6,2022-23
FC Lorient,7,2022-23
OGC Nice,8,2022-23
Olympique Lyonnais,9,2022-23
Stade de Reims,10,2022-23
Clermont Foot 63,11,2022-23
Toulouse FC,12,2022-23
FC Nantes,13,2022-23
Stade Brestois 29,14,2022-23
Montpellier HSC,15,2022-23
ESTAC Troyes,16,2022-23
RC Strasbourg,17,2022-23
AC Ajaccio,18,2022-23
AJ Auxerre,19,2022-23
Angers SCO,20,2022-23
Paris Saint-Germain,1,2021-22
Olympique de Marseille,2,2021-22
OGC Nice,3,2021-22
AS Monaco,4,2021-22
Stade Rennais,5,2021-22
RC Strasbourg,6,2021-22
Olympique Lyonnais,7,2021-22
RC Lens,8,2021-22
FC Nantes,9,2021-22
Lille OSC,10,2021-22
Stade Brestois 29,11,2021-22
Stade de Reims,12,2021-22
Montpellier HSC,13,2021-22
Angers SCO,14,2021-22
ESTAC Troyes,15,2021-22
FC Lorient,16,2021-22
AS Saint-Étienne,17,2021-22
FC Metz,18,2021-22
FC Girondins de Bordeaux,19,2021-22
Clermont Foot 63,20,2021-22
Lille OSC,1,2020-21
Paris Saint-Germain,2,2020-21
AS Monaco,3,2020-21
Olympique Lyonnais,4,2020-21
Olympique de Marseille,5,2020-21
Stade Rennais,6,2020-21
RC Lens,7,2020-21
Montpellier HSC,8,2020-21
OGC Nice,9,2020-21
FC Metz,10,2020-21
AS Saint-Étienne,11,2020-21
FC Girondins de Bordeaux,12,2020-21
Angers SCO,13,2020-21
Stade de Reims,14,2020-21
RC Strasbourg,15,2020-21
FC Lorient,16,2020-21
Stade Brestois 29,17,2020-21
FC Nantes,18,2020-21
Nîmes Olympique,19,2020-21
Dijon FCO,20,2020-21
Paris Saint-Germain,1,2019-20
Olympique de Marseille,2,2019-20
Stade Rennais,3,2019-20
Lille OSC,4,2019-20
Stade de Reims,5,2019-20
OGC Nice,6,2019-20
Olympique Lyonnais,7,2019-20
Montpellier HSC,8,2019-20
AS Monaco,9,2019-20
Angers SCO,10,2019-20
RC Strasbourg,11,2019-20
FC Girondins de Bordeaux,12,2019-20
FC Nantes,13,2019-20
Stade Brestois 29,14,2019-20
FC Metz,15,2019-20
Dijon FCO,16,2019-20
AS Saint-Étienne,17,2019-20
Nîmes Olympique,18,2019-20
Amiens SC,19,2019-20
Toulouse FC,20,2019-20
Paris Saint-Germain,1,2018-19
Lille OSC,2,2018-19
Olympique Lyonnais,3,2018-19
AS Saint-Étienne,4,2018-19
Olympique de Marseille,5,2018-19
Montpellier HSC,6,2018-19
OGC Nice,7,2018-19
Stade de Reims,8,2018-19
Nîmes Olympique,9,2018-19
Stade Rennais,10,2018-19
RC Strasbourg,11,2018-19
FC Nantes,12,2018-19
Angers SCO,13,2018-19
FC Girondins de Bordeaux,14,2018-19
Amiens SC,15,2018-19
AS Monaco,16,2018-19
Toulouse FC,17,2018-19
