team,pos,season
Lanús,1,2023-23
Tigre,2,2023-23
Club Atlético Platense,3,2023-23
Rosario Central,4,2023-23
Newell's Old Boys,5,2023-23
Belgrano,6,2023-23
Boca Juniors,7,2023-23
Huracán,8,2023-23
Barracas Central,9,2023-23
Vélez Sarsfield,10,2023-23
River Plate,11,2023-23
Godoy Cruz Antonio Tomba,12,2023-23
San Lorenzo de Almagro,13,2023-23
Independiente,14,2023-23
Argentinos Juniors,15,2023-23
Unión Santa Fe,16,2023-23
Banfield,17,2023-23
Instituto Atlético Central Córdoba,18,2023-23
Estudiantes de la Plata,19,2023-23
Arsenal de Sarandí,20,2023-23
Racing Club,21,2023-23
Sarmiento,22,2023-23
CA Central Cordoba,23,2023-23
Colón Santa Fe,24,2023-23
Talleres de Cordoba,25,2023-23
Atlético Tucumán,26,2023-23
Defensa y Justicia,27,2023-23
Gimnasia y Esgrima La Plata,28,2023-23
Boca Juniors,1,2022-22
Racing Club,2,2022-22
River Plate,3,2022-22
Huracán,4,2022-22
Atlético Tucumán,5,2022-22
San Lorenzo de Almagro,6,2022-22
Tigre,7,2022-22
Argentinos Juniors,8,2022-22
Gimnasia y Esgrima La Plata,9,2022-22
Patronato de Parana,10,2022-22
Newell's Old Boys,11,2022-22
Defensa y Justicia,12,2022-22
Talleres de Cordoba,13,2022-22
Independiente,14,2022-22
Godoy Cruz Antonio Tomba,15,2022-22
CA Central Cordoba,16,2022-22
Barracas Central,17,2022-22
Estudiantes de la Plata,18,2022-22
Club Atlético Platense,19,2022-22
Rosario Central,20,2022-22
Sarmiento,21,2022-22
Unión Santa Fe,22,2022-22
Arsenal de Sarandí,23,2022-22
Banfield,24,2022-22
Colón Santa Fe,25,2022-22
Vélez Sarsfield,26,2022-22
Lanús,27,2022-22
Aldosivi,28,2022-22
River Plate,1,2021-21
Defensa y Justicia,2,2021-21
Talleres de Cordoba,3,2021-21
Boca Juniors,4,2021-21
Vélez Sarsfield,5,2021-21
Estudiantes de la Plata,6,2021-21
Colón Santa Fe,7,2021-21
Huracán,8,2021-21
Independiente,9,2021-21
Lanús,10,2021-21
Gimnasia y Esgrima La Plata,11,2021-21
Unión Santa Fe,12,2021-21
Aldosivi,13,2021-21
Argentinos Juniors,14,2021-21
Racing Club,15,2021-21
Rosario Central,16,2021-21
Godoy Cruz Antonio Tomba,17,2021-21
Club Atlético Platense,18,2021-21
Newell's Old Boys,19,2021-21
Banfield,20,2021-21
San Lorenzo de Almagro,21,2021-21
CA Central Cordoba,22,2021-21
Patronato de Parana,23,2021-21
Sarmiento,24,2021-21
Atlético Tucumán,25,2021-21
Arsenal de Sarandí,26,2021-21
