team,pos,season
Arsenal,1,2022-23
Manchester City,2,2022-23
Manchester United,3,2022-23
Newcastle United,4,2022-23
Tottenham Hotspur,5,2022-23
Brighton & Hove Albion,6,2022-23
Brentford,7,2022-23
Fulham,8,2022-23
Chelsea,9,2022-23
Liverpool,10,2022-23
Aston Villa,11,2022-23
Crystal Palace,12,2022-23
Nottingham Forest,13,2022-23
Leicester City,14,2022-23
Wolverhampton Wanderers,15,2022-23
West Ham United,16,2022-23
Leeds United,17,2022-23
Everton,18,2022-23
AFC Bournemouth,19,2022-23
Southampton,20,2022-23
Manchester City,1,2021-22
Liverpool,2,2021-22
Chelsea,3,2021-22
Tottenham Hotspur,4,2021-22
Arsenal,5,2021-22
Manchester United,6,2021-22
West Ham United,7,2021-22
Leicester City,8,2021-22
Brighton & Hove Albion,9,2021-22
Wolverhampton Wanderers,10,2021-22
Newcastle United,11,2021-22
Crystal Palace,12,2021-22
Aston Villa,13,2021-22
Southampton,14,2021-22
Everton,15,2021-22
Burnley,16,2021-22
Brentford,17,2021-22
Leeds United,18,2021-22
Watford,19,2021-22
Norwich City,20,2021-22
Manchester City,1,2020-21
Manchester United,2,2020-21
Liverpool,3,2020-21
Chelsea,4,2020-21
Leicester City,5,2020-21
West Ham United,6,2020-21
Tottenham Hotspur,7,2020-21
Arsenal,8,2020-21
Leeds United,9,2020-21
Everton,10,2020-21
Aston Villa,11,2020-21
Newcastle United,12,2020-21
Wolverhampton Wanderers,13,2020-21
Crystal Palace,14,2020-21
Southampton,15,2020-21
Brighton & Hove Albion,16,2020-21
Burnley,17,2020-21
Fulham,18,2020-21
West Bromwich Albion,19,2020-21
Sheffield United,20,2020-21
Liverpool,1,2019-20
Manchester City,2,2019-20
Manchester United,3,2019-20
Chelsea,4,2019-20
Leicester City,5,2019-20
Wolverhampton Wanderers,6,2019-20
Sheffield United,7,2019-20
Tottenham Hotspur,8,2019-20
Burnley,9,2019-20
Arsenal,10,2019-20
Southampton,11,2019-20
Everton,12,2019-20
Newcastle United,13,2019-20
Crystal Palace,14,2019-20
Brighton & Hove Albion,15,2019-20
West Ham United,16,2019-20
Watford,17,2019-20
Aston Villa,18,2019-20
AFC Bournemouth,19,2019-20
Norwich City,20,2019-20
Manchester City,1,2018-19
Liverpool,2,2018-19
Chelsea,3,2018-19
Tottenham Hotspur,4,2018-19
Arsenal,5,2018-19
Manchester United,6,2018-19
Wolverhampton Wanderers,7,2018-19
Everton,8,2018-19
Leicester City,9,2018-19
West Ham United,10,2018-19
Watford,11,2018-19
Crystal Palace,12,2018-19
Newcastle United,13,2018-19
AFC Bournemouth,14,2018-19
Burnley,15,2018-19
Southampton,16,2018-19
Brighton & Hove Albion,17,2018-19
Cardiff City,18,2018-19
Fulham,19,2018-19
Huddersfield Town,20,2018-19
Manchester City,1,2017-18
Manchester United,2,2017-18
Tottenham Hotspur,3,2017-18
Liverpool,4,2017-18
Chelsea,5,2017-18
Arsenal,6,2017-18
Burnley,7,2017-18
Everton,8,2017-18
Leicester City,9,2017-18
Newcastle United,10,2017-18
Crystal Palace,11,2017-18
AFC Bournemouth,12,2017-18
West Ham United,13,2017-18
Watford,14,2017-18
Brighton & Hove Albion,15,2017-18
Huddersfield Town,16,2017-18
Southampton,17,2017-18
Swansea City,18,2017-18
Stoke City,19,2017-18
West Bromwich Albion,20,2017-18
Chelsea,1,2016-17
Tottenham Hotspur,2,2016-17
Manchester City,3,2016-17
Liverpool,4,2016-17
Arsenal,5,2016-17
Manchester United,6,2016-17
Everton,7,2016-17
Southampton,8,2016-17
AFC Bournemouth,9,2016-17
West Bromwich Albion,10,2016-17
West Ham United,11,2016-17
Leicester City,12,2016-17
Stoke City,13,2016-17
Crystal Palace,14,2016-17
Swansea City,15,2016-17
Burnley,16,2016-17
Watford,17,2016-17
