team,pos,season
KS Raków Częstochowa,1,2022-23
Legia Warszawa,2,2022-23
Lech Poznań,3,2022-23
Widzew Łódz,4,2022-23
Pogoń Szczecin,5,2022-23
Cracovia Kraków,6,2022-23
Wisła Płock,7,2022-23
FKS Stal Mielec,8,2022-23
Radomiak Radom,9,2022-23
KS Warta Poznań,10,2022-23
Śląsk Wrocław,11,2022-23
Gornik Zabrze,12,2022-23
Lechia Gdańsk,13,2022-23
Jagiellonia Białystok,14,2022-23
Zagłębie Lubin,15,2022-23
Piast Gliwice,16,2022-23
Miedź Legnica,17,2022-23
Korona Kielce,18,2022-23
Lech Poznań,1,2021-22
KS Raków Częstochowa,2,2021-22
Pogoń Szczecin,3,2021-22
Lechia Gdańsk,4,2021-22
Piast Gliwice,5,2021-22
Wisła Płock,6,2021-22
Gornik Zabrze,7,2021-22
Cracovia Kraków,8,2021-22
Legia Warszawa,9,2021-22
Jagiellonia Białystok,10,2021-22
Zagłębie Lubin,11,2021-22
Śląsk Wrocław,12,2021-22
Termalica Nieciecza,13,2021-22
Wisła Kraków,14,2021-22
Gornik Leczna,15,2021-22
KS Warta Poznań,16,2021-22
Radomiak Radom,17,2021-22
FKS Stal Mielec,18,2021-22
Legia Warszawa,1,2020-21
KS Raków Częstochowa,2,2020-21
Pogoń Szczecin,3,2020-21
KS Warta Poznań,4,2020-21
Piast Gliwice,5,2020-21
Śląsk Wrocław,6,2020-21
Lechia Gdańsk,7,2020-21
Zagłębie Lubin,8,2020-21
Lech Poznań,9,2020-21
Jagiellonia Białystok,10,2020-21
Gornik Zabrze,11,2020-21
Cracovia Kraków,12,2020-21
Wisła Kraków,13,2020-21
Wisła Płock,14,2020-21
FKS Stal Mielec,15,2020-21
Podbeskidzie Bielsko-Biala,16,2020-21
Legia Warszawa,1,2019-20
Lech Poznań,2,2019-20
Piast Gliwice,3,2019-20
Lechia Gdańsk,4,2019-20
Śląsk Wrocław,5,2019-20
Pogoń Szczecin,6,2019-20
Cracovia Kraków,7,2019-20
Zagłębie Lubin,8,2019-20
Gornik Zabrze,9,2019-20
Jagiellonia Białystok,10,2019-20
KS Raków Częstochowa,11,2019-20
Wisła Płock,12,2019-20
Wisła Kraków,13,2019-20
MZKS Arka Gdynia,14,2019-20
Korona Kielce,15,2019-20
Łódzki KS,16,2019-20
Piast Gliwice,1,2018-19
Legia Warszawa,2,2018-19
Lechia Gdańsk,3,2018-19
Jagiellonia Białystok,4,2018-19
Cracovia Kraków,5,2018-19
Zagłębie Lubin,6,2018-19
Pogoń Szczecin,7,2018-19
Lech Poznań,8,2018-19
Korona Kielce,9,2018-19
Wisła Kraków,10,2018-19
Gornik Zabrze,11,2018-19
Śląsk Wrocław,12,2018-19
MZKS Arka Gdynia,13,2018-19
Wisła Płock,14,2018-19
Miedź Legnica,15,2018-19
Zagłębie Sosnowiec,16,2018-19
Legia Warszawa,1,2017-18
