team,pos,season
Dinamo Moscow,1,2021-22
Zenit St. Petersburg,2,2021-22
PFC Sochi,3,2021-22
PFC CSKA Moscow,4,2021-22
Terek Grozny,5,2021-22
FC Krasnodar,6,2021-22
FC Lokomotiv Moscow,7,2021-22
Krylya Sovetov Samara,8,2021-22
Spartak Moskva,9,2021-22
Rubin Kazan,10,2021-22
FC Ural Yekaterinburg,11,2021-22
Arsenal Tula,12,2021-22
FC Rostov,13,2021-22
Khimki,14,2021-22
Volga Nizhny Novgorod,15,2021-22
Zenit St. Petersburg,1,2020-21
Spartak Moskva,2,2020-21
FC Lokomotiv Moscow,3,2020-21
PFC Sochi,4,2020-21
Rubin Kazan,5,2020-21
PFC CSKA Moscow,6,2020-21
Dinamo Moscow,7,2020-21
Khimki,8,2020-21
FC Rostov,9,2020-21
Terek Grozny,10,2020-21
FC Krasnodar,11,2020-21
FC Ural Yekaterinburg,12,2020-21
FC Ufa,13,2020-21
Arsenal Tula,14,2020-21
FK Rotor Volgograd,15,2020-21
FK Tambov,16,2020-21
Zenit St. Petersburg,1,2019-20
FC Lokomotiv Moscow,2,2019-20
PFC CSKA Moscow,3,2019-20
FC Krasnodar,4,2019-20
FC Rostov,5,2019-20
Dinamo Moscow,6,2019-20
Spartak Moskva,7,2019-20
FC Ufa,8,2019-20
Arsenal Tula,9,2019-20
Rubin Kazan,10,2019-20
FC Ural Yekaterinburg,11,2019-20
PFC Sochi,12,2019-20
Terek Grozny,13,2019-20
FK Tambov,14,2019-20
Krylya Sovetov Samara,15,2019-20
FC Orenburg,16,2019-20
Zenit St. Petersburg,1,2018-19
FC Lokomotiv Moscow,2,2018-19
FC Krasnodar,3,2018-19
Spartak Moskva,4,2018-19
PFC CSKA Moscow,5,2018-19
Arsenal Tula,6,2018-19
FC Orenburg,7,2018-19
Terek Grozny,8,2018-19
FC Rostov,9,2018-19
FC Ural Yekaterinburg,10,2018-19
Rubin Kazan,11,2018-19
Dinamo Moscow,12,2018-19
FC Ufa,13,2018-19
Krylya Sovetov Samara,14,2018-19
FC Anzhi Makhachkala,15,2018-19
Yenisey Krasnoyarsk,16,2018-19
FC Lokomotiv Moscow,1,2017-18
PFC CSKA Moscow,2,2017-18
Spartak Moskva,3,2017-18
FC Krasnodar,4,2017-18
Zenit St. Petersburg,5,2017-18
FC Ufa,6,2017-18
Arsenal Tula,7,2017-18
Dinamo Moscow,8,2017-18
Terek Grozny,9,2017-18
Rubin Kazan,10,2017-18
FC Ural Yekaterinburg,11,2017-18
FC Rostov,12,2017-18
Amkar Perm',13,2017-18
FC Anzhi Makhachkala,14,2017-18
FK Tosno,15,2017-18
SKA-Khabarovsk,16,2017-18
Spartak Moskva,1,2016-17
PFC CSKA Moscow,2,2016-17
Zenit St. Petersburg,3,2016-17
FC Rostov,4,2016-17
Terek Grozny,5,2016-17
FC Krasnodar,6,2016-17
FC Ufa,7,2016-17
FC Lokomotiv Moscow,8,2016-17
Rubin Kazan,9,2016-17
Amkar Perm',10,2016-17
FC Orenburg,11,2016-17
FC Anzhi Makhachkala,12,2016-17
FC Ural Yekaterinburg,13,2016-17
