team,pos,season
AIK,1,2023-24
BK Hacken,2,2023-24
Degerfors IF,3,2023-24
Djurgardens IF,4,2023-24
Halmstads BK,5,2023-24
Hammarby,6,2023-24
Brommapojkarna,7,2023-24
Elfsborg,8,2023-24
IFK,9,2023-24
IFK Norrkoping,10,2023-24
IFK Värnamo,11,2023-24
Sirius,12,2023-24
Kalmar FF,13,2023-24
Malmo FF,14,2023-24
Mjallby,15,2023-24
Varbergs BoIS FC,16,2023-24
BK Hacken,1,2022-23
Djurgardens IF,2,2022-23
Hammarby,3,2022-23
Kalmar FF,4,2022-23
AIK,5,2022-23
Elfsborg,6,2022-23
Malmo FF,7,2022-23
IFK,8,2022-23
Mjallby,9,2022-23
IFK Värnamo,10,2022-23
Sirius,11,2022-23
IFK Norrkoping,12,2022-23
Degerfors IF,13,2022-23
Varbergs BoIS FC,14,2022-23
Helsingborg,15,2022-23
GIF Sundsvall,16,2022-23
Malmo FF,1,2021-22
AIK,2,2021-22
Djurgardens IF,3,2021-22
Elfsborg,4,2021-22
Hammarby,5,2021-22
Kalmar FF,6,2021-22
IFK Norrkoping,7,2021-22
IFK,8,2021-22
Mjallby,9,2021-22
Varbergs BoIS FC,10,2021-22
Sirius,11,2021-22
BK Hacken,12,2021-22
Degerfors IF,13,2021-22
Halmstads BK,14,2021-22
Orebro SK,15,2021-22
Östersunds FK,16,2021-22
Malmo FF,1,2020-21
Elfsborg,2,2020-21
BK Hacken,3,2020-21
Djurgardens IF,4,2020-21
Mjallby,5,2020-21
IFK Norrkoping,6,2020-21
Orebro SK,7,2020-21
Hammarby,8,2020-21
AIK,9,2020-21
Sirius,10,2020-21
Varbergs BoIS FC,11,2020-21
IFK,12,2020-21
Östersunds FK,13,2020-21
Kalmar FF,14,2020-21
Helsingborg,15,2020-21
Falkenbergs FF,16,2020-21
Djurgardens IF,1,2019-20
Malmo FF,2,2019-20
Hammarby,3,2019-20
AIK,4,2019-20
IFK Norrkoping,5,2019-20
BK Hacken,6,2019-20
IFK,7,2019-20
Elfsborg,8,2019-20
Orebro SK,9,2019-20
Helsingborg,10,2019-20
Sirius,11,2019-20
Östersunds FK,12,2019-20
Falkenbergs FF,13,2019-20
Kalmar FF,14,2019-20
GIF Sundsvall,15,2019-20
AFC Eskilstuna,16,2019-20
AIK,1,2018-19
IFK Norrkoping,2,2018-19
Malmo FF,3,2018-19
Hammarby,4,2018-19
BK Hacken,5,2018-19
Östersunds FK,6,2018-19
Djurgardens IF,7,2018-19
GIF Sundsvall,8,2018-19
Orebro SK,9,2018-19
Kalmar FF,10,2018-19
IFK,11,2018-19
Elfsborg,12,2018-19
