team,pos,season
Unión Deportiva Las Palmas,1,2022-23
Levante UD,2,2022-23
Deportivo Alavés,3,2022-23
SD Eibar,4,2022-23
Granada CF,5,2022-23
Albacete BP,6,2022-23
Burgos CF,7,2022-23
FC Cartagena,8,2022-23
CD Leganés,9,2022-23
SD Huesca,10,2022-23
CD Tenerife,11,2022-23
Villarreal Club de Fútbol B,12,2022-23
Real Sporting de Gijón,13,2022-23
FC Andorra,14,2022-23
Real Oviedo,15,2022-23
CD Mirandés,16,2022-23
Real Zaragoza,17,2022-23
Racing Santander,18,2022-23
SD Ponferradina,19,2022-23
Málaga CF,20,2022-23
CD Lugo,21,2022-23
UD Ibiza,22,2022-23
UD Almería,1,2021-22
Real Valladolid CF,2,2021-22
SD Eibar,3,2021-22
Unión Deportiva Las Palmas,4,2021-22
CD Tenerife,5,2021-22
Girona FC,6,2021-22
Real Oviedo,7,2021-22
SD Ponferradina,8,2021-22
FC Cartagena,9,2021-22
Real Zaragoza,10,2021-22
Burgos CF,11,2021-22
CD Leganés,12,2021-22
SD Huesca,13,2021-22
CD Mirandés,14,2021-22
UD Ibiza,15,2021-22
CD Lugo,16,2021-22
Real Sporting de Gijón,17,2021-22
Málaga CF,18,2021-22
SD Amorebieta,19,2021-22
Real Sociedad B,20,2021-22
CF Fuenlabrada,21,2021-22
AD Alcorcón,22,2021-22
RCD Espanyol,1,2020-21
RCD Mallorca,2,2020-21
CD Leganés,3,2020-21
UD Almería,4,2020-21
Girona FC,5,2020-21
Rayo Vallecano,6,2020-21
Real Sporting de Gijón,7,2020-21
SD Ponferradina,8,2020-21
Unión Deportiva Las Palmas,9,2020-21
CD Mirandés,10,2020-21
CF Fuenlabrada,11,2020-21
Málaga CF,12,2020-21
Real Oviedo,13,2020-21
CD Tenerife,14,2020-21
Real Zaragoza,15,2020-21
FC Cartagena,16,2020-21
AD Alcorcón,17,2020-21
CD Lugo,18,2020-21
CE Sabadell FC,19,2020-21
UD Logroñés,20,2020-21
C.D. Castellón,21,2020-21
Albacete BP,22,2020-21
SD Huesca,1,2019-20
Cádiz CF,2,2019-20
Real Zaragoza,3,2019-20
UD Almería,4,2019-20
Girona FC,5,2019-20
Elche CF,6,2019-20
Rayo Vallecano,7,2019-20
CF Fuenlabrada,8,2019-20
Unión Deportiva Las Palmas,9,2019-20
AD Alcorcón,10,2019-20
CD Mirandés,11,2019-20
CD Tenerife,12,2019-20
Real Sporting de Gijón,13,2019-20
Málaga CF,14,2019-20
Real Oviedo,15,2019-20
CD Lugo,16,2019-20
Albacete BP,17,2019-20
SD Ponferradina,18,2019-20
Deportivo de La Coruña,19,2019-20
CD Numancia,20,2019-20
Extremadura UD,21,2019-20
Racing Santander,22,2019-20
CA Osasuna,1,2018-19
Granada CF,2,2018-19
Málaga CF,3,2018-19
Albacete BP,4,2018-19
RCD Mallorca,5,2018-19
Deportivo de La Coruña,6,2018-19
Cádiz CF,7,2018-19
Real Oviedo,8,2018-19
Real Sporting de Gijón,9,2018-19
UD Almería,10,2018-19
Elche CF,11,2018-19
Unión Deportiva Las Palmas,12,2018-19
Extremadura UD,13,2018-19
AD Alcorcón,14,2018-19
Real Zaragoza,15,2018-19
CD Tenerife,16,2018-19
CD Numancia,17,2018-19
CD Lugo,18,2018-19
CF Rayo Majadahonda,19,2018-19
Gimnàstic de Tarragona,20,2018-19
Córdoba CF,21,2018-19
CF Reus Deportiu,22,2018-19
Rayo Vallecano,1,2017-18
SD Huesca,2,2017-18
Real Zaragoza,3,2017-18
Real Sporting de Gijón,4,2017-18
Real Valladolid CF,5,2017-18
CD Numancia,6,2017-18
Real Oviedo,7,2017-18
CA Osasuna,8,2017-18
Cádiz CF,9,2017-18
Granada CF,10,2017-18
CD Tenerife,11,2017-18
CD Lugo,12,2017-18
AD Alcorcón,13,2017-18
CF Reus Deportiu,14,2017-18
Gimnàstic de Tarragona,15,2017-18
Córdoba CF,16,2017-18
Albacete BP,17,2017-18
