team,pos,season
Le Havre AC,1,2022-23
FC Girondins de Bordeaux,2,2022-23
Sochaux,3,2022-23
FC Metz,4,2022-23
Stade Malherbe Caen,5,2022-23
US Quevilly Rouen Métropole,6,2022-23
Grenoble Foot 38,7,2022-23
SC Bastia,8,2022-23
Amiens SC,9,2022-23
FC Annecy,10,2022-23
Paris FC,11,2022-23
En Avant de Guingamp,12,2022-23
Valenciennes,13,2022-23
Stade Lavallois Mayenne FC,14,2022-23
AS Saint-Étienne,15,2022-23
Pau FC,16,2022-23
Dijon FCO,17,2022-23
Nîmes Olympique,18,2022-23
Chamois Niortais Football Club,19,2022-23
Rodez Aveyron Football,20,2022-23
Toulouse Football Club,1,2021-22
AC Ajaccio,2,2021-22
AJ Auxerre,3,2021-22
Paris FC,4,2021-22
Sochaux,5,2021-22
En Avant de Guingamp,6,2021-22
Stade Malherbe Caen,7,2021-22
Le Havre AC,8,2021-22
Nîmes Olympique,9,2021-22
Pau FC,10,2021-22
Dijon FCO,11,2021-22
SC Bastia,12,2021-22
Chamois Niortais Football Club,13,2021-22
Amiens SC,14,2021-22
Grenoble Foot 38,15,2021-22
Valenciennes,16,2021-22
Rodez Aveyron Football,17,2021-22
US Quevilly Rouen Métropole,18,2021-22
USL Dunkerque,19,2021-22
AS Nancy Lorraine,20,2021-22
ESTAC Troyes,1,2020-21
Clermont Foot 63,2,2020-21
Toulouse Football Club,3,2020-21
Grenoble Foot 38,4,2020-21
Paris FC,5,2020-21
AJ Auxerre,6,2020-21
Sochaux,7,2020-21
AS Nancy Lorraine,8,2020-21
En Avant de Guingamp,9,2020-21
Amiens SC,10,2020-21
Valenciennes,11,2020-21
Le Havre AC,12,2020-21
AC Ajaccio,13,2020-21
Pau FC,14,2020-21
Rodez Aveyron Football,15,2020-21
USL Dunkerque,16,2020-21
Stade Malherbe Caen,17,2020-21
Chamois Niortais Football Club,18,2020-21
FC Chambly Oise,19,2020-21
Chateauroux,20,2020-21
FC Lorient,1,2019-20
Racing Club de Lens,2,2019-20
AC Ajaccio,3,2019-20
ESTAC Troyes,4,2019-20
Clermont Foot 63,5,2019-20
Le Havre AC,6,2019-20
Valenciennes,7,2019-20
En Avant de Guingamp,8,2019-20
Grenoble Foot 38,9,2019-20
FC Chambly Oise,10,2019-20
AJ Auxerre,11,2019-20
AS Nancy Lorraine,12,2019-20
Stade Malherbe Caen,13,2019-20
Sochaux,14,2019-20
Chateauroux,15,2019-20
Rodez Aveyron Football,16,2019-20
Paris FC,17,2019-20
Chamois Niortais Football Club,18,2019-20
Le Mans FC,19,2019-20
US Orléans Loiret Football,20,2019-20
FC Metz,1,2018-19
Stade Brestois 29,2,2018-19
ESTAC Troyes,3,2018-19
Paris FC,4,2018-19
Racing Club de Lens,5,2018-19
