team,pos,season
SV Darmstadt 98,1,2022-23
Hamburger SV,2,2022-23
1. FC Heidenheim 1846,3,2022-23
SC Paderborn 07,4,2022-23
1. FC Kaiserslautern,5,2022-23
Fortuna Düsseldorf,6,2022-23
FC St. Pauli,7,2022-23
Holstein Kiel,8,2022-23
Hannover 96,9,2022-23
Karlsruher SC,10,2022-23
SpVgg Greuther Fürth,11,2022-23
1. FC Nürnberg,12,2022-23
FC Hansa Rostock,13,2022-23
1. FC Magdeburg,14,2022-23
Eintracht Braunschweig,15,2022-23
DSC Arminia Bielefeld,16,2022-23
SSV Jahn Regensburg,17,2022-23
SV Sandhausen,18,2022-23
FC Schalke 04,1,2021-22
SV Werder Bremen,2,2021-22
Hamburger SV,3,2021-22
SV Darmstadt 98,4,2021-22
FC St. Pauli,5,2021-22
1. FC Heidenheim 1846,6,2021-22
SC Paderborn 07,7,2021-22
1. FC Nürnberg,8,2021-22
Holstein Kiel,9,2021-22
Fortuna Düsseldorf,10,2021-22
Hannover 96,11,2021-22
Karlsruher SC,12,2021-22
FC Hansa Rostock,13,2021-22
SV Sandhausen,14,2021-22
SSV Jahn Regensburg,15,2021-22
SG Dynamo Dresden,16,2021-22
FC Erzgebirge Aue,17,2021-22
FC Ingolstadt 04,18,2021-22
VfL Bochum 1848,1,2020-21
SpVgg Greuther Fürth,2,2020-21
Holstein Kiel,3,2020-21
Hamburger SV,4,2020-21
Fortuna Düsseldorf,5,2020-21
Karlsruher SC,6,2020-21
SV Darmstadt 98,7,2020-21
1. FC Heidenheim 1846,8,2020-21
SC Paderborn 07,9,2020-21
FC St. Pauli,10,2020-21
1. FC Nürnberg,11,2020-21
FC Erzgebirge Aue,12,2020-21
Hannover 96,13,2020-21
SSV Jahn Regensburg,14,2020-21
SV Sandhausen,15,2020-21
VfL Osnabrück,16,2020-21
Eintracht Braunschweig,17,2020-21
FC Würzburger Kickers,18,2020-21
DSC Arminia Bielefeld,1,2019-20
VfB Stuttgart,2,2019-20
1. FC Heidenheim 1846,3,2019-20
Hamburger SV,4,2019-20
SV Darmstadt 98,5,2019-20
Hannover 96,6,2019-20
FC Erzgebirge Aue,7,2019-20
VfL Bochum 1848,8,2019-20
SpVgg Greuther Fürth,9,2019-20
SV Sandhausen,10,2019-20
Holstein Kiel,11,2019-20
SSV Jahn Regensburg,12,2019-20
VfL Osnabrück,13,2019-20
FC St. Pauli,14,2019-20
Karlsruher SC,15,2019-20
1. FC Nürnberg,16,2019-20
SV Wehen Wiesbaden,17,2019-20
SG Dynamo Dresden,18,2019-20
1. FC Köln,1,2018-19
SC Paderborn 07,2,2018-19
1. FC Union Berlin,3,2018-19
Hamburger SV,4,2018-19
1. FC Heidenheim 1846,5,2018-19
Holstein Kiel,6,2018-19
DSC Arminia Bielefeld,7,2018-19
SSV Jahn Regensburg,8,2018-19
FC St. Pauli,9,2018-19
SV Darmstadt 98,10,2018-19
VfL Bochum 1848,11,2018-19
SG Dynamo Dresden,12,2018-19
SpVgg Greuther Fürth,13,2018-19
FC Erzgebirge Aue,14,2018-19
SV Sandhausen,15,2018-19
FC Ingolstadt 04,16,2018-19
1. FC Magdeburg,17,2018-19
MSV Duisburg,18,2018-19
Fortuna Düsseldorf,1,2017-18
1. FC Nürnberg,2,2017-18
Holstein Kiel,3,2017-18
DSC Arminia Bielefeld,4,2017-18
SSV Jahn Regensburg,5,2017-18
VfL Bochum 1848,6,2017-18
MSV Duisburg,7,2017-18
1. FC Union Berlin,8,2017-18
FC Ingolstadt 04,9,2017-18
SV Darmstadt 98,10,2017-18
SV Sandhausen,11,2017-18
FC St. Pauli,12,2017-18
1. FC Heidenheim 1846,13,2017-18
SG Dynamo Dresden,14,2017-18
SpVgg Greuther Fürth,15,2017-18
FC Erzgebirge Aue,16,2017-18
Eintracht Braunschweig,17,2017-18
1. FC Kaiserslautern,18,2017-18
VfB Stuttgart,1,2016-17
Hannover 96,2,2016-17
Eintracht Braunschweig,3,2016-17
1. FC Union Berlin,4,2016-17
SG Dynamo Dresden,5,2016-17
1. FC Heidenheim 1846,6,2016-17
FC St. Pauli,7,2016-17
SpVgg Greuther Fürth,8,2016-17
VfL Bochum 1848,9,2016-17
SV Sandhausen,10,2016-17
Fortuna Düsseldorf,11,2016-17
1. FC Nürnberg,12,2016-17
1. FC Kaiserslautern,13,2016-17
FC Erzgebirge Aue,14,2016-17
DSC Arminia Bielefeld,15,2016-17
TSV 1860 München,16,2016-17
FC Würzburger Kickers,17,2016-17
Karlsruher SC,18,2016-17
SC Freiburg,1,2015-16
RB Leipzig,2,2015-16
1. FC Nürnberg,3,2015-16
FC St. Pauli,4,2015-16
VfL Bochum 1848,5,2015-16
1. FC Union Berlin,6,2015-16
Karlsruher SC,7,2015-16
Eintracht Braunschweig,8,2015-16
SpVgg Greuther Fürth,9,2015-16
1. FC Kaiserslautern,10,2015-16
1. FC Heidenheim 1846,11,2015-16
DSC Arminia Bielefeld,12,2015-16
SV Sandhausen,13,2015-16
Fortuna Düsseldorf,14,2015-16
TSV 1860 München,15,2015-16
MSV Duisburg,16,2015-16
FSV Frankfurt,17,2015-16
SC Paderborn 07,18,2015-16
FC Ingolstadt 04,1,2014-15
SV Darmstadt 98,2,2014-15
Karlsruher SC,3,2014-15
1. FC Kaiserslautern,4,2014-15
RB Leipzig,5,2014-15
Eintracht Braunschweig,6,2014-15
1. FC Union Berlin,7,2014-15
1. FC Heidenheim 1846,8,2014-15
1. FC Nürnberg,9,2014-15
Fortuna Düsseldorf,10,2014-15
VfL Bochum 1848,11,2014-15
SV Sandhausen,12,2014-15
FSV Frankfurt,13,2014-15
SpVgg Greuther Fürth,14,2014-15
FC St. Pauli,15,2014-15
TSV 1860 München,16,2014-15
FC Erzgebirge Aue,17,2014-15
VfR Aalen,18,2014-15
1. FC Köln,1,2013-14
SC Paderborn 07,2,2013-14
SpVgg Greuther Fürth,3,2013-14
1. FC Kaiserslautern,4,2013-14
Karlsruher SC,5,2013-14
Fortuna Düsseldorf,6,2013-14
TSV 1860 München,7,2013-14
FC St. Pauli,8,2013-14
1. FC Union Berlin,9,2013-14
FC Ingolstadt 04,10,2013-14
VfR Aalen,11,2013-14
SV Sandhausen,12,2013-14
FSV Frankfurt,13,2013-14
FC Erzgebirge Aue,14,2013-14
VfL Bochum 1848,15,2013-14
DSC Arminia Bielefeld,16,2013-14
SG Dynamo Dresden,17,2013-14
FC Energie Cottbus,18,2013-14
Hertha BSC,1,2012-13
Eintracht Braunschweig,2,2012-13
1. FC Kaiserslautern,3,2012-13
FSV Frankfurt,4,2012-13
1. FC Köln,5,2012-13
TSV 1860 München,6,2012-13
1. FC Union Berlin,7,2012-13
FC Energie Cottbus,8,2012-13
VfR Aalen,9,2012-13
FC St. Pauli,10,2012-13
MSV Duisburg,11,2012-13
SC Paderborn 07,12,2012-13
FC Ingolstadt 04,13,2012-13
VfL Bochum 1848,14,2012-13
FC Erzgebirge Aue,15,2012-13
SG Dynamo Dresden,16,2012-13
SV Sandhausen,17,2012-13
SSV Jahn Regensburg,18,2012-13
SpVgg Greuther Fürth,1,2011-12
Eintracht Frankfurt,2,2011-12
Fortuna Düsseldorf,3,2011-12
FC St. Pauli,4,2011-12
SC Paderborn 07,5,2011-12
TSV 1860 München,6,2011-12
1. FC Union Berlin,7,2011-12
Eintracht Braunschweig,8,2011-12
SG Dynamo Dresden,9,2011-12
MSV Duisburg,10,2011-12
VfL Bochum 1848,11,2011-12
FC Ingolstadt 04,12,2011-12
FSV Frankfurt,13,2011-12
FC Energie Cottbus,14,2011-12
FC Erzgebirge Aue,15,2011-12
Karlsruher SC,16,2011-12
Alemannia Aachen,17,2011-12
FC Hansa Rostock,18,2011-12
Hertha BSC,1,2010-11
FC Augsburg,2,2010-11
VfL Bochum 1848,3,2010-11
SpVgg Greuther Fürth,4,2010-11
FC Erzgebirge Aue,5,2010-11
FC Energie Cottbus,6,2010-11
Fortuna Düsseldorf,7,2010-11
MSV Duisburg,8,2010-11
TSV 1860 München,9,2010-11
Alemannia Aachen,10,2010-11
1. FC Union Berlin,11,2010-11
SC Paderborn 07,12,2010-11
FSV Frankfurt,13,2010-11
FC Ingolstadt 04,14,2010-11
Karlsruher SC,15,2010-11
VfL Osnabrück,16,2010-11
RW Oberhausen,17,2010-11
DSC Arminia Bielefeld,18,2010-11
1. FC Kaiserslautern,1,2009-10
FC St. Pauli,2,2009-10
FC Augsburg,3,2009-10
Fortuna Düsseldorf,4,2009-10
SC Paderborn 07,5,2009-10
MSV Duisburg,6,2009-10
DSC Arminia Bielefeld,7,2009-10
TSV 1860 München,8,2009-10
FC Energie Cottbus,9,2009-10
Karlsruher SC,10,2009-10
SpVgg Greuther Fürth,11,2009-10
1. FC Union Berlin,12,2009-10
Alemannia Aachen,13,2009-10
RW Oberhausen,14,2009-10
FSV Frankfurt,15,2009-10
FC Hansa Rostock,16,2009-10
TUS Koblenz,17,2009-10
Ahlen,18,2009-10
SC Freiburg,1,2008-09
Mainz,2,2008-09
1. FC Nürnberg,3,2008-09
Alemannia Aachen,4,2008-09
SpVgg Greuther Fürth,5,2008-09
MSV Duisburg,6,2008-09
1. FC Kaiserslautern,7,2008-09
FC St. Pauli,8,2008-09
RW Oberhausen,9,2008-09
Ahlen,10,2008-09
FC Augsburg,11,2008-09
TSV 1860 München,12,2008-09
FC Hansa Rostock,13,2008-09
TUS Koblenz,14,2008-09
FSV Frankfurt,15,2008-09
VfL Osnabrück,16,2008-09
FC Ingolstadt 04,17,2008-09
SV Wehen Wiesbaden,18,2008-09
Borussia Mönchengladbach,1,2007-08
TSG Hoffenheim,2,2007-08
1. FC Köln,3,2007-08
Mainz,4,2007-08
SC Freiburg,5,2007-08
SpVgg Greuther Fürth,6,2007-08
Alemannia Aachen,7,2007-08
TUS Koblenz,8,2007-08
SV Wehen Wiesbaden,9,2007-08
FC St. Pauli,10,2007-08
TSV 1860 München,11,2007-08
VfL Osnabrück,12,2007-08
1. FC Kaiserslautern,13,2007-08
FC Augsburg,14,2007-08
Kickers Offenbach,15,2007-08
FC Erzgebirge Aue,16,2007-08
SC Paderborn 07,17,2007-08
FC Carl Zeiss Jena,18,2007-08
Karlsruher SC,1,2006-07
FC Hansa Rostock,2,2006-07
MSV Duisburg,3,2006-07
SC Freiburg,4,2006-07
SpVgg Greuther Fürth,5,2006-07
1. FC Kaiserslautern,6,2006-07
