team,pos,season
FC Barcelona,1,2022-23
Real Madrid,2,2022-23
Real Sociedad,3,2022-23
Atlético Madrid,4,2022-23
Villarreal CF,5,2022-23
Real Betis,6,2022-23
Athletic Club de Bilbao,7,2022-23
Rayo Vallecano,8,2022-23
CA Osasuna,9,2022-23
RCD Mallorca,10,2022-23
Girona FC,11,2022-23
RC Celta de Vigo,12,2022-23
Real Valladolid CF,13,2022-23
UD Almería,14,2022-23
RCD Espanyol,15,2022-23
Sevilla FC,16,2022-23
Valencia CF,17,2022-23
Cádiz CF,18,2022-23
Getafe CF,19,2022-23
Elche CF,20,2022-23
Real Madrid,1,2021-22
FC Barcelona,2,2021-22
Atlético Madrid,3,2021-22
Sevilla FC,4,2021-22
Real Betis,5,2021-22
Real Sociedad,6,2021-22
Villarreal CF,7,2021-22
Athletic Club de Bilbao,8,2021-22
CA Osasuna,9,2021-22
RC Celta de Vigo,10,2021-22
Valencia CF,11,2021-22
Rayo Vallecano,12,2021-22
Elche CF,13,2021-22
RCD Espanyol,14,2021-22
Getafe CF,15,2021-22
RCD Mallorca,16,2021-22
Granada CF,17,2021-22
Levante UD,18,2021-22
Deportivo Alavés,19,2021-22
Cádiz CF,20,2021-22
Atlético Madrid,1,2020-21
Real Madrid,2,2020-21
FC Barcelona,3,2020-21
Sevilla FC,4,2020-21
Real Sociedad,5,2020-21
Villarreal CF,6,2020-21
Real Betis,7,2020-21
RC Celta de Vigo,8,2020-21
Athletic Club de Bilbao,9,2020-21
Granada CF,10,2020-21
CA Osasuna,11,2020-21
Cádiz CF,12,2020-21
Valencia CF,13,2020-21
Levante UD,14,2020-21
Getafe CF,15,2020-21
Deportivo Alavés,16,2020-21
Elche CF,17,2020-21
SD Huesca,18,2020-21
Real Valladolid CF,19,2020-21
SD Eibar,20,2020-21
Real Madrid,1,2019-20
FC Barcelona,2,2019-20
Atlético Madrid,3,2019-20
Sevilla FC,4,2019-20
Villarreal CF,5,2019-20
Real Sociedad,6,2019-20
Granada CF,7,2019-20
Getafe CF,8,2019-20
Valencia CF,9,2019-20
CA Osasuna,10,2019-20
Athletic Club de Bilbao,11,2019-20
Levante UD,12,2019-20
Real Valladolid CF,13,2019-20
Deportivo Alavés,14,2019-20
Real Betis,15,2019-20
SD Eibar,16,2019-20
CD Leganés,17,2019-20
RC Celta de Vigo,18,2019-20
RCD Mallorca,19,2019-20
RCD Espanyol,20,2019-20
FC Barcelona,1,2018-19
Atlético Madrid,2,2018-19
Real Madrid,3,2018-19
Valencia CF,4,2018-19
Getafe CF,5,2018-19
RCD Espanyol,6,2018-19
Athletic Club de Bilbao,7,2018-19
Real Sociedad,8,2018-19
Real Betis,9,2018-19
Deportivo Alavés,10,2018-19
SD Eibar,11,2018-19
CD Leganés,12,2018-19
Villarreal CF,13,2018-19
Levante UD,14,2018-19
Real Valladolid CF,15,2018-19
RC Celta de Vigo,16,2018-19
Girona FC,17,2018-19
SD Huesca,18,2018-19
Rayo Vallecano,19,2018-19
Sevilla FC,20,2018-19
FC Barcelona,1,2017-18
Atlético Madrid,2,2017-18
Real Madrid,3,2017-18
Valencia CF,4,2017-18
Villarreal CF,5,2017-18
Real Betis,6,2017-18
Sevilla FC,7,2017-18
Getafe CF,8,2017-18
SD Eibar,9,2017-18
Girona FC,10,2017-18
Real Sociedad,11,2017-18
RC Celta de Vigo,12,2017-18
RCD Espanyol,13,2017-18
Deportivo Alavés,14,2017-18
