team,pos,season
Young Boys,1,2022-23
FC St. Gallen 1879,2,2022-23
Lugano,3,2022-23
Servette,4,2022-23
Luzern,5,2022-23
Grasshopper Club Zürich,6,2022-23
FC Basel,7,2022-23
Sion,8,2022-23
FC Zürich,9,2022-23
FC Winterthur,10,2022-23
FC Zürich,1,2021-22
FC Basel,2,2021-22
Young Boys,3,2021-22
Lugano,4,2021-22
FC St. Gallen 1879,5,2021-22
Servette,6,2021-22
Sion,7,2021-22
Grasshopper Club Zürich,8,2021-22
Luzern,9,2021-22
Lausanne,10,2021-22
Young Boys,1,2020-21
FC Basel,2,2020-21
Servette,3,2020-21
Lugano,4,2020-21
Luzern,5,2020-21
Lausanne,6,2020-21
FC St. Gallen 1879,7,2020-21
FC Zürich,8,2020-21
Sion,9,2020-21
FC Vaduz,10,2020-21
Young Boys,1,2019-20
FC St. Gallen 1879,2,2019-20
FC Basel,3,2019-20
Servette,4,2019-20
Lugano,5,2019-20
Luzern,6,2019-20
FC Zürich,7,2019-20
Sion,8,2019-20
Thun,9,2019-20
Neuchâtel Xamax,10,2019-20
Young Boys,1,2018-19
FC Basel,2,2018-19
Thun,3,2018-19
Luzern,4,2018-19
FC St. Gallen 1879,5,2018-19
FC Zürich,6,2018-19
Lugano,7,2018-19
Sion,8,2018-19
Neuchâtel Xamax,9,2018-19
Grasshopper Club Zürich,10,2018-19
Young Boys,1,2017-18
FC Basel,2,2017-18
Luzern,3,2017-18
FC Zürich,4,2017-18
FC St. Gallen 1879,5,2017-18
Sion,6,2017-18
Lugano,7,2017-18
Grasshopper Club Zürich,8,2017-18
Thun,9,2017-18
Lausanne,10,2017-18
FC Basel,1,2016-17
Young Boys,2,2016-17
Lugano,3,2016-17
Sion,4,2016-17
Luzern,5,2016-17
Thun,6,2016-17
FC St. Gallen 1879,7,2016-17
Grasshopper Club Zürich,8,2016-17
Lausanne,9,2016-17
FC Vaduz,10,2016-17
FC Basel,1,2015-16
Young Boys,2,2015-16
Luzern,3,2015-16
Grasshopper Club Zürich,4,2015-16
Sion,5,2015-16
Thun,6,2015-16
FC St. Gallen 1879,7,2015-16
FC Vaduz,8,2015-16
Lugano,9,2015-16
FC Zürich,10,2015-16
Aarau,1,2014-15
Thun,2,2014-15
FC St. Gallen 1879,3,2014-15
Sion,4,2014-15
Luzern,5,2014-15
Grasshopper Club Zürich,6,2014-15
FC Zürich,7,2014-15
FC Vaduz,8,2014-15
FC Basel,9,2014-15
Young Boys,10,2014-15
FC Basel,1,2013-14
Grasshopper Club Zürich,2,2013-14
Young Boys,3,2013-14
Luzern,4,2013-14
FC Zürich,5,2013-14
Thun,6,2013-14
FC St. Gallen 1879,7,2013-14
Sion,8,2013-14
Aarau,9,2013-14
Lausanne,10,2013-14
FC Basel,1,2012-13
Grasshopper Club Zürich,2,2012-13
FC St. Gallen 1879,3,2012-13
FC Zürich,4,2012-13
Thun,5,2012-13
Sion,6,2012-13
Young Boys,7,2012-13
Luzern,8,2012-13
Lausanne Sport,9,2012-13
Servette,10,2012-13
FC Basel,1,2011-12
Luzern,2,2011-12
Sion,3,2011-12
Young Boys,4,2011-12
Servette,5,2011-12
Thun,6,2011-12
FC Zürich,7,2011-12
Lausanne Sport,8,2011-12
Neuchâtel Xamax,9,2011-12
Grasshopper Club Zürich,10,2011-12
FC Basel,1,2010-11
FC Zürich,2,2010-11
Young Boys,3,2010-11
Sion,4,2010-11
Thun,5,2010-11
Luzern,6,2010-11
Grasshopper Club Zürich,7,2010-11
Neuchâtel Xamax,8,2010-11
Bellinzona,9,2010-11
FC St. Gallen 1879,10,2010-11
FC Basel,1,2009-10
Young Boys,2,2009-10
Grasshopper Club Zürich,3,2009-10
Luzern,4,2009-10
Sion,5,2009-10
FC St. Gallen 1879,6,2009-10
FC Zürich,7,2009-10
Neuchâtel Xamax,8,2009-10
Bellinzona,9,2009-10
Aarau,10,2009-10
