team,pos,season
Ulsan Hyundai FC,1,2022-22
Jeonbuk Hyundai Motors,2,2022-22
Pohang Steelers,3,2022-22
Incheon United FC,4,2022-22
Jeju United FC,5,2022-22
Gangwon FC,6,2022-22
Suwon FC,7,2022-22
FC Seoul,8,2022-22
Daegu FC,9,2022-22
Suwon Samsung Bluewings,10,2022-22
Sangju Sangmu FC,11,2022-22
Seongnam FC,12,2022-22
Jeonbuk Hyundai Motors,1,2021-21
Ulsan Hyundai FC,2,2021-21
Daegu FC,3,2021-21
Jeju United FC,4,2021-21
Suwon FC,5,2021-21
FC Seoul,6,2021-21
Incheon United FC,7,2021-21
Pohang Steelers,8,2021-21
Suwon Samsung Bluewings,9,2021-21
Gangwon FC,10,2021-21
Seongnam FC,11,2021-21
GwangJu FC,12,2021-21
Jeonbuk Hyundai Motors,1,2020-20
Ulsan Hyundai FC,2,2020-20
Pohang Steelers,3,2020-20
Sangju Sangmu FC,4,2020-20
Daegu FC,5,2020-20
Gangwon FC,6,2020-20
Suwon Samsung Bluewings,7,2020-20
Seongnam FC,8,2020-20
FC Seoul,9,2020-20
Incheon United FC,10,2020-20
GwangJu FC,11,2020-20
Busan IPark,12,2020-20
Jeonbuk Hyundai Motors,1,2019-19
Ulsan Hyundai FC,2,2019-19
FC Seoul,3,2019-19
Pohang Steelers,4,2019-19
Daegu FC,5,2019-19
Sangju Sangmu FC,6,2019-19
Gangwon FC,7,2019-19
Suwon Samsung Bluewings,8,2019-19
Seongnam FC,9,2019-19
Incheon United FC,10,2019-19
Gyeongnam FC,11,2019-19
Jeju United FC,12,2019-19
Jeonbuk Hyundai Motors,1,2018-18
Gyeongnam FC,2,2018-18
Ulsan Hyundai FC,3,2018-18
Pohang Steelers,4,2018-18
Jeju United FC,5,2018-18
Suwon Samsung Bluewings,6,2018-18
Daegu FC,7,2018-18
Gangwon FC,8,2018-18
FC Seoul,9,2018-18
Sangju Sangmu FC,10,2018-18
Incheon United FC,11,2018-18
Jeonnam Dragons,12,2018-18
