team,pos,season
SL Benfica,1,2022-23
FC Porto,2,2022-23
SC Braga,3,2022-23
Sporting CP,4,2022-23
Casa Pia,5,2022-23
Vitória Guimarães,6,2022-23
FC Arouca,7,2022-23
GD Chaves,8,2022-23
Boavista FC,9,2022-23
FC Vizela,10,2022-23
Rio Ave FC,11,2022-23
Futebol Clube de Famalicão,12,2022-23
Portimonense SC,13,2022-23
Estoril Praia,14,2022-23
Gil Vicente FC,15,2022-23
Santa Clara,16,2022-23
Clube Sport Marítimo,17,2022-23
FC Paços de Ferreira,18,2022-23
FC Porto,1,2021-22
Sporting CP,2,2021-22
SL Benfica,3,2021-22
SC Braga,4,2021-22
Gil Vicente FC,5,2021-22
Vitória Guimarães,6,2021-22
Santa Clara,7,2021-22
Futebol Clube de Famalicão,8,2021-22
Estoril Praia,9,2021-22
Clube Sport Marítimo,10,2021-22
Boavista FC,11,2021-22
Portimonense SC,12,2021-22
FC Paços de Ferreira,13,2021-22
FC Arouca,14,2021-22
Moreirense FC,15,2021-22
CD Tondela,16,2021-22
Os Belenenses,17,2021-22
FC Vizela,18,2021-22
Sporting CP,1,2020-21
FC Porto,2,2020-21
SL Benfica,3,2020-21
SC Braga,4,2020-21
FC Paços de Ferreira,5,2020-21
Santa Clara,6,2020-21
Moreirense FC,7,2020-21
Vitória Guimarães,8,2020-21
Futebol Clube de Famalicão,9,2020-21
Os Belenenses,10,2020-21
Gil Vicente FC,11,2020-21
Boavista FC,12,2020-21
CD Tondela,13,2020-21
Portimonense SC,14,2020-21
Clube Sport Marítimo,15,2020-21
Rio Ave FC,16,2020-21
SC Farense,17,2020-21
CD Nacional,18,2020-21
FC Porto,1,2019-20
SL Benfica,2,2019-20
SC Braga,3,2019-20
Sporting CP,4,2019-20
Rio Ave FC,5,2019-20
Futebol Clube de Famalicão,6,2019-20
Vitória Guimarães,7,2019-20
Moreirense FC,8,2019-20
Gil Vicente FC,9,2019-20
Boavista FC,10,2019-20
Santa Clara,11,2019-20
Clube Sport Marítimo,12,2019-20
FC Paços de Ferreira,13,2019-20
CD Tondela,14,2019-20
Os Belenenses,15,2019-20
Vitória de Setúbal,16,2019-20
Portimonense SC,17,2019-20
Desportivo das Aves,18,2019-20
SL Benfica,1,2018-19
FC Porto,2,2018-19
Sporting CP,3,2018-19
SC Braga,4,2018-19
Vitória Guimarães,5,2018-19
Moreirense FC,6,2018-19
Rio Ave FC,7,2018-19
Boavista FC,8,2018-19
