team,pos,season
Pachuca,1,2023-23
Tigres U.A.N.L.,2,2023-23
Monterrey,3,2023-23
Santos Laguna,4,2023-23
U.N.A.M.,5,2023-23
Atlético de San Luis,6,2023-23
Club América,7,2023-23
Club Atlas,8,2023-23
Guadalajara,9,2023-23
Deportivo Toluca,10,2023-23
FC Juárez,11,2023-23
Club Necaxa,12,2023-23
Club León,13,2023-23
Club Tijuana,14,2023-23
Puebla FC,15,2023-23
Querétaro,16,2023-23
Cruz Azul,17,2023-23
Mazatlán FC,18,2023-23
Club América,1,2022-22
Monterrey,2,2022-22
Santos Laguna,3,2022-22
Pachuca,4,2022-22
Tigres U.A.N.L.,5,2022-22
Deportivo Toluca,6,2022-22
Cruz Azul,7,2022-22
Puebla FC,8,2022-22
Guadalajara,9,2022-22
Club León,10,2022-22
FC Juárez,11,2022-22
Club Necaxa,12,2022-22
Atlético de San Luis,13,2022-22
Mazatlán FC,14,2022-22
Club Tijuana,15,2022-22
U.N.A.M.,16,2022-22
Club Atlas,17,2022-22
Querétaro,18,2022-22
Pachuca,1,2022-22
Tigres U.A.N.L.,2,2022-22
Club América,3,2022-22
Puebla FC,4,2022-22
Guadalajara,5,2022-22
Monterrey,6,2022-22
Cruz Azul,7,2022-22
Club Atlas,8,2022-22
Club Necaxa,9,2022-22
Atlético de San Luis,10,2022-22
U.N.A.M.,11,2022-22
Mazatlán FC,12,2022-22
Club León,13,2022-22
Santos Laguna,14,2022-22
Deportivo Toluca,15,2022-22
Querétaro,16,2022-22
Club Tijuana,17,2022-22
FC Juárez,18,2022-22
Club América,1,2021-21
Club Atlas,2,2021-21
Club León,3,2021-21
Tigres U.A.N.L.,4,2021-21
Santos Laguna,5,2021-21
Deportivo Toluca,6,2021-21
Puebla FC,7,2021-21
Cruz Azul,8,2021-21
Monterrey,9,2021-21
Guadalajara,10,2021-21
U.N.A.M.,11,2021-21
Atlético de San Luis,12,2021-21
Mazatlán FC,13,2021-21
Club Necaxa,14,2021-21
Pachuca,15,2021-21
FC Juárez,16,2021-21
Querétaro,17,2021-21
Club Tijuana,18,2021-21
Club América,1,2021-21
Cruz Azul,2,2021-21
Puebla FC,3,2021-21
Monterrey,4,2021-21
Santos Laguna,5,2021-21
Club León,6,2021-21
Pachuca,7,2021-21
Guadalajara,8,2021-21
Tigres U.A.N.L.,9,2021-21
Deportivo Toluca,10,2021-21
Club Atlas,11,2021-21
Querétaro,12,2021-21
Mazatlán FC,13,2021-21
Club Tijuana,14,2021-21
U.N.A.M.,15,2021-21
FC Juárez,16,2021-21
Atlético de San Luis,17,2021-21
Club Necaxa,18,2021-21
Club León,1,2020-20
Club América,2,2020-20
U.N.A.M.,3,2020-20
Cruz Azul,4,2020-20
Tigres U.A.N.L.,5,2020-20
Monterrey,6,2020-20
Guadalajara,7,2020-20
Santos Laguna,8,2020-20
Pachuca,9,2020-20
Deportivo Toluca,10,2020-20
Club Necaxa,11,2020-20
Puebla FC,12,2020-20
FC Juárez,13,2020-20
Mazatlán FC,14,2020-20
Club Tijuana,15,2020-20
Querétaro,16,2020-20
Club Atlas,17,2020-20
Atlético de San Luis,18,2020-20
Cruz Azul,1,2020-20
Club León,2,2020-20
Santos Laguna,3,2020-20
Club América,4,2020-20
Guadalajara,5,2020-20
U.N.A.M.,6,2020-20
Tigres U.A.N.L.,7,2020-20
FC Juárez,8,2020-20
Monarcas Morelia,9,2020-20
Puebla FC,10,2020-20
Pachuca,11,2020-20
Querétaro,12,2020-20
Atlético de San Luis,13,2020-20
Club Necaxa,14,2020-20
Deportivo Toluca,15,2020-20
Club Tijuana,16,2020-20
Club Atlas,17,2020-20
Monterrey,18,2020-20
Club León,1,2019-19
Tigres U.A.N.L.,2,2019-19
Club América,3,2019-19
Monterrey,4,2019-19
Cruz Azul,5,2019-19
Club Necaxa,6,2019-19
Pachuca,7,2019-19
Club Tijuana,8,2019-19
Deportivo Toluca,9,2019-19
Puebla FC,10,2019-19
Santos Laguna,11,2019-19
Lobos BUAP,12,2019-19
Club Atlas,13,2019-19
Guadalajara,14,2019-19
U.N.A.M.,15,2019-19
Monarcas Morelia,16,2019-19
Querétaro,17,2019-19
Tiburones Rojos de Veracruz,18,2019-19
Club León,1,2019-19
Tigres U.A.N.L.,2,2019-19
Club América,3,2019-19
Monterrey,4,2019-19
Cruz Azul,5,2019-19
Club Necaxa,6,2019-19
Pachuca,7,2019-19
Club Tijuana,8,2019-19
Deportivo Toluca,9,2019-19
Puebla FC,10,2019-19
Santos Laguna,11,2019-19
Lobos BUAP,12,2019-19
Club Atlas,13,2019-19
Guadalajara,14,2019-19
U.N.A.M.,15,2019-19
Monarcas Morelia,16,2019-19
Querétaro,17,2019-19
Tiburones Rojos de Veracruz,18,2019-19
Cruz Azul,1,2018-18
Club América,2,2018-18
U.N.A.M.,3,2018-18
Santos Laguna,4,2018-18
Monterrey,5,2018-18
Tigres U.A.N.L.,6,2018-18
Deportivo Toluca,7,2018-18
Monarcas Morelia,8,2018-18
Pachuca,9,2018-18
Querétaro,10,2018-18
Lobos BUAP,11,2018-18
Club León,12,2018-18
Guadalajara,13,2018-18
Puebla FC,14,2018-18
Club Necaxa,15,2018-18
Club Tijuana,16,2018-18
Club Atlas,17,2018-18
Tiburones Rojos de Veracruz,18,2018-18
Deportivo Toluca,1,2018-18
Club América,2,2018-18
Monterrey,3,2018-18
Santos Laguna,4,2018-18
Tigres U.A.N.L.,5,2018-18
Club Tijuana,6,2018-18
U.N.A.M.,7,2018-18
Monarcas Morelia,8,2018-18
Pachuca,9,2018-18
Puebla FC,10,2018-18
Club Necaxa,11,2018-18
Cruz Azul,12,2018-18
Club León,13,2018-18
Querétaro,14,2018-18
Club Atlas,15,2018-18
Tiburones Rojos de Veracruz,16,2018-18
Guadalajara,17,2018-18
Lobos BUAP,18,2018-18
Monterrey,1,2017-17
Tigres U.A.N.L.,2,2017-17
Club Atlas,3,2017-17
Deportivo Toluca,4,2017-17
Monarcas Morelia,5,2017-17
Club América,6,2017-17
Lobos BUAP,7,2017-17
Cruz Azul,8,2017-17
Club León,9,2017-17
Club Necaxa,10,2017-17
Guadalajara,11,2017-17
Santos Laguna,12,2017-17
Puebla FC,13,2017-17
Querétaro,14,2017-17
Club Tijuana,15,2017-17
Pachuca,16,2017-17
U.N.A.M.,17,2017-17
Tiburones Rojos de Veracruz,18,2017-17
Club Tijuana,1,2017-17
Monterrey,2,2017-17
Guadalajara,3,2017-17
Deportivo Toluca,4,2017-17
Santos Laguna,5,2017-17
Club Atlas,6,2017-17
Tigres U.A.N.L.,7,2017-17
Monarcas Morelia,8,2017-17
Club América,9,2017-17
Pachuca,10,2017-17
Cruz Azul,11,2017-17
Club Necaxa,12,2017-17
Tiburones Rojos de Veracruz,13,2017-17
Club León,14,2017-17
Querétaro,15,2017-17
Jaguares de Chiapas,16,2017-17
U.N.A.M.,17,2017-17
Puebla FC,18,2017-17
Club Tijuana,1,2016-16
Pachuca,2,2016-16
Tigres U.A.N.L.,3,2016-16
Guadalajara,4,2016-16
Club América,5,2016-16
U.N.A.M.,6,2016-16
Club Necaxa,7,2016-16
Club León,8,2016-16
Monterrey,9,2016-16
Deportivo Toluca,10,2016-16
Querétaro,11,2016-16
Monarcas Morelia,12,2016-16
Cruz Azul,13,2016-16
Club Atlas,14,2016-16
Puebla FC,15,2016-16
Santos Laguna,16,2016-16
Tiburones Rojos de Veracruz,17,2016-16
Jaguares de Chiapas,18,2016-16
Monterrey,1,2016-16
Pachuca,2,2016-16
Club León,3,2016-16
Club América,4,2016-16
Guadalajara,5,2016-16
Monarcas Morelia,6,2016-16
Santos Laguna,7,2016-16
Tigres U.A.N.L.,8,2016-16
Cruz Azul,9,2016-16
U.N.A.M.,10,2016-16
Deportivo Toluca,11,2016-16
Puebla FC,12,2016-16
Querétaro,13,2016-16
Club Tijuana,14,2016-16
Club Atlas,15,2016-16
Dorados de Sinaloa,16,2016-16
Tiburones Rojos de Veracruz,17,2016-16
Jaguares de Chiapas,18,2016-16
U.N.A.M.,1,2015-15
Deportivo Toluca,2,2015-15
Club León,3,2015-15
Jaguares de Chiapas,4,2015-15
Tigres U.A.N.L.,5,2015-15
Club América,6,2015-15
Tiburones Rojos de Veracruz,7,2015-15
Puebla FC,8,2015-15
Monterrey,9,2015-15
Monarcas Morelia,10,2015-15
Querétaro,11,2015-15
Pachuca,12,2015-15
Cruz Azul,13,2015-15
Guadalajara,14,2015-15
Santos Laguna,15,2015-15
Club Atlas,16,2015-15
Club Tijuana,17,2015-15
Dorados de Sinaloa,18,2015-15
Club América,1,2015-15
Pachuca,2,2015-15
Monterrey,3,2015-15
Santos Laguna,4,2015-15
Club Tijuana,5,2015-15
Guadalajara,6,2015-15
Club León,7,2015-15
Deportivo Toluca,8,2015-15
Monarcas Morelia,9,2015-15
U.N.A.M.,10,2015-15
Querétaro,11,2015-15
Leones Negros de la UdeG,12,2015-15
Cruz Azul,13,2015-15
Club Atlas,14,2015-15
Puebla FC,15,2015-15
Jaguares de Chiapas,16,2015-15
Tiburones Rojos de Veracruz,17,2015-15
Tigres U.A.N.L.,18,2015-15
Club América,1,2014-14
Tigres U.A.N.L.,2,2014-14
Club Atlas,3,2014-14
Deportivo Toluca,4,2014-14
Jaguares de Chiapas,5,2014-14
Monterrey,6,2014-14
Pachuca,7,2014-14
U.N.A.M.,8,2014-14
Santos Laguna,9,2014-14
Club León,10,2014-14
Club Tijuana,11,2014-14
Querétaro,12,2014-14
Cruz Azul,13,2014-14
Leones Negros de la UdeG,14,2014-14
Puebla FC,15,2014-14
Guadalajara,16,2014-14
Tiburones Rojos de Veracruz,17,2014-14
Monarcas Morelia,18,2014-14
Cruz Azul,1,2014-14
Deportivo Toluca,2,2014-14
U.N.A.M.,3,2014-14
Santos Laguna,4,2014-14
Club América,5,2014-14
Pachuca,6,2014-14
Club Tijuana,7,2014-14
Club León,8,2014-14
Jaguares de Chiapas,9,2014-14
Monterrey,10,2014-14
Monarcas Morelia,11,2014-14
Club Atlas,12,2014-14
Querétaro,13,2014-14
Tigres U.A.N.L.,14,2014-14
Guadalajara,15,2014-14
Puebla FC,16,2014-14
Atlante,17,2014-14
Tiburones Rojos de Veracruz,18,2014-14
Club América,1,2013-13
Santos Laguna,2,2013-13
Club León,3,2013-13
Cruz Azul,4,2013-13
Deportivo Toluca,5,2013-13
Monarcas Morelia,6,2013-13
Querétaro,7,2013-13
Tigres U.A.N.L.,8,2013-13
Jaguares de Chiapas,9,2013-13
Club Tijuana,10,2013-13
Monterrey,11,2013-13
Tiburones Rojos de Veracruz,12,2013-13
Puebla FC,13,2013-13
Pachuca,14,2013-13
Club Atlas,15,2013-13
Guadalajara,16,2013-13
Atlante,17,2013-13
U.N.A.M.,18,2013-13
Club América,1,2013-13
Tigres U.A.N.L.,2,2013-13
Club Atlas,3,2013-13
Cruz Azul,4,2013-13
Santos Laguna,5,2013-13
Monarcas Morelia,6,2013-13
U.N.A.M.,7,2013-13
Monterrey,8,2013-13
Querétaro,9,2013-13
Club Tijuana,10,2013-13
Pachuca,11,2013-13
Puebla FC,12,2013-13
Deportivo Toluca,13,2013-13
Jaguares de Chiapas,14,2013-13
Club León,15,2013-13
Atlético de San Luis,16,2013-13
Guadalajara,17,2013-13
Atlante,18,2013-13
Deportivo Toluca,1,2012-12
Club Tijuana,2,2012-12
Club León,3,2012-12
Club América,4,2012-12
Monarcas Morelia,5,2012-12
Cruz Azul,6,2012-12
Monterrey,7,2012-12
Guadalajara,8,2012-12
Santos Laguna,9,2012-12
U.N.A.M.,10,2012-12
Jaguares de Chiapas,11,2012-12
Tigres U.A.N.L.,12,2012-12
Pachuca,13,2012-12
Atlante,14,2012-12
Atlético de San Luis,15,2012-12
Puebla FC,16,2012-12
Club Atlas,17,2012-12
Querétaro,18,2012-12
Santos Laguna,1,2012-12
Monterrey,2,2012-12
Club América,3,2012-12
Monarcas Morelia,4,2012-12
Tigres U.A.N.L.,5,2012-12
Pachuca,6,2012-12
Club Tijuana,7,2012-12
Jaguares de Chiapas,8,2012-12
Cruz Azul,9,2012-12
Deportivo Toluca,10,2012-12
Club Atlas,11,2012-12
Puebla FC,12,2012-12
U.N.A.M.,13,2012-12
Atlante,14,2012-12
Guadalajara,15,2012-12
Atlético de San Luis,16,2012-12
Querétaro,17,2012-12
Estudiantes Tecos,18,2012-12
Guadalajara,1,2011-11
Cruz Azul,2,2011-11
Tigres U.A.N.L.,3,2011-11
Santos Laguna,4,2011-11
Jaguares de Chiapas,5,2011-11
Pachuca,6,2011-11
Monarcas Morelia,7,2011-11
Querétaro,8,2011-11
U.N.A.M.,9,2011-11
Atlético de San Luis,10,2011-11
Monterrey,11,2011-11
Puebla FC,12,2011-11
Deportivo Toluca,13,2011-11
Atlante,14,2011-11
Club Tijuana,15,2011-11
Estudiantes Tecos,16,2011-11
Club América,17,2011-11
Club Atlas,18,2011-11
Tigres U.A.N.L.,1,2011-11
U.N.A.M.,2,2011-11
Monarcas Morelia,3,2011-11
Atlante,4,2011-11
Cruz Azul,5,2011-11
Club América,6,2011-11
Monterrey,7,2011-11
Guadalajara,8,2011-11
Santos Laguna,9,2011-11
Club Atlas,10,2011-11
Atlético de San Luis,11,2011-11
Deportivo Toluca,12,2011-11
Pachuca,13,2011-11
Puebla FC,14,2011-11
Estudiantes Tecos,15,2011-11
Querétaro,16,2011-11
Club Necaxa,17,2011-11
Jaguares de Chiapas,18,2011-11
Cruz Azul,1,2010-10
Monterrey,2,2010-10
Santos Laguna,3,2010-10
Club América,4,2010-10
Atlético de San Luis,5,2010-10
Jaguares de Chiapas,6,2010-10
Pachuca,7,2010-10
U.N.A.M.,8,2010-10
Tigres U.A.N.L.,9,2010-10
Guadalajara,10,2010-10
Deportivo Toluca,11,2010-10
Monarcas Morelia,12,2010-10
Puebla FC,13,2010-10
Querétaro,14,2010-10
Club Necaxa,15,2010-10
Atlante,16,2010-10
Estudiantes Tecos,17,2010-10
Club Atlas,18,2010-10
Monterrey,1,2010-10
Guadalajara,2,2010-10
Deportivo Toluca,3,2010-10
U.N.A.M.,4,2010-10
Santos Laguna,5,2010-10
Club América,6,2010-10
Monarcas Morelia,7,2010-10
Pachuca,8,2010-10
Cruz Azul,9,2010-10
Club Atlas,10,2010-10
Querétaro,11,2010-10
Jaguares de Chiapas,12,2010-10
Puebla FC,13,2010-10
Estudiantes Tecos,14,2010-10
Tigres U.A.N.L.,15,2010-10
Atlante,16,2010-10
Indios,17,2010-10
Atlético de San Luis,18,2010-10
Deportivo Toluca,1,2009-09
Cruz Azul,2,2009-09
Monarcas Morelia,3,2009-09
Club América,4,2009-09
Monterrey,5,2009-09
Santos Laguna,6,2009-09
Puebla FC,7,2009-09
Pachuca,8,2009-09
Atlante,9,2009-09
Tigres U.A.N.L.,10,2009-09
Atlético de San Luis,11,2009-09
Estudiantes Tecos,12,2009-09
Jaguares de Chiapas,13,2009-09
Guadalajara,14,2009-09
Club Atlas,15,2009-09
Querétaro,16,2009-09
U.N.A.M.,17,2009-09
Indios,18,2009-09
