team,pos,season
Aalesunds FK,1,2023-24
FK Bodø/Glimt,2,2023-24
SK Brann,3,2023-24
FK Haugesund,4,2023-24
Hamarkameratene,5,2023-24
Lillestrøm SK,6,2023-24
Molde FK,7,2023-24
Odds BK,8,2023-24
Rosenborg BK,9,2023-24
Sandefjord Fotball,10,2023-24
Sarpsborg 08 FF,11,2023-24
Stabæk Fotball,12,2023-24
Strømsgodset IF,13,2023-24
Tromsø IL,14,2023-24
Viking FK,15,2023-24
Vålerenga Fotball,16,2023-24
Molde FK,1,2022-23
FK Bodø/Glimt,2,2022-23
Rosenborg BK,3,2022-23
Lillestrøm SK,4,2022-23
Odds BK,5,2022-23
Vålerenga Fotball,6,2022-23
Tromsø IL,7,2022-23
Sarpsborg 08 FF,8,2022-23
Aalesunds FK,9,2022-23
FK Haugesund,10,2022-23
Viking FK,11,2022-23
Strømsgodset IF,12,2022-23
Hamarkameratene,13,2022-23
Sandefjord Fotball,14,2022-23
Kristiansund BK,15,2022-23
FK Jerv,16,2022-23
FK Bodø/Glimt,1,2021-22
Molde FK,2,2021-22
Viking FK,3,2021-22
Lillestrøm SK,4,2021-22
Rosenborg BK,5,2021-22
Kristiansund BK,6,2021-22
Vålerenga Fotball,7,2021-22
Sarpsborg 08 FF,8,2021-22
Strømsgodset IF,9,2021-22
Sandefjord Fotball,10,2021-22
FK Haugesund,11,2021-22
Tromsø IL,12,2021-22
Odds BK,13,2021-22
SK Brann,14,2021-22
Stabæk Fotball,15,2021-22
Mjøndalen IF,16,2021-22
FK Bodø/Glimt,1,2020-21
Molde FK,2,2020-21
Vålerenga Fotball,3,2020-21
Rosenborg BK,4,2020-21
Kristiansund BK,5,2020-21
Viking FK,6,2020-21
Odds BK,7,2020-21
Stabæk Fotball,8,2020-21
FK Haugesund,9,2020-21
SK Brann,10,2020-21
Sandefjord Fotball,11,2020-21
Sarpsborg 08 FF,12,2020-21
Strømsgodset IF,13,2020-21
Mjøndalen IF,14,2020-21
IK Start,15,2020-21
Aalesunds FK,16,2020-21
Molde FK,1,2019-20
FK Bodø/Glimt,2,2019-20
Rosenborg BK,3,2019-20
Odds BK,4,2019-20
Viking FK,5,2019-20
Kristiansund BK,6,2019-20
FK Haugesund,7,2019-20
Stabæk Fotball,8,2019-20
SK Brann,9,2019-20
Vålerenga Fotball,10,2019-20
Strømsgodset IF,11,2019-20
Sarpsborg 08 FF,12,2019-20
Mjøndalen IF,13,2019-20
Lillestrøm SK,14,2019-20
Tromsø IL,15,2019-20
Ranheim Fotball,16,2019-20
Rosenborg BK,1,2018-19
Molde FK,2,2018-19
SK Brann,3,2018-19
FK Haugesund,4,2018-19
Kristiansund BK,5,2018-19
Vålerenga Fotball,6,2018-19
Ranheim Fotball,7,2018-19
Sarpsborg 08 FF,8,2018-19
Odds BK,9,2018-19
Tromsø IL,10,2018-19
FK Bodø/Glimt,11,2018-19
Lillestrøm SK,12,2018-19
Strømsgodset IF,13,2018-19
Stabæk Fotball,14,2018-19
IK Start,15,2018-19
Sandefjord Fotball,16,2018-19
Rosenborg BK,1,2017-18
Molde FK,2,2017-18
Sarpsborg 08 FF,3,2017-18
Strømsgodset IF,4,2017-18
SK Brann,5,2017-18
Odds BK,6,2017-18
Kristiansund BK,7,2017-18
Vålerenga Fotball,8,2017-18
Stabæk Fotball,9,2017-18
FK Haugesund,10,2017-18
Tromsø IL,11,2017-18
Lillestrøm SK,12,2017-18
Sandefjord Fotball,13,2017-18
Sogndal Fotball,14,2017-18
Aalesunds FK,15,2017-18
Viking FK,16,2017-18
Rosenborg BK,1,2016-17
SK Brann,2,2016-17
Odds BK,3,2016-17
FK Haugesund,4,2016-17
Molde FK,5,2016-17
Sarpsborg 08 FF,6,2016-17
Strømsgodset IF,7,2016-17
Viking FK,8,2016-17
Aalesunds FK,9,2016-17
Vålerenga Fotball,10,2016-17
Sogndal Fotball,11,2016-17
Lillestrøm SK,12,2016-17
Tromsø IL,13,2016-17
Stabæk Fotball,14,2016-17
FK Bodø/Glimt,15,2016-17
IK Start,16,2016-17
Rosenborg BK,1,2015-16
Strømsgodset IF,2,2015-16
Stabæk Fotball,3,2015-16
Odds BK,4,2015-16
Viking FK,5,2015-16
Molde FK,6,2015-16
Vålerenga Fotball,7,2015-16
