team,pos,season
Maccabi Haifa FC,1,2022-23
Maccabi Tel Aviv,2,2022-23
Hapoel Be'er Sheva,3,2022-23
Hapoel Jerusalem,4,2022-23
Beitar Jerusalem FC,5,2022-23
Maccabi Netanya,6,2022-23
FC Ashdod,7,2022-23
Hapoel Haifa,8,2022-23
Hapoel Hadera,9,2022-23
Bnei Sakhnin,10,2022-23
Hapoel Tel Aviv,11,2022-23
Ironi Kiryat Schmona,12,2022-23
Sektzia Ness Ziona FC,13,2022-23
Maccabi Bnei Reineh,14,2022-23
Maccabi Haifa FC,1,2021-22
Maccabi Tel Aviv,2,2021-22
Hapoel Be'er Sheva,3,2021-22
Maccabi Netanya,4,2021-22
Ironi Kiryat Schmona,5,2021-22
Hapoel Tel Aviv,6,2021-22
Bnei Sakhnin,7,2021-22
Hapoel Hadera,8,2021-22
FC Ashdod,9,2021-22
Beitar Jerusalem FC,10,2021-22
Hapoel Haifa,11,2021-22
Maccabi Petah Tikva,12,2021-22
Hapoel Jerusalem,13,2021-22
Hapoel Nof HaGalil,14,2021-22
Maccabi Haifa FC,1,2020-21
Maccabi Tel Aviv,2,2020-21
FC Ashdod,3,2020-21
Maccabi Netanya,4,2020-21
Hapoel Hadera,5,2020-21
Hapoel Be'er Sheva,6,2020-21
Maccabi Petah Tikva,7,2020-21
Ironi Kiryat Schmona,8,2020-21
Hapoel Haifa,9,2020-21
Beitar Jerusalem FC,10,2020-21
Hapoel Tel Aviv,11,2020-21
Bnei Sakhnin,12,2020-21
Bnei Yehuda Tel Aviv FC,13,2020-21
Hapoel Kfar Saba,14,2020-21
Maccabi Tel Aviv,1,2019-20
Maccabi Haifa FC,2,2019-20
Beitar Jerusalem FC,3,2019-20
Hapoel Be'er Sheva,4,2019-20
Bnei Yehuda Tel Aviv FC,5,2019-20
Hapoel Tel Aviv,6,2019-20
Hapoel Haifa,7,2019-20
FC Ashdod,8,2019-20
Hapoel Hadera,9,2019-20
Maccabi Netanya,10,2019-20
Hapoel Kfar Saba,11,2019-20
Ironi Kiryat Schmona,12,2019-20
Sektzia Ness Ziona FC,13,2019-20
Hapoel Ra'anana,14,2019-20
Maccabi Tel Aviv,1,2018-19
Maccabi Haifa FC,2,2018-19
Hapoel Be'er Sheva,3,2018-19
Maccabi Netanya,4,2018-19
Bnei Yehuda Tel Aviv FC,5,2018-19
Beitar Jerusalem FC,6,2018-19
Hapoel Hadera,7,2018-19
Hapoel Tel Aviv,8,2018-19
Ironi Kiryat Schmona,9,2018-19
Hapoel Haifa,10,2018-19
FC Ashdod,11,2018-19
Hapoel Ra'anana,12,2018-19
Maccabi Petah Tikva,13,2018-19
Bnei Sakhnin,14,2018-19
Hapoel Be'er Sheva,1,2017-18
Maccabi Tel Aviv,2,2017-18
Beitar Jerusalem FC,3,2017-18
Hapoel Haifa,4,2017-18
Maccabi Netanya,5,2017-18
Bnei Yehuda Tel Aviv FC,6,2017-18
Ironi Kiryat Schmona,7,2017-18
Maccabi Petah Tikva,8,2017-18
Hapoel Ra'anana,9,2017-18
Maccabi Haifa FC,10,2017-18
Bnei Sakhnin,11,2017-18
FC Ashdod,12,2017-18
Hapoel Ironi Akko,13,2017-18
Hapoel Ashkelon,14,2017-18
Hapoel Be'er Sheva,1,2016-17
Maccabi Tel Aviv,2,2016-17
Beitar Jerusalem FC,3,2016-17
Maccabi Petah Tikva,4,2016-17
Bnei Sakhnin,5,2016-17
Maccabi Haifa FC,6,2016-17
Ironi Kiryat Schmona,7,2016-17
Hapoel Tel Aviv,8,2016-17
Hapoel Haifa,9,2016-17
FC Ashdod,10,2016-17
Hapoel Ra'anana,11,2016-17
Bnei Yehuda Tel Aviv FC,12,2016-17
Hapoel Ashkelon,13,2016-17
Hapoel Kfar Saba,14,2016-17
Hapoel Be'er Sheva,1,2015-16
Maccabi Tel Aviv,2,2015-16
Beitar Jerusalem FC,3,2015-16
Maccabi Haifa FC,4,2015-16
Bnei Sakhnin,5,2015-16
Maccabi Petah Tikva,6,2015-16
Bnei Yehuda Tel Aviv FC,7,2015-16
Hapoel Tel Aviv,8,2015-16
Hapoel Ra'anana,9,2015-16
Hapoel Kfar Saba,10,2015-16
Ironi Kiryat Schmona,11,2015-16
Hapoel Haifa,12,2015-16
Hapoel Ironi Akko,13,2015-16
Maccabi Netanya,14,2015-16
Hapoel Ra'anana,1,2014-15
Maccabi Petah Tikva,2,2014-15
Bnei Sakhnin,3,2014-15
Maccabi Netanya,4,2014-15
Ironi Kiryat Schmona,5,2014-15
FC Ashdod,6,2014-15
Hapoel Ironi Akko,7,2014-15
Hapoel Haifa,8,2014-15
Hapoel Be'er Sheva,9,2014-15
Beitar Jerusalem FC,10,2014-15
Hapoel Tel Aviv,11,2014-15
Maccabi Haifa FC,12,2014-15
Maccabi Tel Aviv,13,2014-15
Hapoel Petah Tikva FC,14,2014-15
Maccabi Tel Aviv,1,2013-14
Hapoel Be'er Sheva,2,2013-14
Ironi Kiryat Schmona,3,2013-14
Hapoel Tel Aviv,4,2013-14
Maccabi Haifa FC,5,2013-14
Bnei Sakhnin,6,2013-14
Beitar Jerusalem FC,7,2013-14
FC Ashdod,8,2013-14
Hapoel Ra'anana,9,2013-14
Hapoel Ironi Akko,10,2013-14
Hapoel Haifa,11,2013-14
Maccabi Petah Tikva,12,2013-14
Ironi Ramat HaSharon,13,2013-14
Bnei Yehuda Tel Aviv FC,14,2013-14
Maccabi Tel Aviv,1,2012-13
Maccabi Haifa FC,2,2012-13
Hapoel Tel Aviv,3,2012-13
Bnei Yehuda Tel Aviv FC,4,2012-13
