team,pos,season
Dynamos,1,2015-15
Chicken Inn FC,2,2015-15
FC Platinum,3,2015-15
Triangle FC,4,2015-15
CAPS United,5,2015-15
Highlanders,6,2015-15
Chapungu United,7,2015-15
Hwange,8,2015-15
ZPC Kariba,9,2015-15
Harare City,10,2015-15
Tsholotsho,11,2015-15
How Mine,12,2015-15
Buffaloes FC,13,2015-15
Flame Lilly,14,2015-15
WhaWha,15,2015-15
Dongo,16,2015-15
Dynamos,1,2014-14
ZPC Kariba,2,2014-14
FC Platinum,3,2014-14
CAPS United,4,2014-14
Highlanders,5,2014-14
Chicken Inn FC,6,2014-14
Triangle FC,7,2014-14
Hwange,8,2014-14
Harare City,9,2014-14
How Mine,10,2014-14
Black Rhinos,11,2014-14
Buffaloes FC,12,2014-14
Shabanie Mine,13,2014-14
Chapungu United,14,2014-14
Bantu Rovers,15,2014-14
Chiredzi FC,16,2014-14
Dynamos,1,2013-13
Highlanders,2,2013-13
Harare City,3,2013-13
FC Platinum,4,2013-13
CAPS United,5,2013-13
Chicken Inn FC,6,2013-13
Triangle FC,7,2013-13
Hwange,8,2013-13
How Mine,9,2013-13
Buffaloes FC,10,2013-13
Black Rhinos,11,2013-13
Shabanie Mine,12,2013-13
Black Mambas,13,2013-13
Monomatapa United,14,2013-13
Tripple B,15,2013-13
Motor Action,16,2013-13
Dynamos,1,2012-12
Highlanders,2,2012-12
Chicken Inn FC,3,2012-12
Shabanie Mine,4,2012-12
Monomatapa United,5,2012-12
FC Platinum,6,2012-12
Buffaloes FC,7,2012-12
Harare City,8,2012-12
Black Mambas,9,2012-12
Hwange,10,2012-12
Gunners,11,2012-12
CAPS United,12,2012-12
Motor Action,13,2012-12
WWS Rangers,14,2012-12
Hardbody,15,2012-12
Quelaton,16,2012-12
Dynamos,1,2011-11
FC Platinum,2,2011-11
Motor Action,3,2011-11
Hwange,4,2011-11
Highlanders,5,2011-11
CAPS United,6,2011-11
Monomatapa United,7,2011-11
Shabanie Mine,8,2011-11
Masvingo United,9,2011-11
Chicken Inn FC,10,2011-11
Gunners,11,2011-11
WWS Rangers,12,2011-11
Zimbabwe Saints,13,2011-11
Black Mambas,14,2011-11
Shooting Stars,15,2011-11
Kiglon,16,2011-11
Motor Action,1,2010-10
Dynamos,2,2010-10
Highlanders,3,2010-10
Gunners,4,2010-10
Hwange,5,2010-10
CAPS United,6,2010-10
Monomatapa United,7,2010-10
Shabanie Mine,8,2010-10
Kiglon,9,2010-10
Eagles,10,2010-10
Shooting Stars,11,2010-10
Black Mambas,12,2010-10
Lengthens,13,2010-10
Douglas Warriors,14,2010-10
Bantu Rovers,15,2010-10
Victoria,16,2010-10
Gunners,1,2009-09
Dynamos,2,2009-09
CAPS United,3,2009-09
Highlanders,4,2009-09
Lengthens,5,2009-09
Hwange,6,2009-09
Shooting Stars,7,2009-09
Monomatapa United,8,2009-09
Bantu Rovers,9,2009-09
Eagles,10,2009-09
Motor Action,11,2009-09
Kiglon,12,2009-09
Njube Sundowns,13,2009-09
Highway,14,2009-09
Underhill,15,2009-09
Black Rhinos,16,2009-09
