team,pos,season
CR Belouizdad,1,2022-23
CS Constantine,2,2022-23
MC Alger,3,2022-23
JS Saoura,4,2022-23
ES Sétif,5,2022-23
USM Khenchela,6,2022-23
USM Alger,7,2022-23
MC Oran,8,2022-23
US Biskra,9,2022-23
NC Magra,10,2022-23
RC Arbaâ,11,2022-23
MC El Bayadh,12,2022-23
ASO Chlef,13,2022-23
Paradou AC,14,2022-23
JS Kabylie,15,2022-23
HB Chelghoum Laïd,16,2022-23
CR Belouizdad,1,2021-22
JS Kabylie,2,2021-22
JS Saoura,3,2021-22
USM Alger,4,2021-22
CS Constantine,5,2021-22
ES Sétif,6,2021-22
Paradou AC,7,2021-22
MC Alger,8,2021-22
ASO Chlef,9,2021-22
US Biskra,10,2021-22
MC Oran,11,2021-22
RC Arbaâ,12,2021-22
NC Magra,13,2021-22
HB Chelghoum Laïd,14,2021-22
Olympique de Medea,15,2021-22
NA Hussein Dey,16,2021-22
RC Relizane,17,2021-22
WA Tlemcen,18,2021-22
CR Belouizdad,1,2020-21
ES Sétif,2,2020-21
JS Saoura,3,2020-21
USM Alger,4,2020-21
MC Oran,5,2020-21
JS Kabylie,6,2020-21
MC Alger,7,2020-21
CS Constantine,8,2020-21
Paradou AC,9,2020-21
NC Magra,10,2020-21
Olympique de Medea,11,2020-21
RC Relizane,12,2020-21
AS Aïn M'lila,13,2020-21
NA Hussein Dey,14,2020-21
US Biskra,15,2020-21
WA Tlemcen,16,2020-21
ASO Chlef,17,2020-21
USM Bel Abbès,18,2020-21
CA Bordj Bou Arreridj,19,2020-21
JSM Skikda,20,2020-21
ES Sétif,1,2019-20
CR Belouizdad,2,2019-20
JS Kabylie,3,2019-20
CS Constantine,4,2019-20
USM Alger,5,2019-20
AS Aïn M'lila,6,2019-20
MC Alger,7,2019-20
MC Oran,8,2019-20
JS Saoura,9,2019-20
Paradou AC,10,2019-20
USM Bel Abbès,11,2019-20
CA Bordj Bou Arreridj,12,2019-20
ASO Chlef,13,2019-20
US Biskra,14,2019-20
NA Hussein Dey,15,2019-20
NC Magra,16,2019-20
JS Kabylie,1,2018-19
USM Alger,2,2018-19
Paradou AC,3,2018-19
JS Saoura,4,2018-19
MC Alger,5,2018-19
ES Sétif,6,2018-19
CS Constantine,7,2018-19
CR Belouizdad,8,2018-19
CA Bordj Bou Arreridj,9,2018-19
MC Oran,10,2018-19
NA Hussein Dey,11,2018-19
AS Aïn M'lila,12,2018-19
USM Bel Abbès,13,2018-19
Olympique de Medea,14,2018-19
DRB Tadjenanet,15,2018-19
MO Béjaia,16,2018-19
CS Constantine,1,2017-18
JS Saoura,2,2017-18
NA Hussein Dey,3,2017-18
MC Oran,4,2017-18
MC Alger,5,2017-18
USM Bel Abbès,6,2017-18
USM Alger,7,2017-18
Paradou AC,8,2017-18
ES Sétif,9,2017-18
DRB Tadjenanet,10,2017-18
CR Belouizdad,11,2017-18
JS Kabylie,12,2017-18
Olympique de Medea,13,2017-18
US Biskra,14,2017-18
USM El Harrach,15,2017-18
USM Blida,16,2017-18
ES Sétif,1,2016-17
USM Alger,2,2016-17
MC Alger,3,2016-17
USM Bel Abbès,4,2016-17
CR Belouizdad,5,2016-17
RC Relizane,6,2016-17
JS Saoura,7,2016-17
MC Oran,8,2016-17
CS Constantine,9,2016-17
DRB Tadjenanet,10,2016-17
JS Kabylie,11,2016-17
Olympique de Medea,12,2016-17
NA Hussein Dey,13,2016-17
USM El Harrach,14,2016-17
CA Batna,15,2016-17
MO Béjaia,16,2016-17
USM Alger,1,2015-16
JS Saoura,2,2015-16
CR Belouizdad,3,2015-16
JS Kabylie,4,2015-16
ES Sétif,5,2015-16
MO Béjaia,6,2015-16
DRB Tadjenanet,7,2015-16
CS Constantine,8,2015-16
USM El Harrach,9,2015-16
MC Oran,10,2015-16
NA Hussein Dey,11,2015-16
MC Alger,12,2015-16
RC Relizane,13,2015-16
USM Blida,14,2015-16
RC Arbaâ,15,2015-16
ASM Oran,16,2015-16
CS Constantine,1,2014-15
MC Oran,2,2014-15
CR Belouizdad,3,2014-15
USM El Harrach,4,2014-15
MC Alger,5,2014-15
JS Saoura,6,2014-15
ASO Chlef,7,2014-15
USM Bel Abbès,8,2014-15
USM Alger,9,2014-15
ES Sétif,10,2014-15
ASM Oran,11,2014-15
RC Arbaâ,12,2014-15
MC El Eulma,13,2014-15
MO Béjaia,14,2014-15
JS Kabylie,15,2014-15
NA Hussein Dey,16,2014-15
USM Alger,1,2013-14
JS Kabylie,2,2013-14
ES Sétif,3,2013-14
MC El Eulma,4,2013-14
MC Alger,5,2013-14
USM El Harrach,6,2013-14
RC Arbaâ,7,2013-14
ASO Chlef,8,2013-14
JS Saoura,9,2013-14
CS Constantine,10,2013-14
MO Béjaia,11,2013-14
MC Oran,12,2013-14
CR Belouizdad,13,2013-14
JSM Béjaïa,14,2013-14
CA Bordj Bou Arreridj,15,2013-14
Aïn Fakroun,16,2013-14
ES Sétif,1,2012-13
USM El Harrach,2,2012-13
MC Alger,3,2012-13
CS Constantine,4,2012-13
USM Alger,5,2012-13
CR Belouizdad,6,2012-13
JS Kabylie,7,2012-13
MC El Eulma,8,2012-13
JS Saoura,9,2012-13
ASO Chlef,10,2012-13
JSM Béjaïa,11,2012-13
MC Oran,12,2012-13
CA Bordj Bou Arreridj,13,2012-13
CA Batna,14,2012-13
WA Tlemcen,15,2012-13
USM Bel Abbès,16,2012-13
JSM Béjaïa,1,2011-12
ES Sétif,2,2011-12
USM Alger,3,2011-12
CR Belouizdad,4,2011-12
ASO Chlef,5,2011-12
CA Batna,6,2011-12
WA Tlemcen,7,2011-12
MC Alger,8,2011-12
JS Kabylie,9,2011-12
USM El Harrach,10,2011-12
CS Constantine,11,2011-12
MC El Eulma,12,2011-12
MC Oran,13,2011-12
Khroub,14,2011-12
NA Hussein Dey,15,2011-12
Saïda,16,2011-12
ASO Chlef,1,2010-11
JSM Béjaïa,2,2010-11
ES Sétif,3,2010-11
CR Belouizdad,4,2010-11
USM El Harrach,5,2010-11
Saïda,6,2010-11
MC Oran,7,2010-11
Khroub,8,2010-11
USM Alger,9,2010-11
MC Alger,10,2010-11
WA Tlemcen,11,2010-11
JS Kabylie,12,2010-11
MC El Eulma,13,2010-11
Annaba,14,2010-11
USM Blida,15,2010-11
CA Bordj Bou Arreridj,16,2010-11
MC Alger,1,2009-10
ES Sétif,2,2009-10
JS Kabylie,3,2009-10
USM Alger,4,2009-10
USM El Harrach,5,2009-10
JSM Béjaïa,6,2009-10
Annaba,7,2009-10
CA Bordj Bou Arreridj,8,2009-10
WA Tlemcen,9,2009-10
CR Belouizdad,10,2009-10
Khroub,11,2009-10
ASO Chlef,12,2009-10
MC El Eulma,13,2009-10
USM Blida,14,2009-10
MC Oran,15,2009-10
CA Batna,16,2009-10
MSP Batna,17,2009-10
NA Hussein Dey,18,2009-10
