team,pos,season
FC Struga Trim-Lum,1,2022-23
Shkupi Skopje,2,2022-23
KF Shkendija,3,2022-23
GFK Tikvesh,4,2022-23
FK Sileks,5,2022-23
FK Bregalnica Stip,6,2022-23
Makedonija Gjorče Petrov,7,2022-23
Rabotnički,8,2022-23
Pobeda,9,2022-23
Akademija Pandev,10,2022-23
FK Skopje,11,2022-23
Renova,12,2022-23
Shkupi Skopje,1,2021-22
Akademija Pandev,2,2021-22
KF Shkendija,3,2021-22
Makedonija Gjorče Petrov,4,2021-22
Renova,5,2021-22
FC Struga Trim-Lum,6,2021-22
FK Bregalnica Stip,7,2021-22
Rabotnički,8,2021-22
FK Skopje,9,2021-22
FK Borec Veles,10,2021-22
GFK Tikvesh,11,2021-22
Pelister,12,2021-22
KF Shkendija,1,2020-21
Makedonija Gjorče Petrov,2,2020-21
Shkupi Skopje,3,2020-21
FC Struga Trim-Lum,4,2020-21
Rabotnički,5,2020-21
Pelister,6,2020-21
Akademija Pandev,7,2020-21
FK Borec Veles,8,2020-21
FK Sileks,9,2020-21
Renova,10,2020-21
Vardar Skopje,11,2020-21
FK Belasica Strumica,12,2020-21
Vardar Skopje,1,2019-20
FK Sileks,2,2019-20
KF Shkendija,3,2019-20
Renova,4,2019-20
Shkupi Skopje,5,2019-20
Makedonija Gjorče Petrov,6,2019-20
Akademija Pandev,7,2019-20
Rabotnički,8,2019-20
FK Borec Veles,9,2019-20
FC Struga Trim-Lum,10,2019-20
KF Shkendija,1,2018-19
Vardar Skopje,2,2018-19
Akademija Pandev,3,2018-19
Shkupi Skopje,4,2018-19
Renova,5,2018-19
Makedonija Gjorče Petrov,6,2018-19
Rabotnički,7,2018-19
FK Sileks,8,2018-19
FK Belasica Strumica,9,2018-19
Pobeda,10,2018-19
KF Shkendija,1,2017-18
Vardar Skopje,2,2017-18
Rabotnički,3,2017-18
Shkupi Skopje,4,2017-18
FK Sileks,5,2017-18
Akademija Pandev,6,2017-18
Renova,7,2017-18
Pobeda,8,2017-18
FK Skopje,9,2017-18
Pelister,10,2017-18
Vardar Skopje,1,2016-17
KF Shkendija,2,2016-17
Rabotnički,3,2016-17
Pelister,4,2016-17
Renova,5,2016-17
FK Sileks,6,2016-17
Pobeda,7,2016-17
Shkupi Skopje,8,2016-17
FK Bregalnica Stip,9,2016-17
Makedonija Gjorče Petrov,10,2016-17
Vardar Skopje,1,2015-16
KF Shkendija,2,2015-16
Renova,3,2015-16
FK Horizont Turnovo,4,2015-16
FK Sileks,5,2015-16
Rabotnički,6,2015-16
Shkupi Skopje,7,2015-16
FK Bregalnica Stip,8,2015-16
Fk Metalurg Skopje,9,2015-16
Mladost CD,10,2015-16
Fk Metalurg Skopje,1,2014-15
FK Horizont Turnovo,2,2014-15
Pelister,3,2014-15
FK Bregalnica Stip,4,2014-15
FK Teteks,5,2014-15
Renova,6,2014-15
Vardar Skopje,7,2014-15
KF Shkendija,8,2014-15
FK Sileks,9,2014-15
Rabotnički,10,2014-15
Rabotnički,1,2013-14
FK Horizont Turnovo,2,2013-14
Fk Metalurg Skopje,3,2013-14
KF Shkendija,4,2013-14
Vardar Skopje,5,2013-14
Pelister,6,2013-14
FK Bregalnica Stip,7,2013-14
Renova,8,2013-14
FK Gorno Lisice,9,2013-14
Makedonija Gjorče Petrov,10,2013-14
Napredok,11,2013-14
FK Gostivar,12,2013-14
