team,pos,season
Ferencváros,1,2022-23
Kecskeméti TE,2,2022-23
Kisvárda Master Good,3,2022-23
Puskás FC,4,2022-23
Debrecen,5,2022-23
Zalaegerszegi TE,6,2022-23
Paksi SE,7,2022-23
MOL Fehérvár FC,8,2022-23
Mezőkövesd-Zsóry,9,2022-23
Újpest,10,2022-23
Vasas Budapest,11,2022-23
Honvéd,12,2022-23
Ferencváros,1,2021-22
Kisvárda Master Good,2,2021-22
Puskás FC,3,2021-22
MOL Fehérvár FC,4,2021-22
Újpest,5,2021-22
Paksi SE,6,2021-22
Debrecen,7,2021-22
Zalaegerszegi TE,8,2021-22
Honvéd,9,2021-22
Mezőkövesd-Zsóry,10,2021-22
MTK Budapest,11,2021-22
Gyirmót SE,12,2021-22
Ferencváros,1,2020-21
Puskás FC,2,2020-21
MOL Fehérvár FC,3,2020-21
Paksi SE,4,2020-21
Kisvárda Master Good,5,2020-21
MTK Budapest,6,2020-21
Mezőkövesd-Zsóry,7,2020-21
Újpest,8,2020-21
Zalaegerszegi TE,9,2020-21
Honvéd,10,2020-21
Diósgyör,11,2020-21
Budafoki MTE,12,2020-21
Ferencváros,1,2019-20
MOL Fehérvár FC,2,2019-20
Puskás FC,3,2019-20
Mezőkövesd-Zsóry,4,2019-20
Honvéd,5,2019-20
Zalaegerszegi TE,6,2019-20
Újpest,7,2019-20
Kisvárda Master Good,8,2019-20
Paksi SE,9,2019-20
Diósgyör,10,2019-20
Debrecen,11,2019-20
Kaposvári Rákóczi,12,2019-20
Ferencváros,1,2018-19
MOL Fehérvár FC,2,2018-19
Debrecen,3,2018-19
Honvéd,4,2018-19
Újpest,5,2018-19
Mezőkövesd-Zsóry,6,2018-19
Puskás FC,7,2018-19
Paksi SE,8,2018-19
Diósgyör,9,2018-19
Kisvárda Master Good,10,2018-19
MTK Budapest,11,2018-19
Szombathelyi Haladás,12,2018-19
MOL Fehérvár FC,1,2017-18
Ferencváros,2,2017-18
Újpest,3,2017-18
Honvéd,4,2017-18
Debrecen,5,2017-18
Puskás FC,6,2017-18
Paksi SE,7,2017-18
Szombathelyi Haladás,8,2017-18
Mezőkövesd-Zsóry,9,2017-18
Balmazújváros,10,2017-18
Diósgyör,11,2017-18
Vasas Budapest,12,2017-18
Honvéd,1,2016-17
MOL Fehérvár FC,2,2016-17
Ferencváros,3,2016-17
Vasas Budapest,4,2016-17
Paksi SE,5,2016-17
Szombathelyi Haladás,6,2016-17
Újpest,7,2016-17
Debrecen,8,2016-17
Mezőkövesd-Zsóry,9,2016-17
MTK Budapest,10,2016-17
Diósgyör,11,2016-17
Gyirmót SE,12,2016-17
Ferencváros,1,2015-16
MOL Fehérvár FC,2,2015-16
Debrecen,3,2015-16
MTK Budapest,4,2015-16
Szombathelyi Haladás,5,2015-16
Újpest,6,2015-16
Paksi SE,7,2015-16
Honvéd,8,2015-16
Diósgyör,9,2015-16
Vasas Budapest,10,2015-16
Puskás FC,11,2015-16
Bekescsaba,12,2015-16
MOL Fehérvár FC,1,2014-15
Kecskeméti TE,2,2014-15
Pécsi MFC,3,2014-15
Nyíregyháza Spartacus,4,2014-15
Debrecen,5,2014-15
Puskás FC,6,2014-15
Pápa,7,2014-15
Szombathelyi Haladás,8,2014-15
Györi ETO,9,2014-15
Ferencváros,10,2014-15
Honvéd,11,2014-15
Újpest,12,2014-15
Diósgyör,13,2014-15
Paksi SE,14,2014-15
MTK Budapest,15,2014-15
Dunaújváros Pálhalma SE,16,2014-15
Debrecen,1,2013-14
Györi ETO,2,2013-14
Ferencváros,3,2013-14
MOL Fehérvár FC,4,2013-14
Diósgyör,5,2013-14
Szombathelyi Haladás,6,2013-14
Pécsi MFC,7,2013-14
MTK Budapest,8,2013-14
Honvéd,9,2013-14
Kecskeméti TE,10,2013-14
Paksi SE,11,2013-14
Pápa,12,2013-14
Újpest,13,2013-14
Puskás FC,14,2013-14
Mezőkövesd-Zsóry,15,2013-14
Kaposvári Rákóczi,16,2013-14
Györi ETO,1,2012-13
Honvéd,2,2012-13
MOL Fehérvár FC,3,2012-13
MTK Budapest,4,2012-13
Ferencváros,5,2012-13
Debrecen,6,2012-13
Szombathelyi Haladás,7,2012-13
Kecskeméti TE,8,2012-13
Újpest,9,2012-13
Diósgyör,10,2012-13
Kaposvári Rákóczi,11,2012-13
Pécsi MFC,12,2012-13
Paksi SE,13,2012-13
Pápa,14,2012-13
Siófok,15,2012-13
Eger,16,2012-13
Debrecen,1,2011-12
MOL Fehérvár FC,2,2011-12
Györi ETO,3,2011-12
Honvéd,4,2011-12
Kecskeméti TE,5,2011-12
Paksi SE,6,2011-12
Diósgyör,7,2011-12
Szombathelyi Haladás,8,2011-12
Siófok,9,2011-12
Kaposvári Rákóczi,10,2011-12
Ferencváros,11,2011-12
Pécsi MFC,12,2011-12
Újpest,13,2011-12
Pápa,14,2011-12
Vasas Budapest,15,2011-12
Zalaegerszegi TE,16,2011-12
MOL Fehérvár FC,1,2010-11
Paksi SE,2,2010-11
Ferencváros,3,2010-11
Zalaegerszegi TE,4,2010-11
Debrecen,5,2010-11
Újpest,6,2010-11
Kaposvári Rákóczi,7,2010-11
Szombathelyi Haladás,8,2010-11
Györi ETO,9,2010-11
Honvéd,10,2010-11
Vasas Budapest,11,2010-11
Kecskeméti TE,12,2010-11
Pápa,13,2010-11
Siófok,14,2010-11
MTK Budapest,15,2010-11
Szolnoki MÁV,16,2010-11
Debrecen,1,2009-10
MOL Fehérvár FC,2,2009-10
Györi ETO,3,2009-10
Újpest,4,2009-10
Zalaegerszegi TE,5,2009-10
MTK Budapest,6,2009-10
Ferencváros,7,2009-10
Szombathelyi Haladás,8,2009-10
Honvéd,9,2009-10
Kecskeméti TE,10,2009-10
Pápa,11,2009-10
Kaposvári Rákóczi,12,2009-10
Paksi SE,13,2009-10
Vasas Budapest,14,2009-10
Nyíregyháza Spartacus,15,2009-10
Diósgyör,16,2009-10
