team,pos,season
Al-Merreikh,1,2022-23
Al Hilal Omdurman,2,2022-23
Hay al-Arab (SUD),3,2022-23
Haidob En Nahud,4,2022-23
Al Ahli Khartoum,5,2022-23
Alamal Atbara,6,2022-23
Al Fallah Atbara FC,7,2022-23
Hay Al Wadi SC,8,2022-23
Al Ahly Shendi,9,2022-23
Tuti SC Khartoum,10,2022-23
Al Shorta Al Qadarif,11,2022-23
Al-Hilal Alsahil,12,2022-23
Hilal El-Fasher,13,2022-23
Wad Nubawi Khartoum FC,14,2022-23
Al Ahly Merowe,15,2022-23
Kober SC Bahri,16,2022-23
Al Rabta Kosti,17,2022-23
Al-Zoma Khartoum,18,2022-23
Al Hilal Omdurman,1,2016-16
Al-Merreikh,2,2016-16
Hilal Al-Obayed,3,2016-16
Al Khartoum SC,4,2016-16
Al Amir,5,2016-16
Al Hilal Kadougli,6,2016-16
Merreikh El-Fasher,7,2016-16
Merreikh Nyala,8,2016-16
Al Ahli Khartoum,9,2016-16
Alamal Atbara,10,2016-16
Al Ahli Wad Medani,11,2016-16
Al-Ahli Atbara,12,2016-16
Merikh Kosti,13,2016-16
Al-Nil,14,2016-16
Al Rabta Kosti,15,2016-16
Hilal El-Fasher,16,2016-16
El Nsoor,17,2016-16
Al-Merreikh,1,2015-15
Al Hilal Omdurman,2,2015-15
Al Ahly Shendi,3,2015-15
Al Khartoum SC,4,2015-15
Merreikh El-Fasher,5,2015-15
Hilal Al-Obayed,6,2015-15
Merikh Kosti,7,2015-15
Hilal El-Fasher,8,2015-15
Al Ahli Wad Medani,9,2015-15
Alamal Atbara,10,2015-15
El Nsoor,11,2015-15
Al Ahli Khartoum,12,2015-15
Al Hilal Kadougli,13,2015-15
Al Rabta Kosti,14,2015-15
Al-Mergheni,15,2015-15
Al Hilal Omdurman,1,2014-14
Al-Merreikh,2,2014-14
Al Ahly Shendi,3,2014-14
Merreikh El-Fasher,4,2014-14
Al Khartoum SC,5,2014-14
Al Rabta Kosti,6,2014-14
Al Ahli Khartoum,7,2014-14
Al Hilal Kadougli,8,2014-14
Al-Ahli Atbara,9,2014-14
Alamal Atbara,10,2014-14
El Nsoor,11,2014-14
Hilal El-Fasher,12,2014-14
Al-Nil,13,2014-14
Al Ittihad,14,2014-14
Al Hilal Omdurman,1,2013-13
Al-Merreikh,2,2013-13
Al Ahly Shendi,3,2013-13
Al Khartoum SC,4,2013-13
Al-Ahli Atbara,5,2013-13
Merreikh El-Fasher,6,2013-13
Al Ahli Khartoum,7,2013-13
Al Hilal Kadougli,8,2013-13
Al Ittihad,9,2013-13
El Nsoor,10,2013-13
Alamal Atbara,11,2013-13
Al-Nil,12,2013-13
Al Ahli Wad Medani,13,2013-13
Al Mourada,14,2013-13
Al Hilal Omdurman,1,2012-12
Al-Merreikh,2,2012-12
Al Khartoum SC,3,2012-12
Al Ahly Shendi,4,2012-12
Al Hilal Kadougli,5,2012-12
Al Ahli Khartoum,6,2012-12
El Nsoor,7,2012-12
Alamal Atbara,8,2012-12
Al-Nil,9,2012-12
Al Ahli Wad Medani,10,2012-12
Al-Hilal Alsahil,11,2012-12
Al Mourada,12,2012-12
Al Rabta Kosti,13,2012-12
Jazeerat Al Feel,14,2012-12
Al-Merreikh,1,2011-11
Al Hilal Omdurman,2,2011-11
Alamal Atbara,3,2011-11
Al Khartoum SC,4,2011-11
Al Ahly Shendi,5,2011-11
Al Ittihad,6,2011-11
El Nsoor,7,2011-11
Al Hilal Kadougli,8,2011-11
Al Ahli Khartoum,9,2011-11
Al Mourada,10,2011-11
Al-Hilal Alsahil,11,2011-11
Al-Nil,12,2011-11
Jazeerat Al Feel,13,2011-11
Hay al-Arab (SUD),14,2011-11
Al Hilal Omdurman,1,2010-10
Al-Merreikh,2,2010-10
Al Khartoum SC,3,2010-10
Al-Nil,4,2010-10
Al Mourada,5,2010-10
Jazeerat Al Feel,6,2010-10
Hay al-Arab (SUD),7,2010-10
Al-Hilal Alsahil,8,2010-10
Al Hilal Kadougli,9,2010-10
Alamal Atbara,10,2010-10
Al Ahli Khartoum,11,2010-10
Al Ittihad,12,2010-10
Al Ahli Wad Medani,13,2010-10
Al-Mergheni,14,2010-10
Al Hilal Omdurman,1,2009-09
Al-Merreikh,2,2009-09
Al Khartoum SC,3,2009-09
Alamal Atbara,4,2009-09
Al-Nil,5,2009-09
Al Ahli Wad Medani,6,2009-09
Al Mourada,7,2009-09
Al-Mergheni,8,2009-09
Al-Hilal Alsahil,9,2009-09
Hay al-Arab (SUD),10,2009-09
Al Hilal Kadougli,11,2009-09
Al Ittihad,12,2009-09
Al Shimali,13,2009-09
