team,pos,season
Aduana Stars,1,2022-23
Bibiani Gold Stars F.C.,2,2022-23
Accra Lions FC,3,2022-23
Asante Kotoko,4,2022-23
Real Tamale,5,2022-23
Bechem United,6,2022-23
Medeama SC,7,2022-23
Accra Great Olympics,8,2022-23
Hearts of Oak,9,2022-23
Berekum Chelsea FC,10,2022-23
Legon Cities FC,11,2022-23
Dreams FC,12,2022-23
Samartex,13,2022-23
Nsoatreman FC,14,2022-23
Karela United FC,15,2022-23
King Faisal,16,2022-23
Tamale City,17,2022-23
Kotoku Royals,18,2022-23
Asante Kotoko,1,2021-22
Medeama SC,2,2021-22
Bechem United,3,2021-22
Accra Great Olympics,4,2021-22
Hearts of Oak,5,2021-22
Ashanti Gold FC,6,2021-22
Berekum Chelsea FC,7,2021-22
Legon Cities FC,8,2021-22
Aduana Stars,9,2021-22
Karela United FC,10,2021-22
King Faisal,11,2021-22
Real Tamale,12,2021-22
Sogakope WAFA,13,2021-22
Accra Lions FC,14,2021-22
Bibiani Gold Stars F.C.,15,2021-22
Eleven Wonders FC,16,2021-22
Dreams FC,17,2021-22
Elmina Sharks,18,2021-22
Hearts of Oak,1,2020-21
Asante Kotoko,2,2020-21
Aduana Stars,3,2020-21
Medeama SC,4,2020-21
Accra Great Olympics,5,2020-21
Dreams FC,6,2020-21
Sogakope WAFA,7,2020-21
Karela United FC,8,2020-21
Ashanti Gold FC,9,2020-21
Ebusua Dwarfs,10,2020-21
Berekum Chelsea FC,11,2020-21
Bechem United,12,2020-21
Legon Cities FC,13,2020-21
Eleven Wonders FC,14,2020-21
King Faisal,15,2020-21
Elmina Sharks,16,2020-21
Liberty Professionals,17,2020-21
Inter Allies FC,18,2020-21
Ashanti Gold FC,1,2014-15
Asante Kotoko,2,2014-15
Aduana Stars,3,2014-15
Berekum Chelsea FC,4,2014-15
Legon Cities FC,5,2014-15
Liberty Professionals,6,2014-15
Inter Allies FC,7,2014-15
Heart of Lions,8,2014-15
New Edubiase FC,9,2014-15
Medeama SC,10,2014-15
Bechem United,11,2014-15
Sogakope WAFA,12,2014-15
Hasaacas,13,2014-15
Hearts of Oak,14,2014-15
Accra Great Olympics,15,2014-15
Brong Ahafo Stars,16,2014-15
Asante Kotoko,1,2013-14
Heart of Lions,2,2013-14
Hearts of Oak,3,2013-14
Ashanti Gold FC,4,2013-14
Bechem United,5,2013-14
Legon Cities FC,6,2013-14
Hasaacas,7,2013-14
Inter Allies FC,8,2013-14
Aduana Stars,9,2013-14
New Edubiase FC,10,2013-14
Medeama SC,11,2013-14
Liberty Professionals,12,2013-14
King Faisal,13,2013-14
Berekum Chelsea FC,14,2013-14
Amidaus Professionals FC,15,2013-14
Ebusua Dwarfs,16,2013-14
Asante Kotoko,1,2012-13
Ebusua Dwarfs,2,2012-13
Berekum Chelsea FC,3,2012-13
Hearts of Oak,4,2012-13
Ashanti Gold FC,5,2012-13
Medeama SC,6,2012-13
Aduana Stars,7,2012-13
New Edubiase FC,8,2012-13
Legon Cities FC,9,2012-13
Amidaus Professionals FC,10,2012-13
King Faisal,11,2012-13
Liberty Professionals,12,2012-13
Heart of Lions,13,2012-13
Berekum Arsenal,14,2012-13
Tema Youth,15,2012-13
Real Tamale,16,2012-13
Asante Kotoko,1,2011-12
Ashanti Gold FC,2,2011-12
Hearts of Oak,3,2011-12
Medeama SC,4,2011-12
New Edubiase FC,5,2011-12
Liberty Professionals,6,2011-12
Aduana Stars,7,2011-12
Berekum Chelsea FC,8,2011-12
Legon Cities FC,9,2011-12
Ebusua Dwarfs,10,2011-12
Tema Youth,11,2011-12
Heart of Lions,12,2011-12
Berekum Arsenal,13,2011-12
Wassaman United,14,2011-12
Bechem United,15,2011-12
Mighty Jets,16,2011-12
Berekum Chelsea FC,1,2010-11
Ashanti Gold FC,2,2010-11
Medeama SC,3,2010-11
Asante Kotoko,4,2010-11
Aduana Stars,5,2010-11
Hearts of Oak,6,2010-11
Liberty Professionals,7,2010-11
Ebusua Dwarfs,8,2010-11
Berekum Arsenal,9,2010-11
Heart of Lions,10,2010-11
New Edubiase FC,11,2010-11
Legon Cities FC,12,2010-11
Mighty Jets,13,2010-11
King Faisal,14,2010-11
Real Tamale,15,2010-11
Brong Ahafo Stars,16,2010-11
Ashanti Gold FC,1,2009-10
Aduana Stars,2,2009-10
Hearts of Oak,3,2009-10
Heart of Lions,4,2009-10
Medeama SC,5,2009-10
Asante Kotoko,6,2009-10
Legon Cities FC,7,2009-10
Berekum Arsenal,8,2009-10
King Faisal,9,2009-10
Berekum Chelsea FC,10,2009-10
Real Tamale,11,2009-10
New Edubiase FC,12,2009-10
Liberty Professionals,13,2009-10
Accra Great Olympics,14,2009-10
Eleven Wise,15,2009-10
Hasaacas,16,2009-10
