team,pos,season
Aucas,1,2022-22
Universidad Católica,2,2022-22
Independiente,3,2022-22
LDU de Quito,4,2022-22
Barcelona SC,5,2022-22
Emelec,6,2022-22
Deportivo Cuenca,7,2022-22
Delfin SC,8,2022-22
Orense SC,9,2022-22
River Plate Ecuador,10,2022-22
Gualaceo SC,11,2022-22
Técnico Universitario,12,2022-22
Mushuc Runa SC,13,2022-22
Cumbayá FC,14,2022-22
Macará,15,2022-22
Nueve de Octubre,16,2022-22
Independiente,1,2021-21
Emelec,2,2021-21
Barcelona SC,3,2021-21
Universidad Católica,4,2021-21
Nueve de Octubre,5,2021-21
LDU de Quito,6,2021-21
Mushuc Runa SC,7,2021-21
Aucas,8,2021-21
Delfin SC,9,2021-21
Macará,10,2021-21
Técnico Universitario,11,2021-21
Deportivo Cuenca,12,2021-21
Orense SC,13,2021-21
River Plate Ecuador,14,2021-21
Manta,15,2021-21
CD Olmedo,16,2021-21
LDU de Quito,1,2020-20
Barcelona SC,2,2020-20
Universidad Católica,3,2020-20
Independiente,4,2020-20
River Plate Ecuador,5,2020-20
Emelec,6,2020-20
Técnico Universitario,7,2020-20
Macará,8,2020-20
Aucas,9,2020-20
Delfin SC,10,2020-20
Deportivo Cuenca,11,2020-20
CD Olmedo,12,2020-20
Orense SC,13,2020-20
Mushuc Runa SC,14,2020-20
LDU Portoviejo,15,2020-20
El Nacional,16,2020-20
Macará,1,2019-19
Barcelona SC,2,2019-19
Universidad Católica,3,2019-19
Delfin SC,4,2019-19
Independiente,5,2019-19
LDU de Quito,6,2019-19
Aucas,7,2019-19
El Nacional,8,2019-19
Deportivo Cuenca,9,2019-19
Emelec,10,2019-19
CD Olmedo,11,2019-19
River Plate Ecuador,12,2019-19
Mushuc Runa SC,13,2019-19
Técnico Universitario,14,2019-19
CD America de Quito,15,2019-19
Fuerza Amarilla SC,16,2019-19
Barcelona SC,1,2018-18
LDU de Quito,2,2018-18
Emelec,3,2018-18
Delfin SC,4,2018-18
Universidad Católica,5,2018-18
Macará,6,2018-18
Independiente,7,2018-18
Aucas,8,2018-18
Deportivo Cuenca,9,2018-18
Técnico Universitario,10,2018-18
El Nacional,11,2018-18
River Plate Ecuador,12,2018-18
Delfin SC,1,2017-17
Emelec,2,2017-17
Barcelona SC,3,2017-17
Independiente,4,2017-17
Macará,5,2017-17
El Nacional,6,2017-17
Deportivo Cuenca,7,2017-17
LDU de Quito,8,2017-17
Universidad Católica,9,2017-17
River Plate Ecuador,10,2017-17
Fuerza Amarilla SC,11,2017-17
Clan Juvenil,12,2017-17
Barcelona SC,1,2016-16
Emelec,2,2016-16
El Nacional,3,2016-16
Independiente,4,2016-16
LDU de Quito,5,2016-16
Deportivo Cuenca,6,2016-16
Universidad Católica,7,2016-16
Fuerza Amarilla SC,8,2016-16
Delfin SC,9,2016-16
River Plate Ecuador,10,2016-16
Aucas,11,2016-16
Mushuc Runa SC,12,2016-16
Universidad Católica,13,2016-16
Delfin SC,14,2016-16
Fuerza Amarilla SC,15,2016-16
River Plate Ecuador,16,2016-16
LDU de Quito,1,2015-15
Emelec,2,2015-15
Independiente,3,2015-15
Barcelona SC,4,2015-15
Universidad Católica,5,2015-15
Aucas,6,2015-15
River Plate Ecuador,7,2015-15
Mushuc Runa SC,8,2015-15
Deportivo Cuenca,9,2015-15
El Nacional,10,2015-15
Liga de Loja,11,2015-15
Deportivo Quito,12,2015-15
Emelec,1,2014-14
Independiente,2,2014-14
Barcelona SC,3,2014-14
LDU de Quito,4,2014-14
El Nacional,5,2014-14
Liga de Loja,6,2014-14
Deportivo Cuenca,7,2014-14
Mushuc Runa SC,8,2014-14
Universidad Católica,9,2014-14
Deportivo Quito,10,2014-14
CD Olmedo,11,2014-14
Manta,12,2014-14
Emelec,1,2013-13
LDU de Quito,2,2013-13
Independiente,3,2013-13
Deportivo Quito,4,2013-13
Barcelona SC,5,2013-13
Universidad Católica,6,2013-13
El Nacional,7,2013-13
Deportivo Cuenca,8,2013-13
Deportivo Quevedo,9,2013-13
Manta,10,2013-13
Liga de Loja,11,2013-13
Macará,12,2013-13
Barcelona SC,1,2012-12
Emelec,2,2012-12
LDU de Quito,3,2012-12
Independiente,4,2012-12
Liga de Loja,5,2012-12
Deportivo Cuenca,6,2012-12
Manta,7,2012-12
Deportivo Quito,8,2012-12
El Nacional,9,2012-12
Macará,10,2012-12
Técnico Universitario,11,2012-12
CD Olmedo,12,2012-12
Deportivo Quito,1,2011-11
Emelec,2,2011-11
LDU de Quito,3,2011-11
El Nacional,4,2011-11
Barcelona SC,5,2011-11
Deportivo Cuenca,6,2011-11
Liga de Loja,7,2011-11
CD Olmedo,8,2011-11
Manta,9,2011-11
Independiente,10,2011-11
Imbabura,11,2011-11
ESPOLI,12,2011-11
Emelec,1,2010-10
LDU de Quito,2,2010-10
Barcelona SC,3,2010-10
Deportivo Quito,4,2010-10
Deportivo Cuenca,5,2010-10
El Nacional,6,2010-10
Manta,7,2010-10
CD Olmedo,8,2010-10
ESPOLI,9,2010-10
Independiente,10,2010-10
Universidad Católica,11,2010-10
Macará,12,2010-10
Emelec,1,2009-09
LDU de Quito,2,2009-09
Macará,3,2009-09
CD Olmedo,4,2009-09
ESPOLI,5,2009-09
El Nacional,6,2009-09
Deportivo Quito,7,2009-09
LDU Portoviejo,8,2009-09
Barcelona SC,9,2009-09
Deportivo Cuenca,10,2009-09
Técnico Universitario,11,2009-09
Manta,12,2009-09
