team,pos,season
FK Red Star Belgrade,1,2022-23
Partizan Beograd,2,2022-23
Topolski Sportski Club,3,2022-23
Čukarički,4,2022-23
Vojvodina,5,2022-23
Novi Pazar,6,2022-23
Voždovac,7,2022-23
Radnički 1923 Kragujevac,8,2022-23
FK Kolubara,9,2022-23
Radnički Niš,10,2022-23
Napredak,11,2022-23
Javor,12,2022-23
FK Mladost Lučani,13,2022-23
FK Spartak Subotica,14,2022-23
FK Mladost Novi Sad,15,2022-23
FK Radnik Surdulica,16,2022-23
FK Red Star Belgrade,1,2021-22
Partizan Beograd,2,2021-22
Čukarički,3,2021-22
FK Radnik Surdulica,4,2021-22
Voždovac,5,2021-22
Radnički Niš,6,2021-22
Topolski Sportski Club,7,2021-22
FK Mladost Lučani,8,2021-22
Vojvodina,9,2021-22
FK Spartak Subotica,10,2021-22
Novi Pazar,11,2021-22
Napredak,12,2021-22
Radnički 1923 Kragujevac,13,2021-22
FK Proleter Novi Sad,14,2021-22
FK Metalac,15,2021-22
FK Kolubara,16,2021-22
FK Red Star Belgrade,1,2020-21
Partizan Beograd,2,2020-21
Čukarički,3,2020-21
Vojvodina,4,2020-21
Topolski Sportski Club,5,2020-21
FK Radnik Surdulica,6,2020-21
FK Proleter Novi Sad,7,2020-21
FK Mladost Lučani,8,2020-21
Napredak,9,2020-21
FK Spartak Subotica,10,2020-21
Radnički Niš,11,2020-21
FK Metalac,12,2020-21
Novi Pazar,13,2020-21
Rad Beograd,14,2020-21
Voždovac,15,2020-21
Javor,16,2020-21
FK Inđija,17,2020-21
FK Zlatibor Čajetina,18,2020-21
Mačva Šabac,19,2020-21
FK Bačka Palanka,20,2020-21
FK Red Star Belgrade,1,2019-20
Partizan Beograd,2,2019-20
Vojvodina,3,2019-20
Topolski Sportski Club,4,2019-20
Radnički Niš,5,2019-20
Čukarički,6,2019-20
FK Spartak Subotica,7,2019-20
Voždovac,8,2019-20
FK Mladost Lučani,9,2019-20
Napredak,10,2019-20
FK Radnik Surdulica,11,2019-20
FK Proleter Novi Sad,12,2019-20
Javor,13,2019-20
FK Inđija,14,2019-20
Rad Beograd,15,2019-20
Mačva Šabac,16,2019-20
FK Red Star Belgrade,1,2018-19
Radnički Niš,2,2018-19
Partizan Beograd,3,2018-19
Čukarički,4,2018-19
FK Mladost Lučani,5,2018-19
Napredak,6,2018-19
FK Radnik Surdulica,7,2018-19
FK Spartak Subotica,8,2018-19
Voždovac,9,2018-19
Mačva Šabac,10,2018-19
Vojvodina,11,2018-19
FK Proleter Novi Sad,12,2018-19
Rad Beograd,13,2018-19
Dinamo Vranje,14,2018-19
FK Bačka Palanka,15,2018-19
FK Zemun,16,2018-19
FK Red Star Belgrade,1,2017-18
Partizan Beograd,2,2017-18
Radnički Niš,3,2017-18
FK Spartak Subotica,4,2017-18
Čukarički,5,2017-18
Voždovac,6,2017-18
Napredak,7,2017-18
Vojvodina,8,2017-18
FK Radnik Surdulica,9,2017-18
FK Mladost Lučani,10,2017-18
FK Zemun,11,2017-18
Mačva Šabac,12,2017-18
FK Bačka Palanka,13,2017-18
Rad Beograd,14,2017-18
Javor,15,2017-18
Borac Čačak,16,2017-18
FK Red Star Belgrade,1,2016-17
Partizan Beograd,2,2016-17
Vojvodina,3,2016-17
FK Mladost Lučani,4,2016-17
Napredak,5,2016-17
Radnički Niš,6,2016-17
Čukarički,7,2016-17
Voždovac,8,2016-17
FK Spartak Subotica,9,2016-17
Javor,10,2016-17
Rad Beograd,11,2016-17
FK Radnik Surdulica,12,2016-17
FK Bačka Palanka,13,2016-17
FK Metalac,14,2016-17
Borac Čačak,15,2016-17
Novi Pazar,16,2016-17
FK Red Star Belgrade,1,2015-16
Partizan Beograd,2,2015-16
Čukarički,3,2015-16
Vojvodina,4,2015-16
Radnički Niš,5,2015-16
Borac Čačak,6,2015-16
FK Mladost Lučani,7,2015-16
Voždovac,8,2015-16
FK Metalac,9,2015-16
FK Spartak Subotica,10,2015-16
FK Radnik Surdulica,11,2015-16
Javor,12,2015-16
Rad Beograd,13,2015-16
Novi Pazar,14,2015-16
OFK Beograd,15,2015-16
Jagodina,16,2015-16
Vojvodina,1,2014-15
Radnički Niš,2,2014-15
Napredak,3,2014-15
FK Donji Srem,4,2014-15
Voždovac,5,2014-15
Rad Beograd,6,2014-15
Radnički 1923 Kragujevac,7,2014-15
FK Mladost Lučani,8,2014-15
Jagodina,9,2014-15
Novi Pazar,10,2014-15
FK Spartak Subotica,11,2014-15
FK Red Star Belgrade,12,2014-15
Čukarički,13,2014-15
Borac Čačak,14,2014-15
Partizan Beograd,15,2014-15
OFK Beograd,16,2014-15
FK Red Star Belgrade,1,2013-14
Partizan Beograd,2,2013-14
Jagodina,3,2013-14
Vojvodina,4,2013-14
Čukarički,5,2013-14
Radnički Niš,6,2013-14
Voždovac,7,2013-14
Novi Pazar,8,2013-14
Napredak,9,2013-14
FK Spartak Subotica,10,2013-14
OFK Beograd,11,2013-14
FK Donji Srem,12,2013-14
Radnički 1923 Kragujevac,13,2013-14
Javor,14,2013-14
Rad Beograd,15,2013-14
Sloboda Užice,16,2013-14
Partizan Beograd,1,2012-13
FK Red Star Belgrade,2,2012-13
Vojvodina,3,2012-13
Jagodina,4,2012-13
Sloboda Užice,5,2012-13
OFK Beograd,6,2012-13
Rad Beograd,7,2012-13
Hajduk Kula,8,2012-13
FK Spartak Subotica,9,2012-13
Javor,10,2012-13
FK Donji Srem,11,2012-13
Radnički Niš,12,2012-13
Radnički 1923 Kragujevac,13,2012-13
Novi Pazar,14,2012-13
BSK Borča,15,2012-13
