team,pos,season
Buriram United,1,2022-23
Bangkok United,2,2022-23
Chonburi FC,3,2022-23
Ratchaburi FC,4,2022-23
Chiangrai United,5,2022-23
Port F.C.,6,2022-23
BG Pathum United,7,2022-23
Police Tero FC,8,2022-23
Muangthong United,9,2022-23
Sukhothai FC,10,2022-23
Khon Kaen United FC,11,2022-23
Prachuap FC,12,2022-23
Nakhon Ratchasima FC,13,2022-23
Lamphun Warrior,14,2022-23
Nong Bua Pitchaya FC,15,2022-23
Lampang FC,16,2022-23
Buriram United,1,2021-22
BG Pathum United,2,2021-22
Muangthong United,3,2021-22
Bangkok United,4,2021-22
Chonburi FC,5,2021-22
Chiangrai United,6,2021-22
Port F.C.,7,2021-22
Nakhon Ratchasima FC,8,2021-22
Police Tero FC,9,2021-22
Suphanburi FC,10,2021-22
Ratchaburi FC,11,2021-22
Nong Bua Pitchaya FC,12,2021-22
Samut Prakan City,13,2021-22
Prachuap FC,14,2021-22
Khon Kaen United FC,15,2021-22
JL Chiangmai United FC,16,2021-22
BG Pathum United,1,2020-20
Buriram United,2,2020-20
Port F.C.,3,2020-20
Chiangrai United,4,2020-20
Bangkok United,5,2020-20
Muangthong United,6,2020-20
Samut Prakan City,7,2020-20
Ratchaburi FC,8,2020-20
Nakhon Ratchasima FC,9,2020-20
Prachuap FC,10,2020-20
Police Tero FC,11,2020-20
Chonburi FC,12,2020-20
Suphanburi FC,13,2020-20
Sukhothai FC,14,2020-20
Trat FC,15,2020-20
PTT Rayong FC,16,2020-20
Buriram United,1,2019-19
Chiangrai United,2,2019-19
Port F.C.,3,2019-19
Bangkok United,4,2019-19
Muangthong United,5,2019-19
Samut Prakan City,6,2019-19
Chonburi FC,7,2019-19
Ratchaburi FC,8,2019-19
Prachuap FC,9,2019-19
Trat FC,10,2019-19
PTT Rayong FC,11,2019-19
Sukhothai FC,12,2019-19
Nakhon Ratchasima FC,13,2019-19
Chainat FC,14,2019-19
Suphanburi FC,15,2019-19
Chiangmai FC,16,2019-19
Buriram United,1,2018-18
Bangkok United,2,2018-18
Port F.C.,3,2018-18
Muangthong United,4,2018-18
Chiangrai United,5,2018-18
Prachuap FC,6,2018-18
Chonburi FC,7,2018-18
Pattaya United,8,2018-18
Nakhon Ratchasima FC,9,2018-18
Suphanburi FC,10,2018-18
Ratchaburi FC,11,2018-18
Sukhothai FC,12,2018-18
BG Pathum United,13,2018-18
Chainat FC,14,2018-18
Police Tero FC,15,2018-18
Siam Navy FC,16,2018-18
