team,pos,season
PFC CSKA Sofia,1,2022-23
PFC Ludogorets 1945 Razgrad,2,2022-23
FC CSKA 1948 Sofia,3,2022-23
Lokomotiv Plovdiv,4,2022-23
Slavia Sofia,5,2022-23
Levski Sofia,6,2022-23
Cherno More Varna,7,2022-23
PFC Lokomotiv Sofia 1929,8,2022-23
FC Arda Kardzhali,9,2022-23
Botev Plovdiv,10,2022-23
Beroe,11,2022-23
FK Septemvri Sofia,12,2022-23
Botev Vratsa,13,2022-23
Pirin Blagoevgrad,14,2022-23
FC Hebar 1918,15,2022-23
FK Spartak 1918 Varna,16,2022-23
PFC Ludogorets 1945 Razgrad,1,2021-22
PFC CSKA Sofia,2,2021-22
Botev Plovdiv,3,2021-22
Levski Sofia,4,2021-22
Cherno More Varna,5,2021-22
Beroe,6,2021-22
Lokomotiv Plovdiv,7,2021-22
Slavia Sofia,8,2021-22
FC Arda Kardzhali,9,2021-22
PFC Lokomotiv Sofia 1929,10,2021-22
Pirin Blagoevgrad,11,2021-22
Botev Vratsa,12,2021-22
FC Tsarsko Selo Sofia 2015,13,2021-22
FC CSKA 1948 Sofia,14,2021-22
PFC CSKA Sofia,1,2020-21
PFC Ludogorets 1945 Razgrad,2,2020-21
Lokomotiv Plovdiv,3,2020-21
FC Arda Kardzhali,4,2020-21
Cherno More Varna,5,2020-21
Levski Sofia,6,2020-21
Beroe,7,2020-21
FC Tsarsko Selo Sofia 2015,8,2020-21
Slavia Sofia,9,2020-21
Botev Plovdiv,10,2020-21
Botev Vratsa,11,2020-21
Montana,12,2020-21
Etar,13,2020-21
PFC Ludogorets 1945 Razgrad,1,2019-20
PFC CSKA Sofia,2,2019-20
Slavia Sofia,3,2019-20
Levski Sofia,4,2019-20
Lokomotiv Plovdiv,5,2019-20
Cherno More Varna,6,2019-20
Beroe,7,2019-20
Botev Plovdiv,8,2019-20
FC Arda Kardzhali,9,2019-20
Etar,10,2019-20
Botev Vratsa,11,2019-20
FC Tsarsko Selo Sofia 2015,12,2019-20
Dunav Ruse,13,2019-20
Vitosha Bistritsa,14,2019-20
PFC Ludogorets 1945 Razgrad,1,2018-19
PFC CSKA Sofia,2,2018-19
Levski Sofia,3,2018-19
Beroe,4,2018-19
Etar,5,2018-19
Cherno More Varna,6,2018-19
Botev Plovdiv,7,2018-19
Botev Vratsa,8,2018-19
Slavia Sofia,9,2018-19
FK Septemvri Sofia,10,2018-19
Vitosha Bistritsa,11,2018-19
Lokomotiv Plovdiv,12,2018-19
Dunav Ruse,13,2018-19
Vereya,14,2018-19
PFC Ludogorets 1945 Razgrad,1,2017-18
PFC CSKA Sofia,2,2017-18
Levski Sofia,3,2017-18
Beroe,4,2017-18
Botev Plovdiv,5,2017-18
Cherno More Varna,6,2017-18
Lokomotiv Plovdiv,7,2017-18
Slavia Sofia,8,2017-18
FK Septemvri Sofia,9,2017-18
Etar,10,2017-18
Dunav Ruse,11,2017-18
Vereya,12,2017-18
Pirin Blagoevgrad,13,2017-18
Vitosha Bistritsa,14,2017-18
PFC Ludogorets 1945 Razgrad,1,2016-17
PFC CSKA Sofia,2,2016-17
Levski Sofia,3,2016-17
Dunav Ruse,4,2016-17
Lokomotiv Plovdiv,5,2016-17
Vereya,6,2016-17
Botev Plovdiv,7,2016-17
Beroe,8,2016-17
Cherno More Varna,9,2016-17
Slavia Sofia,10,2016-17
Pirin Blagoevgrad,11,2016-17
Neftochimic Burgas 1962,12,2016-17
Lokomotiv Gorna Oryahovitsa,13,2016-17
Montana,14,2016-17
PFC Ludogorets 1945 Razgrad,1,2015-16
Levski Sofia,2,2015-16
Beroe,3,2015-16
Lokomotiv Plovdiv,4,2015-16
Slavia Sofia,5,2015-16
Cherno More Varna,6,2015-16
Litex Lovech,7,2015-16
Botev Plovdiv,8,2015-16
Pirin Blagoevgrad,9,2015-16
Montana,10,2015-16
Beroe,1,2014-15
PFC Ludogorets 1945 Razgrad,2,2014-15
Marek Dupnitsa,3,2014-15
PFC Lokomotiv Sofia 1929,4,2014-15
Lokomotiv Plovdiv,5,2014-15
Litex Lovech,6,2014-15
Levski Sofia,7,2014-15
Haskovo 2009,8,2014-15
PFC CSKA Sofia,9,2014-15
Cherno More Varna,10,2014-15
Botev Plovdiv,11,2014-15
Slavia Sofia,12,2014-15
PFC Ludogorets 1945 Razgrad,1,2013-14
Litex Lovech,2,2013-14
PFC CSKA Sofia,3,2013-14
Beroe,4,2013-14
Botev Plovdiv,5,2013-14
Levski Sofia,6,2013-14
Slavia Sofia,7,2013-14
Cherno More Varna,8,2013-14
PFC Lokomotiv Sofia 1929,9,2013-14
Lokomotiv Plovdiv,10,2013-14
Chernomorets Burgas,11,2013-14
Neftochimic Burgas 1962,12,2013-14
Pirin Gotse Delchev,13,2013-14
Lyubimets,14,2013-14
PFC Ludogorets 1945 Razgrad,1,2012-13
Levski Sofia,2,2012-13
PFC CSKA Sofia,3,2012-13
Botev Plovdiv,4,2012-13
Litex Lovech,5,2012-13
Chernomorets Burgas,6,2012-13
Beroe,7,2012-13
Lokomotiv Plovdiv,8,2012-13
Slavia Sofia,9,2012-13
Cherno More Varna,10,2012-13
Pirin Gotse Delchev,11,2012-13
Botev Vratsa,12,2012-13
PFC Lokomotiv Sofia 1929,13,2012-13
Minyor Pernik,14,2012-13
Montana,15,2012-13
Etar,16,2012-13
PFC Ludogorets 1945 Razgrad,1,2011-12
PFC CSKA Sofia,2,2011-12
Levski Sofia,3,2011-12
Chernomorets Burgas,4,2011-12
Litex Lovech,5,2011-12
Lokomotiv Plovdiv,6,2011-12
Cherno More Varna,7,2011-12
Slavia Sofia,8,2011-12
Minyor Pernik,9,2011-12
Beroe,10,2011-12
Montana,11,2011-12
Botev Vratsa,12,2011-12
PFC Lokomotiv Sofia 1929,13,2011-12
Vidima-Rakovski,14,2011-12
Kaliakra,15,2011-12
Svetkavitsa,16,2011-12
Litex Lovech,1,2010-11
Levski Sofia,2,2010-11
PFC CSKA Sofia,3,2010-11
Lokomotiv Plovdiv,4,2010-11
PFC Lokomotiv Sofia 1929,5,2010-11
Cherno More Varna,6,2010-11
Beroe,7,2010-11
Chernomorets Burgas,8,2010-11
Minyor Pernik,9,2010-11
Slavia Sofia,10,2010-11
Montana,11,2010-11
Kaliakra,12,2010-11
Pirin Blagoevgrad,13,2010-11
Vidima-Rakovski,14,2010-11
Akademik Sofia,15,2010-11
Sliven,16,2010-11
Litex Lovech,1,2009-10
PFC CSKA Sofia,2,2009-10
Levski Sofia,3,2009-10
PFC Lokomotiv Sofia 1929,4,2009-10
Chernomorets Burgas,5,2009-10
Slavia Sofia,6,2009-10
Cherno More Varna,7,2009-10
Minyor Pernik,8,2009-10
Pirin Blagoevgrad,9,2009-10
Beroe,10,2009-10
Montana,11,2009-10
Lokomotiv Plovdiv,12,2009-10
Sliven,13,2009-10
Lokomotiv Mezdra,14,2009-10
Sportist Svoge,15,2009-10
Botev Plovdiv,16,2009-10
