team,pos,season
Lokomotiv Astana,1,2022-22
Aktobe,2,2022-22
Tobol Kostanay,3,2022-22
Kairat Almaty,4,2022-22
Ordabasy Shymkent,5,2022-22
FK Aksu,6,2022-22
FC Maktaaral,7,2022-22
FK Kaspiy Aktau,8,2022-22
Kyzylzhar Petropavlovsk,9,2022-22
Shakhter Karagandy,10,2022-22
Atyrau,11,2022-22
Taraz,12,2022-22
FK Turan Turkistan,13,2022-22
Akzhaiyk Uralsk,14,2022-22
Tobol Kostanay,1,2021-21
Lokomotiv Astana,2,2021-21
Kairat Almaty,3,2021-21
Kyzylzhar Petropavlovsk,4,2021-21
Ordabasy Shymkent,5,2021-21
Aktobe,6,2021-21
Shakhter Karagandy,7,2021-21
FK Kaspiy Aktau,8,2021-21
Akzhaiyk Uralsk,9,2021-21
Taraz,10,2021-21
Atyrau,11,2021-21
FK Turan Turkistan,12,2021-21
Kaisar Kyzylorda,13,2021-21
Zhetysu Taldykorgan,14,2021-21
Kairat Almaty,1,2020-20
Tobol Kostanay,2,2020-20
Lokomotiv Astana,3,2020-20
Ordabasy Shymkent,4,2020-20
Shakhter Karagandy,5,2020-20
Zhetysu Taldykorgan,6,2020-20
Kaisar Kyzylorda,7,2020-20
Kyzylzhar Petropavlovsk,8,2020-20
Taraz,9,2020-20
FK Kaspiy Aktau,10,2020-20
Okzhetpes Kokshetau,11,2020-20
Irtysh Pavlodar,12,2020-20
Lokomotiv Astana,1,2019-19
Kairat Almaty,2,2019-19
Ordabasy Shymkent,3,2019-19
Tobol Kostanay,4,2019-19
Zhetysu Taldykorgan,5,2019-19
Kaisar Kyzylorda,6,2019-19
Okzhetpes Kokshetau,7,2019-19
Irtysh Pavlodar,8,2019-19
Shakhter Karagandy,9,2019-19
Taraz,10,2019-19
Aktobe,11,2019-19
Atyrau,12,2019-19
Lokomotiv Astana,1,2018-18
Kairat Almaty,2,2018-18
Tobol Kostanay,3,2018-18
Aktobe,4,2018-18
Kaisar Kyzylorda,5,2018-18
Ordabasy Shymkent,6,2018-18
Zhetysu Taldykorgan,7,2018-18
Atyrau,8,2018-18
Shakhter Karagandy,9,2018-18
Kyzylzhar Petropavlovsk,10,2018-18
Irtysh Pavlodar,11,2018-18
Akzhaiyk Uralsk,12,2018-18
Lokomotiv Astana,1,2017-17
Kairat Almaty,2,2017-17
Ordabasy Shymkent,3,2017-17
Irtysh Pavlodar,4,2017-17
Tobol Kostanay,5,2017-17
Kaisar Kyzylorda,6,2017-17
Shakhter Karagandy,7,2017-17
Atyrau,8,2017-17
Aktobe,9,2017-17
Taraz,10,2017-17
Akzhaiyk Uralsk,11,2017-17
Okzhetpes Kokshetau,12,2017-17
Lokomotiv Astana,1,2016-16
Kairat Almaty,2,2016-16
Irtysh Pavlodar,3,2016-16
Ordabasy Shymkent,4,2016-16
Okzhetpes Kokshetau,5,2016-16
Tobol Kostanay,6,2016-16
Atyrau,7,2016-16
Aktobe,8,2016-16
Shakhter Karagandy,9,2016-16
Taraz,10,2016-16
Akzhaiyk Uralsk,11,2016-16
Zhetysu Taldykorgan,12,2016-16
Kairat Almaty,1,2015-15
Lokomotiv Astana,2,2015-15
Aktobe,3,2015-15
