team,pos,season
Mamelodi Sundowns FC,1,2022-23
Supersport United,2,2022-23
Richards Bay,3,2022-23
Orlando Pirates,4,2022-23
Kaizer Chiefs,5,2022-23
AmaZulu FC,6,2022-23
sekhukhune united fc,7,2022-23
Chippa United,8,2022-23
Royal AM,9,2022-23
TS Galaxy,10,2022-23
Cape Town City FC,11,2022-23
Stellenbosch FC,12,2022-23
Lamontville Golden Arrows,13,2022-23
Moroka Swallows,14,2022-23
Maritzburg United,15,2022-23
Marumo Gallants FC,16,2022-23
Mamelodi Sundowns FC,1,2021-22
Stellenbosch FC,2,2021-22
Kaizer Chiefs,3,2021-22
Cape Town City FC,4,2021-22
Orlando Pirates,5,2021-22
AmaZulu FC,6,2021-22
Supersport United,7,2021-22
Lamontville Golden Arrows,8,2021-22
Maritzburg United,9,2021-22
Chippa United,10,2021-22
Moroka Swallows,11,2021-22
Baroka FC,12,2021-22
Royal AM,13,2021-22
TS Galaxy,14,2021-22
Marumo Gallants FC,15,2021-22
sekhukhune united fc,16,2021-22
Mamelodi Sundowns FC,1,2020-21
AmaZulu FC,2,2020-21
Orlando Pirates,3,2020-21
Lamontville Golden Arrows,4,2020-21
Supersport United,5,2020-21
Moroka Swallows,6,2020-21
Cape Town City FC,7,2020-21
Kaizer Chiefs,8,2020-21
TS Galaxy,9,2020-21
Baroka FC,10,2020-21
Bloemfontein Celtic,11,2020-21
Marumo Gallants FC,12,2020-21
Maritzburg United,13,2020-21
Stellenbosch FC,14,2020-21
Chippa United,15,2020-21
Black Leopards,16,2020-21
Mamelodi Sundowns FC,1,2019-20
Kaizer Chiefs,2,2019-20
Orlando Pirates,3,2019-20
Supersport United,4,2019-20
Bidvest Wits,5,2019-20
Maritzburg United,6,2019-20
Bloemfontein Celtic,7,2019-20
Cape Town City FC,8,2019-20
Highlands Park,9,2019-20
Stellenbosch FC,10,2019-20
Lamontville Golden Arrows,11,2019-20
Chippa United,12,2019-20
AmaZulu FC,13,2019-20
Baroka FC,14,2019-20
Black Leopards,15,2019-20
Polokwane City,16,2019-20
Mamelodi Sundowns FC,1,2018-19
Orlando Pirates,2,2018-19
Bidvest Wits,3,2018-19
Cape Town City FC,4,2018-19
Polokwane City,5,2018-19
Supersport United,6,2018-19
Highlands Park,7,2018-19
Bloemfontein Celtic,8,2018-19
Kaizer Chiefs,9,2018-19
AmaZulu FC,10,2018-19
Lamontville Golden Arrows,11,2018-19
Chippa United,12,2018-19
Black Leopards,13,2018-19
Baroka FC,14,2018-19
Maritzburg United,15,2018-19
Free State Stars,16,2018-19
Mamelodi Sundowns FC,1,2017-18
Orlando Pirates,2,2017-18
Kaizer Chiefs,3,2017-18
Maritzburg United,4,2017-18
Cape Town City FC,5,2017-18
Free State Stars,6,2017-18
Lamontville Golden Arrows,7,2017-18
AmaZulu FC,8,2017-18
Chippa United,9,2017-18
Bloemfontein Celtic,10,2017-18
Supersport United,11,2017-18
Bidvest Wits,12,2017-18
Polokwane City,13,2017-18
Baroka FC,14,2017-18
Ajax Cape Town,15,2017-18
Platinum Stars,16,2017-18
Bidvest Wits,1,2016-17
Mamelodi Sundowns FC,2,2016-17
Cape Town City FC,3,2016-17
Kaizer Chiefs,4,2016-17
Supersport United,5,2016-17
Polokwane City,6,2016-17
Maritzburg United,7,2016-17
Lamontville Golden Arrows,8,2016-17
Platinum Stars,9,2016-17
Ajax Cape Town,10,2016-17
Orlando Pirates,11,2016-17
Bloemfontein Celtic,12,2016-17
Chippa United,13,2016-17
Free State Stars,14,2016-17
Baroka FC,15,2016-17
Highlands Park,16,2016-17
Mamelodi Sundowns FC,1,2015-16
Bidvest Wits,2,2015-16
Platinum Stars,3,2015-16
Cape Town City FC,4,2015-16
Kaizer Chiefs,5,2015-16
Chippa United,6,2015-16
Orlando Pirates,7,2015-16
Supersport United,8,2015-16
Lamontville Golden Arrows,9,2015-16
Ajax Cape Town,10,2015-16
Bloemfontein Celtic,11,2015-16
Free State Stars,12,2015-16
Polokwane City,13,2015-16
Maritzburg United,14,2015-16
Pretoria University,15,2015-16
Jomo Cosmos,16,2015-16
Kaizer Chiefs,1,2014-15
Polokwane City,2,2014-15
Pretoria University,3,2014-15
Platinum Stars,4,2014-15
Moroka Swallows,5,2014-15
Bloemfontein Celtic,6,2014-15
Free State Stars,7,2014-15
Cape Town City FC,8,2014-15
Maritzburg United,9,2014-15
Supersport United,10,2014-15
Chippa United,11,2014-15
Ajax Cape Town,12,2014-15
Mamelodi Sundowns FC,13,2014-15
Bidvest Wits,14,2014-15
Orlando Pirates,15,2014-15
AmaZulu FC,16,2014-15
Mamelodi Sundowns FC,1,2013-14
Kaizer Chiefs,2,2013-14
Bidvest Wits,3,2013-14
Orlando Pirates,4,2013-14
Supersport United,5,2013-14
Bloemfontein Celtic,6,2013-14
Cape Town City FC,7,2013-14
Platinum Stars,8,2013-14
AmaZulu FC,9,2013-14
Maritzburg United,10,2013-14
Pretoria University,11,2013-14
Ajax Cape Town,12,2013-14
Moroka Swallows,13,2013-14
Free State Stars,14,2013-14
Polokwane City,15,2013-14
Lamontville Golden Arrows,16,2013-14
Kaizer Chiefs,1,2012-13
Platinum Stars,2,2012-13
Orlando Pirates,3,2012-13
Bidvest Wits,4,2012-13
Bloemfontein Celtic,5,2012-13
Supersport United,6,2012-13
Free State Stars,7,2012-13
Pretoria University,8,2012-13
Moroka Swallows,9,2012-13
Mamelodi Sundowns FC,10,2012-13
Maritzburg United,11,2012-13
AmaZulu FC,12,2012-13
