team,pos,season
Sutjeska,1,2022-23
Budućnost,2,2022-23
Dečić,3,2022-23
Petrovac,4,2022-23
FK Arsenal Tivat,5,2022-23
Jedinstvo BP,6,2022-23
FK Jezero Plav,7,2022-23
Rudar Pljevlja,8,2022-23
Mornar,9,2022-23
FK Iskra,10,2022-23
Sutjeska,1,2021-22
Budućnost,2,2021-22
Dečić,3,2021-22
FK Iskra,4,2021-22
Mornar,5,2021-22
Petrovac,6,2021-22
Rudar Pljevlja,7,2021-22
Zeta,8,2021-22
FK Podgorica,9,2021-22
FK Jezero Plav,10,2021-22
Budućnost,1,2020-21
OFK Titograd,2,2020-21
Sutjeska,3,2020-21
Dečić,4,2020-21
FK Iskra,5,2020-21
Zeta,6,2020-21
FK Jezero Plav,7,2020-21
Rudar Pljevlja,8,2020-21
Petrovac,9,2020-21
OFK Titograd,1,2019-20
Budućnost,2,2019-20
Sutjeska,3,2019-20
FK Iskra,4,2019-20
Zeta,5,2019-20
Petrovac,6,2019-20
Rudar Pljevlja,7,2019-20
FK Kom Podgorica,8,2019-20
Grbalj Radanovici,9,2019-20
Sutjeska,1,2018-19
Budućnost,2,2018-19
Zeta,3,2018-19
OFK Titograd,4,2018-19
Grbalj Radanovici,5,2018-19
FK Iskra,6,2018-19
Petrovac,7,2018-19
Rudar Pljevlja,8,2018-19
Lovćen,9,2018-19
Mornar,10,2018-19
Sutjeska,1,2017-18
Budućnost,2,2017-18
OFK Titograd,3,2017-18
Zeta,4,2017-18
Rudar Pljevlja,5,2017-18
Grbalj Radanovici,6,2017-18
FK Iskra,7,2017-18
FK Kom Podgorica,8,2017-18
Petrovac,9,2017-18
Dečić,10,2017-18
Zeta,1,2016-17
Budućnost,2,2016-17
Sutjeska,3,2016-17
OFK Titograd,4,2016-17
Dečić,5,2016-17
FK Iskra,6,2016-17
Grbalj Radanovici,7,2016-17
Rudar Pljevlja,8,2016-17
Petrovac,9,2016-17
Lovćen,10,2016-17
FK Bokelj,11,2016-17
Jedinstvo BP,12,2016-17
OFK Titograd,1,2015-16
Budućnost,2,2015-16
Rudar Pljevlja,3,2015-16
FK Bokelj,4,2015-16
Sutjeska,5,2015-16
Dečić,6,2015-16
Zeta,7,2015-16
Grbalj Radanovici,8,2015-16
Lovćen,9,2015-16
Mornar,10,2015-16
FK Iskra,11,2015-16
Petrovac,12,2015-16
Mornar,1,2014-15
Petrovac,2,2014-15
Mogren,3,2014-15
Sutjeska,4,2014-15
Lovćen,5,2014-15
Zeta,6,2014-15
FK Bokelj,7,2014-15
OFK Titograd,8,2014-15
Rudar Pljevlja,9,2014-15
Grbalj Radanovici,10,2014-15
Budućnost,11,2014-15
Berane,12,2014-15
Sutjeska,1,2013-14
Lovćen,2,2013-14
Budućnost,3,2013-14
Čelik Nikšić,4,2013-14
Petrovac,5,2013-14
Grbalj Radanovici,6,2013-14
Rudar Pljevlja,7,2013-14
Mogren,8,2013-14
Zeta,9,2013-14
OFK Titograd,10,2013-14
Mornar,11,2013-14
Dečić,12,2013-14
Sutjeska,1,2012-13
Budućnost,2,2012-13
Čelik Zenica,3,2012-13
Grbalj Radanovici,4,2012-13
Rudar Pljevlja,5,2012-13
Petrovac,6,2012-13
Zeta,7,2012-13
Mogren,8,2012-13
Mornar,9,2012-13
OFK Titograd,10,2012-13
Jedinstvo BP,11,2012-13
Lovćen,12,2012-13
