team,pos,season
ASEC Mimosas,1,2022-23
Academia F. Amadou Diallo,2,2022-23
SO Armée,3,2022-23
Sporting Gagnoa,4,2022-23
Lys Sassandra,5,2022-23
SOL FC,6,2022-23
San Pedro,7,2022-23
AS Denguélé,8,2022-23
Racing Club d'Abidjan,9,2022-23
Usc Bassam,10,2022-23
Bouaké FC,11,2022-23
Stella Club,12,2022-23
Stade d'Abidjan,13,2022-23
Entente Sportive du Bafing,14,2022-23
ASI D'Abengourou,15,2022-23
Club Omnisports de Korhogo (CIV),16,2022-23
ASEC Mimosas,1,2021-22
Sporting Gagnoa,2,2021-22
San Pedro,3,2021-22
SO Armée,4,2021-22
Racing Club d'Abidjan,5,2021-22
Lys Sassandra,6,2021-22
Stella Club,7,2021-22
Academia F. Amadou Diallo,8,2021-22
Bouaké FC,9,2021-22
ASI D'Abengourou,10,2021-22
Usc Bassam,11,2021-22
Entente Sportive du Bafing,12,2021-22
SOL FC,13,2021-22
Club Omnisports de Korhogo (CIV),14,2021-22
ASEC Mimosas,1,2020-21
Academia F. Amadou Diallo,2,2020-21
SO Armée,3,2020-21
San Pedro,4,2020-21
Racing Club d'Abidjan,5,2020-21
Bouaké FC,6,2020-21
Entente Sportive du Bafing,7,2020-21
Sporting Gagnoa,8,2020-21
Stella Club,9,2020-21
Usc Bassam,10,2020-21
ASI D'Abengourou,11,2020-21
AS Tanda,12,2020-21
