team,pos,season
Persib Bandung,1,2022-23
PSM Makassar,2,2022-23
Persija Jakarta,3,2022-23
Madura United,4,2022-23
Pusamania Borneo FC,5,2022-23
Bali United,6,2022-23
Persebaya Surabaya,7,2022-23
PSIS,8,2022-23
Persita Tangerang,9,2022-23
Arema,10,2022-23
Persis Solo,11,2022-23
Persikabo 1973 (INA),12,2022-23
PSS Sleman,13,2022-23
Bhayangkara FC,14,2022-23
Dewa United F.C.,15,2022-23
Barito Putera,16,2022-23
RANS Nusantara F.C.,17,2022-23
Persik Kediri,18,2022-23
Bali United,1,2021-22
Persib Bandung,2,2021-22
Arema,3,2021-22
Bhayangkara FC,4,2021-22
Persebaya Surabaya,5,2021-22
Pusamania Borneo FC,6,2021-22
Persija Jakarta,7,2021-22
PSIS,8,2021-22
Persikabo 1973 (INA),9,2021-22
Persipura Jayapura,10,2021-22
PSS Sleman,11,2021-22
Madura United,12,2021-22
Barito Putera,13,2021-22
Persik Kediri,14,2021-22
PSM Makassar,15,2021-22
Persela Lamongan,16,2021-22
Persita Tangerang,17,2021-22
Persiraja Aceh,18,2021-22
Persib Bandung,1,2020-20
Bali United,2,2020-20
Pusamania Borneo FC,3,2020-20
Persipura Jayapura,4,2020-20
PSIS,5,2020-20
PSM Makassar,6,2020-20
Persiraja Aceh,7,2020-20
Madura United,8,2020-20
Persija Jakarta,9,2020-20
Persikabo 1973 (INA),10,2020-20
Bhayangkara FC,11,2020-20
Arema,12,2020-20
Persik Kediri,13,2020-20
Persita Tangerang,14,2020-20
Persebaya Surabaya,15,2020-20
PSS Sleman,16,2020-20
Barito Putera,17,2020-20
Persela Lamongan,18,2020-20
