team,pos,season
TP Mazembe,1,2021-22
Vita Club,2,2021-22
Saint-Eloi Lupopo,3,2021-22
Don Bosco SC,4,2021-22
Maniema Union,5,2021-22
Motema Pembe,6,2021-22
J.S. Groupe Bazano,7,2021-22
AC Rangers,8,2021-22
Sanga Balende,9,2021-22
Dauphins Noirs,10,2021-22
FC Lubumbashi sport,11,2021-22
FC Renaissance du Congo,12,2021-22
Tshinkunku,13,2021-22
Etoile du Kivu,14,2021-22
US Panda B5,15,2021-22
AC Kuya Sport,16,2021-22
Blessing FC,17,2021-22
FC Simba,18,2021-22
RC Kinshasa,19,2021-22
Jeunesse Sportive de Kinshasa,20,2021-22
Vita Club,1,2020-21
TP Mazembe,2,2020-21
Sanga Balende,3,2020-21
Saint-Eloi Lupopo,4,2020-21
Maniema Union,5,2020-21
Motema Pembe,6,2020-21
FC Simba,7,2020-21
AC Rangers,8,2020-21
Blessing FC,9,2020-21
Don Bosco SC,10,2020-21
J.S. Groupe Bazano,11,2020-21
FC Renaissance du Congo,12,2020-21
Dauphins Noirs,13,2020-21
Jeunesse Sportive de Kinshasa,14,2020-21
RC Kinshasa,15,2020-21
FC Lubumbashi sport,16,2020-21
Maniema Union,1,2020-20
FC Renaissance du Congo,2,2020-20
Dauphins Noirs,3,2020-20
Vita Club,4,2020-20
TP Mazembe,5,2020-20
Motema Pembe,6,2020-20
Saint-Eloi Lupopo,7,2020-20
RC Kinshasa,8,2020-20
Don Bosco SC,9,2020-20
J.S. Groupe Bazano,10,2020-20
Sanga Balende,11,2020-20
AC Rangers,12,2020-20
FC Lubumbashi sport,13,2020-20
FC Simba,14,2020-20
AS Nyuki de Butembo,15,2020-20
Bukavu Dawa,16,2020-20
