team,pos,season
AEK Larnaca,1,2022-23
APOEL Nicosia,2,2022-23
Pafos FC,3,2022-23
Aris Limassol,4,2022-23
Nea Salamis,5,2022-23
Omonia Nicosia,6,2022-23
Apollon Limassol,7,2022-23
AEL Limassol,8,2022-23
Anorthosis,9,2022-23
Karmiotissa Pano Polemidion,10,2022-23
Enosis Paralimni,11,2022-23
Doxa Katokopia,12,2022-23
Olympiakos Nicosia,13,2022-23
Akritas Chlorakas,14,2022-23
Apollon Limassol,1,2021-22
AEK Larnaca,2,2021-22
APOEL Nicosia,3,2021-22
Omonia Nicosia,4,2021-22
Aris Limassol,5,2021-22
Anorthosis,6,2021-22
AEL Limassol,7,2021-22
Pafos FC,8,2021-22
Olympiakos Nicosia,9,2021-22
Doxa Katokopia,10,2021-22
Ethnikos Achnas,11,2021-22
PAEEK,12,2021-22
Omonia Nicosia,1,2020-21
Apollon Limassol,2,2020-21
Pafos FC,3,2020-21
AEL Limassol,4,2020-21
APOEL Nicosia,5,2020-21
Anorthosis,6,2020-21
Ethnikos Achnas,7,2020-21
Doxa Katokopia,8,2020-21
Olympiakos Nicosia,9,2020-21
AEK Larnaca,10,2020-21
Nea Salamis,11,2020-21
Ermis Aradippou,12,2020-21
Enosis Paralimni,13,2020-21
Karmiotissa Pano Polemidion,14,2020-21
Anorthosis,1,2019-20
Omonia Nicosia,2,2019-20
APOEL Nicosia,3,2019-20
Apollon Limassol,4,2019-20
AEK Larnaca,5,2019-20
AEL Limassol,6,2019-20
Pafos FC,7,2019-20
Nea Salamis,8,2019-20
Olympiakos Nicosia,9,2019-20
Enosis Paralimni,10,2019-20
Ethnikos Achnas,11,2019-20
Doxa Katokopia,12,2019-20
APOEL Nicosia,1,2018-19
AEK Larnaca,2,2018-19
Apollon Limassol,3,2018-19
AEL Limassol,4,2018-19
Anorthosis,5,2018-19
Nea Salamis,6,2018-19
Pafos FC,7,2018-19
Omonia Nicosia,8,2018-19
Doxa Katokopia,9,2018-19
Enosis Paralimni,10,2018-19
Alki Oroklinis,11,2018-19
Ermis Aradippou,12,2018-19
APOEL Nicosia,1,2017-18
Apollon Limassol,2,2017-18
Anorthosis,3,2017-18
AEK Larnaca,4,2017-18
AEL Limassol,5,2017-18
Nea Salamis,6,2017-18
Omonia Nicosia,7,2017-18
Doxa Katokopia,8,2017-18
Ermis Aradippou,9,2017-18
Pafos FC,10,2017-18
Alki Oroklinis,11,2017-18
Olympiakos Nicosia,12,2017-18
Aris Limassol,13,2017-18
Ethnikos Achnas,14,2017-18
APOEL Nicosia,1,2016-17
AEK Larnaca,2,2016-17
Apollon Limassol,3,2016-17
AEL Limassol,4,2016-17
Omonia Nicosia,5,2016-17
Ermis Aradippou,6,2016-17
Anorthosis,7,2016-17
Nea Salamis,8,2016-17
Ethnikos Achnas,9,2016-17
Aris Limassol,10,2016-17
Doxa Katokopia,11,2016-17
Karmiotissa Pano Polemidion,12,2016-17
