team,pos,season
Montevideo Wanderers,1,2023-23
Boston River,2,2023-23
Peñarol,3,2023-23
Cerro Largo,4,2023-23
Danubio,5,2023-23
Club Atletico Torque,6,2023-23
Liverpool,7,2023-23
Plaza Colonia,8,2023-23
Fénix,9,2023-23
Club Deportivo Maldonado,10,2023-23
Defensor Sporting,11,2023-23
Rentistas,12,2023-23
Nacional,13,2023-23
River Plate,14,2023-23
La Luz FC,15,2023-23
Racing Club,16,2023-23
C.A. Cerro,17,2023-23
Nacional,1,2022-22
River Plate,2,2022-22
Club Deportivo Maldonado,3,2022-22
Liverpool,4,2022-22
Danubio,5,2022-22
Defensor Sporting,6,2022-22
Peñarol,7,2022-22
Boston River,8,2022-22
Cerro Largo,9,2022-22
Fénix,10,2022-22
Montevideo Wanderers,11,2022-22
Albion F.C.,12,2022-22
Plaza Colonia,13,2022-22
Club Atletico Torque,14,2022-22
Rentistas,15,2022-22
Cerrito,16,2022-22
Liverpool,1,2022-22
Club Deportivo Maldonado,2,2022-22
Boston River,3,2022-22
Nacional,4,2022-22
Peñarol,5,2022-22
Danubio,6,2022-22
Fénix,7,2022-22
Montevideo Wanderers,8,2022-22
River Plate,9,2022-22
Defensor Sporting,10,2022-22
Rentistas,11,2022-22
Plaza Colonia,12,2022-22
Club Atletico Torque,13,2022-22
Cerro Largo,14,2022-22
Albion F.C.,15,2022-22
Cerrito,16,2022-22
Peñarol,1,2021-21
Nacional,2,2021-21
Plaza Colonia,3,2021-21
Club Atletico Torque,4,2021-21
Cerro Largo,5,2021-21
Montevideo Wanderers,6,2021-21
Liverpool,7,2021-21
River Plate,8,2021-21
Fénix,9,2021-21
Cerrito,10,2021-21
Boston River,11,2021-21
Club Atletico Progreso,12,2021-21
Club Deportivo Maldonado,13,2021-21
Sud América,14,2021-21
Rentistas,15,2021-21
Villa Espanola,16,2021-21
Nacional,1,2020-20
Peñarol,2,2020-20
Liverpool,3,2020-20
Cerro Largo,4,2020-20
Club Atletico Torque,5,2020-20
Rentistas,6,2020-20
River Plate,7,2020-20
Fénix,8,2020-20
Plaza Colonia,9,2020-20
Defensor Sporting,10,2020-20
Club Deportivo Maldonado,11,2020-20
Club Atletico Progreso,12,2020-20
Danubio,13,2020-20
Montevideo Wanderers,14,2020-20
Boston River,15,2020-20
C.A. Cerro,16,2020-20
Nacional,1,2019-19
Peñarol,2,2019-19
Cerro Largo,3,2019-19
Club Atletico Progreso,4,2019-19
Plaza Colonia,5,2019-19
Montevideo Wanderers,6,2019-19
Liverpool,7,2019-19
Boston River,8,2019-19
Danubio,9,2019-19
Fénix,10,2019-19
Defensor Sporting,11,2019-19
River Plate,12,2019-19
Racing Club,13,2019-19
Rampla Juniors,14,2019-19
C.A. Cerro,15,2019-19
Juventud de Las Piedras,16,2019-19
Peñarol,1,2018-18
Nacional,2,2018-18
Defensor Sporting,3,2018-18
Danubio,4,2018-18
Liverpool,5,2018-18
Club Atletico Progreso,6,2018-18
C.A. Cerro,7,2018-18
Montevideo Wanderers,8,2018-18
Fénix,9,2018-18
River Plate,10,2018-18
Racing Club,11,2018-18
Boston River,12,2018-18
Rampla Juniors,13,2018-18
Atenas,14,2018-18
Club Atletico Torque,15,2018-18
Peñarol,1,2017-17
Defensor Sporting,2,2017-17
Nacional,3,2017-17
Boston River,4,2017-17
C.A. Cerro,5,2017-17
River Plate,6,2017-17
Montevideo Wanderers,7,2017-17
Danubio,8,2017-17
Rampla Juniors,9,2017-17
El Tanque Sisley,10,2017-17
Racing Club,11,2017-17
Fénix,12,2017-17
Liverpool,13,2017-17
Sud América,14,2017-17
Juventud de Las Piedras,15,2017-17
Plaza Colonia,16,2017-17
Nacional,1,2016-16
Montevideo Wanderers,2,2016-16
Danubio,3,2016-16
Defensor Sporting,4,2016-16
Liverpool,5,2016-16
Boston River,6,2016-16
C.A. Cerro,7,2016-16
Racing Club,8,2016-16
Fénix,9,2016-16
River Plate,10,2016-16
Juventud de Las Piedras,11,2016-16
Sud América,12,2016-16
Peñarol,13,2016-16
Rampla Juniors,14,2016-16
Plaza Colonia,15,2016-16
Villa Espanola,16,2016-16
Peñarol,1,2015-15
Nacional,2,2015-15
C.A. Cerro,3,2015-15
Montevideo Wanderers,4,2015-15
River Plate,5,2015-15
Fénix,6,2015-15
Danubio,7,2015-15
Defensor Sporting,8,2015-15
El Tanque Sisley,9,2015-15
Rentistas,10,2015-15
Sud América,11,2015-15
Liverpool,12,2015-15
Plaza Colonia,13,2015-15
Racing Club,14,2015-15
Juventud de Las Piedras,15,2015-15
Villa Teresa,16,2015-15
Nacional,1,2014-14
Racing Club,2,2014-14
Peñarol,3,2014-14
River Plate,4,2014-14
El Tanque Sisley,5,2014-14
Defensor Sporting,6,2014-14
Sud América,7,2014-14
Juventud de Las Piedras,8,2014-14
Danubio,9,2014-14
Rentistas,10,2014-14
Montevideo Wanderers,11,2014-14
Atenas,12,2014-14
Fénix,13,2014-14
Rampla Juniors,14,2014-14
C.A. Cerro,15,2014-14
Tacuarembó,16,2014-14
