team,pos,season
Managua FC,1,2023-23
Diriangén FC,2,2023-23
UNAN Managua,3,2023-23
Real Estelí,4,2023-23
Deportivo Walter Ferretti,5,2023-23
H&H Export Sébaco FC,6,2023-23
Indígenas de Matagalpa,7,2023-23
CD Ocotal,8,2023-23
Juventus Managua,9,2023-23
Art Municipal Jalapa,10,2023-23
Real Estelí,1,2022-22
Diriangén FC,2,2022-22
Deportivo Walter Ferretti,3,2022-22
H&H Export Sébaco FC,4,2022-22
Art Municipal Jalapa,5,2022-22
Managua FC,6,2022-22
Juventus Managua,7,2022-22
UNAN Managua,8,2022-22
CD Ocotal,9,2022-22
Indígenas de Matagalpa,10,2022-22
Diriangén FC,1,2022-22
Real Estelí,2,2022-22
Deportivo Walter Ferretti,3,2022-22
Managua FC,4,2022-22
Art Municipal Jalapa,5,2022-22
Juventus Managua,6,2022-22
H&H Export Sébaco FC,7,2022-22
UNAN Managua,8,2022-22
CD Ocotal,9,2022-22
Real Madriz,10,2022-22
Diriangén FC,1,2021-21
Real Estelí,2,2021-21
Managua FC,3,2021-21
Deportivo Walter Ferretti,4,2021-21
CD Ocotal,5,2021-21
Real Madriz,6,2021-21
Art Municipal Jalapa,7,2021-21
CD Junior Managua,8,2021-21
Juventus Managua,9,2021-21
Chinandega FC,10,2021-21
Real Estelí,1,2020-20
Diriangén FC,2,2020-20
Art Municipal Jalapa,3,2020-20
Deportivo Walter Ferretti,4,2020-20
Managua FC,5,2020-20
Juventus Managua,6,2020-20
Chinandega FC,7,2020-20
CD Ocotal,8,2020-20
Real Madriz,9,2020-20
CD Junior Managua,10,2020-20
Managua FC,1,2020-20
Real Estelí,2,2020-20
Diriangén FC,3,2020-20
Deportivo Walter Ferretti,4,2020-20
Juventus Managua,5,2020-20
Art Municipal Jalapa,6,2020-20
CD Ocotal,7,2020-20
Real Madriz,8,2020-20
Deportivo Las Sabanas,9,2020-20
Chinandega FC,10,2020-20
