team,pos,season
Esperance de Tunis,1,2022-23
Etoile du Sahel,2,2022-23
Olympique Béja,3,2022-23
US Monastir,4,2022-23
Ben Guerdane,5,2022-23
Club Africain,6,2022-23
Etoile Metlaoui,7,2022-23
US Tataouine,8,2022-23
AS Slimane,9,2022-23
Hamam Sousse,10,2022-23
CS Sfaxien,11,2022-23
CA Bizertin,12,2022-23
Stade Tunisien,13,2022-23
EO Sidi Bouzid,14,2022-23
Sportif de Chebba,15,2022-23
AS Rejiche,16,2022-23
Esperance de Tunis,1,2021-22
US Monastir,2,2021-22
Club Africain,3,2021-22
Etoile du Sahel,4,2021-22
CS Sfaxien,5,2021-22
Hamam Sousse,6,2021-22
Etoile Metlaoui,7,2021-22
Olympique Béja,8,2021-22
US Tataouine,9,2021-22
CA Bizertin,10,2021-22
Ben Guerdane,11,2021-22
Zarzis,12,2021-22
AS Slimane,13,2021-22
AS Rejiche,14,2021-22
CS Hammam-Lif,15,2021-22
Sportif de Chebba,16,2021-22
Esperance de Tunis,1,2020-21
Etoile du Sahel,2,2020-21
Ben Guerdane,3,2020-21
CS Sfaxien,4,2020-21
AS Slimane,5,2020-21
AS Rejiche,6,2020-21
Club Africain,7,2020-21
US Tataouine,8,2020-21
Etoile Metlaoui,9,2020-21
US Monastir,10,2020-21
Olympique Béja,11,2020-21
CA Bizertin,12,2020-21
Stade Tunisien,13,2020-21
Esperance de Tunis,1,2019-20
CS Sfaxien,2,2019-20
US Monastir,3,2019-20
Club Africain,4,2019-20
Etoile du Sahel,5,2019-20
Stade Tunisien,6,2019-20
Ben Guerdane,7,2019-20
Sportif de Chebba,8,2019-20
US Tataouine,9,2019-20
AS Slimane,10,2019-20
CA Bizertin,11,2019-20
Etoile Metlaoui,12,2019-20
JS Kairouanaise,13,2019-20
CS Hammam-Lif,14,2019-20
Esperance de Tunis,1,2018-19
Etoile du Sahel,2,2018-19
CS Sfaxien,3,2018-19
CA Bizertin,4,2018-19
Ben Guerdane,5,2018-19
Club Africain,6,2018-19
US Monastir,7,2018-19
US Tataouine,8,2018-19
Stade Gabésien,9,2018-19
Etoile Metlaoui,10,2018-19
Stade Tunisien,11,2018-19
JS Kairouanaise,12,2018-19
CS Hammam-Lif,13,2018-19
Gabès,14,2018-19
Esperance de Tunis,1,2017-18
Etoile du Sahel,2,2017-18
Club Africain,3,2017-18
CS Sfaxien,4,2017-18
CA Bizertin,5,2017-18
US Monastir,6,2017-18
Etoile Metlaoui,7,2017-18
JS Kairouanaise,8,2017-18
Stade Tunisien,9,2017-18
Gabès,10,2017-18
Zarzis,11,2017-18
Stade Gabésien,12,2017-18
Ben Guerdane,13,2017-18
Club Olympique de Médenine,14,2017-18
Esperance de Tunis,1,2016-17
Etoile du Sahel,2,2016-17
Club Africain,3,2016-17
CS Sfaxien,4,2016-17
Stade Gabésien,5,2016-17
Gabès,6,2016-17
CA Bizertin,7,2016-17
Zarzis,8,2016-17
Etoile Metlaoui,9,2016-17
JS Kairouanaise,10,2016-17
Avenir de La Marsa,11,2016-17
CS Hammam-Lif,12,2016-17
Ben Guerdane,13,2016-17
US Tataouine,14,2016-17
EO Sidi Bouzid,15,2016-17
Olympique Béja,16,2016-17
Etoile du Sahel,1,2015-16
CS Sfaxien,2,2015-16
Esperance de Tunis,3,2015-16
Etoile Metlaoui,4,2015-16
Club Africain,5,2015-16
CA Bizertin,6,2015-16
EO Sidi Bouzid,7,2015-16
CS Hammam-Lif,8,2015-16
JS Kairouanaise,9,2015-16
Zarzis,10,2015-16
Stade Gabésien,11,2015-16
Ben Guerdane,12,2015-16
Avenir de La Marsa,13,2015-16
EGS Gafsa,14,2015-16
AS Kasserine,15,2015-16
Stade Tunisien,16,2015-16
Gabès,1,2014-15
EGS Gafsa,2,2014-15
Stade Gabésien,3,2014-15
Etoile Metlaoui,4,2014-15
Esperance de Tunis,5,2014-15
US Monastir,6,2014-15
Etoile du Sahel,7,2014-15
CS Sfaxien,8,2014-15
CA Bizertin,9,2014-15
Sportive de Djerba,10,2014-15
Avenir de La Marsa,11,2014-15
CS Hammam-Lif,12,2014-15
Club Africain,13,2014-15
Zarzis,14,2014-15
Stade Tunisien,15,2014-15
JS Kairouanaise,16,2014-15
Esperance de Tunis,1,2013-14
Etoile du Sahel,2,2013-14
CS Sfaxien,3,2013-14
Club Africain,4,2013-14
CA Bizertin,5,2013-14
Stade Gabésien,6,2013-14
Avenir de La Marsa,7,2013-14
JS Kairouanaise,8,2013-14
Etoile Metlaoui,9,2013-14
US Monastir,10,2013-14
EGS Gafsa,11,2013-14
Stade Tunisien,12,2013-14
LPTA Tozeur,13,2013-14
Olympique Béja,14,2013-14
Grombalia Sports,15,2013-14
AS Kasserine,16,2013-14
CS Sfaxien,1,2012-13
Esperance de Tunis,2,2012-13
Etoile du Sahel,3,2012-13
Club Africain,4,2012-13
CA Bizertin,5,2012-13
US Monastir,6,2012-13
Stade Tunisien,7,2012-13
Avenir de La Marsa,8,2012-13
CS Hammam-Lif,9,2012-13
EGS Gafsa,10,2012-13
Olympique Béja,11,2012-13
Stade Gabésien,12,2012-13
JS Kairouanaise,13,2012-13
Zarzis,14,2012-13
Hamam Sousse,15,2012-13
Olympique du Kef,16,2012-13
Esperance de Tunis,1,2011-12
CA Bizertin,2,2011-12
CS Sfaxien,3,2011-12
Avenir de La Marsa,4,2011-12
Etoile du Sahel,5,2011-12
Club Africain,6,2011-12
Hamam Sousse,7,2011-12
US Monastir,8,2011-12
Olympique Béja,9,2011-12
JS Kairouanaise,10,2011-12
EGS Gafsa,11,2011-12
CS Hammam-Lif,12,2011-12
Stade Tunisien,13,2011-12
Zarzis,14,2011-12
Béni-Khalled,15,2011-12
Gabès,16,2011-12
Esperance de Tunis,1,2010-11
Etoile du Sahel,2,2010-11
CS Sfaxien,3,2010-11
Club Africain,4,2010-11
CA Bizertin,5,2010-11
CS Hammam-Lif,6,2010-11
EGS Gafsa,7,2010-11
JS Kairouanaise,8,2010-11
Stade Tunisien,9,2010-11
Avenir de La Marsa,10,2010-11
Zarzis,11,2010-11
Olympique Béja,12,2010-11
Gabès,13,2010-11
Hamam Sousse,14,2010-11
Esperance de Tunis,1,2009-10
Club Africain,2,2009-10
Etoile du Sahel,3,2009-10
CA Bizertin,4,2009-10
Stade Tunisien,5,2009-10
CS Sfaxien,6,2009-10
Olympique Béja,7,2009-10
JS Kairouanaise,8,2009-10
CS Hammam-Lif,9,2009-10
Zarzis,10,2009-10
EGS Gafsa,11,2009-10
Hamam Sousse,12,2009-10
AS Kasserine,13,2009-10
US Monastir,14,2009-10
