team,pos,season
Eding Sport FC,1,2022-22
Bamboutos,2,2022-22
Canon Sportif,3,2022-22
Colombe du Dja et Lobo,4,2022-22
Astres FC de Douala,5,2022-22
Fovu de Baham,6,2022-22
UMS de Loum,7,2022-22
Apejes de Mfou,8,2022-22
Fauve Azur Elite FC,9,2022-22
Stade Renard de Melong,10,2022-22
Pwd Bamenda,11,2022-22
Feutcheu FC,12,2022-22
AS Fortuna,13,2022-22
Avion Fc Du Nkam,14,2022-22
Yafoot FC Yaounde 2,15,2022-22
Renaissance de Ngoumou,16,2022-22
OFTA FC,17,2022-22
New Star de Douala,18,2022-22
Panthère,19,2022-22
RC Bafoussam,20,2022-22
AS Fortuna,1,2020-21
Fovu de Baham,2,2020-21
Stade Renard de Melong,3,2020-21
Bamboutos,4,2020-21
Pwd Bamenda,5,2020-21
Coton Sport,6,2020-21
Apejes de Mfou,7,2020-21
Canon Sportif,8,2020-21
UMS de Loum,9,2020-21
Young Sport Academy Bamenda,10,2020-21
Feutcheu FC,11,2020-21
Colombe du Dja et Lobo,12,2020-21
Avion Fc Du Nkam,13,2020-21
Eding Sport FC,14,2020-21
Tonnerre Kalara Club,15,2020-21
Astres FC de Douala,16,2020-21
Panthère,17,2020-21
Union Douala,18,2020-21
Dragon de Yaoundé,19,2020-21
New Star de Douala,20,2020-21
Yafoot FC Yaounde 2,21,2020-21
