team,pos,season
CSD Comunicaciones,1,2023-23
Xelajú,2,2023-23
Guastatoya,3,2023-23
Xinabajul,4,2023-23
Antigua Guatemala,5,2023-23
Deportivo Malacateco,6,2023-23
CSD Municipal,7,2023-23
Deportivo Mixco,8,2023-23
Iztapa,9,2023-23
Santa Lucia Cotzumalguapa,10,2023-23
Coban Imperial,11,2023-23
Deportivo Achuapa,12,2023-23
Antigua Guatemala,1,2022-22
Coban Imperial,2,2022-22
CSD Comunicaciones,3,2022-22
Deportivo Malacateco,4,2022-22
CSD Municipal,5,2022-22
Guastatoya,6,2022-22
Xelajú,7,2022-22
Deportivo Achuapa,8,2022-22
Iztapa,9,2022-22
Xinabajul,10,2022-22
Deportivo Mixco,11,2022-22
Santa Lucia Cotzumalguapa,12,2022-22
Sacachispas Chiquimula,13,2022-22
Deportivo Sanarate,14,2022-22
CSD Comunicaciones,1,2022-22
CSD Municipal,2,2022-22
Guastatoya,3,2022-22
Deportivo Malacateco,4,2022-22
Antigua Guatemala,5,2022-22
Coban Imperial,6,2022-22
Deportivo Achuapa,7,2022-22
Santa Lucia Cotzumalguapa,8,2022-22
Iztapa,9,2022-22
Xelajú,10,2022-22
Sololá FC,11,2022-22
CSyD Nueva Concepción,12,2022-22
Antigua Guatemala,1,2021-21
CSD Comunicaciones,2,2021-21
CSD Municipal,3,2021-21
Deportivo Malacateco,4,2021-21
Santa Lucia Cotzumalguapa,5,2021-21
Xelajú,6,2021-21
Iztapa,7,2021-21
Sololá FC,8,2021-21
Guastatoya,9,2021-21
Coban Imperial,10,2021-21
Deportivo Achuapa,11,2021-21
CSyD Nueva Concepción,12,2021-21
CSD Comunicaciones,1,2021-21
Guastatoya,2,2021-21
CSD Municipal,3,2021-21
Santa Lucia Cotzumalguapa,4,2021-21
Coban Imperial,5,2021-21
Iztapa,6,2021-21
Deportivo Sanarate,7,2021-21
Sacachispas Chiquimula,8,2021-21
Xelajú,9,2021-21
Deportivo Malacateco,10,2021-21
Deportivo Achuapa,11,2021-21
Antigua Guatemala,12,2021-21
CSD Municipal,1,2020-20
CSD Comunicaciones,2,2020-20
Coban Imperial,3,2020-20
Deportivo Malacateco,4,2020-20
Xelajú,5,2020-20
Guastatoya,6,2020-20
Antigua Guatemala,7,2020-20
Iztapa,8,2020-20
Deportivo Achuapa,9,2020-20
Santa Lucia Cotzumalguapa,10,2020-20
Deportivo Sanarate,11,2020-20
Sacachispas Chiquimula,12,2020-20
CSD Comunicaciones,1,2020-20
CSD Municipal,2,2020-20
Guastatoya,3,2020-20
Iztapa,4,2020-20
Antigua Guatemala,5,2020-20
Deportivo Sanarate,6,2020-20
Siquinalá FC,7,2020-20
Santa Lucia Cotzumalguapa,8,2020-20
Xelajú,9,2020-20
Deportivo Malacateco,10,2020-20
Deportivo Mixco,11,2020-20
Coban Imperial,12,2020-20
Antigua Guatemala,1,2019-19
Coban Imperial,2,2019-19
CSD Comunicaciones,3,2019-19
CSD Municipal,4,2019-19
Deportivo Malacateco,5,2019-19
Guastatoya,6,2019-19
Deportivo Chiantla,7,2019-19
Xelajú,8,2019-19
Deportivo Sanarate,9,2019-19
Iztapa,10,2019-19
Siquinalá FC,11,2019-19
CD Petapa,12,2019-19
Antigua Guatemala,1,2019-19
Coban Imperial,2,2019-19
CSD Comunicaciones,3,2019-19
CSD Municipal,4,2019-19
Deportivo Malacateco,5,2019-19
Guastatoya,6,2019-19
Deportivo Chiantla,7,2019-19
Xelajú,8,2019-19
Deportivo Sanarate,9,2019-19
Iztapa,10,2019-19
Siquinalá FC,11,2019-19
CD Petapa,12,2019-19
Guastatoya,1,2018-18
Xelajú,2,2018-18
Coban Imperial,3,2018-18
Deportivo Malacateco,4,2018-18
CSD Comunicaciones,5,2018-18
Antigua Guatemala,6,2018-18
Siquinalá FC,7,2018-18
Iztapa,8,2018-18
CSD Municipal,9,2018-18
Deportivo Sanarate,10,2018-18
CD Petapa,11,2018-18
Deportivo Chiantla,12,2018-18
Deportivo Sanarate,1,2018-18
Coban Imperial,2,2018-18
Guastatoya,3,2018-18
Antigua Guatemala,4,2018-18
Xelajú,5,2018-18
Siquinalá FC,6,2018-18
CSD Comunicaciones,7,2018-18
CD Petapa,8,2018-18
CSD Municipal,9,2018-18
Suchitepéquez,10,2018-18
Deportivo Malacateco,11,2018-18
Deportivo Marquense,12,2018-18
Antigua Guatemala,1,2017-17
CD Petapa,2,2017-17
CSD Municipal,3,2017-17
Xelajú,4,2017-17
Coban Imperial,5,2017-17
Guastatoya,6,2017-17
CSD Comunicaciones,7,2017-17
Deportivo Malacateco,8,2017-17
Deportivo Sanarate,9,2017-17
Suchitepéquez,10,2017-17
Siquinalá FC,11,2017-17
Deportivo Marquense,12,2017-17
CSD Municipal,1,2017-17
CD Petapa,2,2017-17
Guastatoya,3,2017-17
CSD Comunicaciones,4,2017-17
Suchitepéquez,5,2017-17
Xelajú,6,2017-17
Coban Imperial,7,2017-17
Deportivo Marquense,8,2017-17
Deportivo Malacateco,9,2017-17
Mictlán,10,2017-17
Antigua Guatemala,11,2017-17
CSyD Carchá,12,2017-17
CSD Municipal,1,2016-16
CSD Comunicaciones,2,2016-16
Antigua Guatemala,3,2016-16
Deportivo Malacateco,4,2016-16
Guastatoya,5,2016-16
Coban Imperial,6,2016-16
Xelajú,7,2016-16
Deportivo Marquense,8,2016-16
Suchitepéquez,9,2016-16
CD Petapa,10,2016-16
Mictlán,11,2016-16
CSyD Carchá,12,2016-16
Suchitepéquez,1,2016-16
CSD Municipal,2,2016-16
CSD Comunicaciones,3,2016-16
Deportivo Malacateco,4,2016-16
Antigua Guatemala,5,2016-16
Deportivo Marquense,6,2016-16
Guastatoya,7,2016-16
Mictlán,8,2016-16
Universidad de San Carlos,9,2016-16
Xelajú,10,2016-16
CD Petapa,11,2016-16
Coban Imperial,12,2016-16
Xelajú,1,2015-15
Antigua Guatemala,2,2015-15
CSD Comunicaciones,3,2015-15
Guastatoya,4,2015-15
Suchitepéquez,5,2015-15
CSD Municipal,6,2015-15
CD Petapa,7,2015-15
Deportivo Marquense,8,2015-15
Coban Imperial,9,2015-15
Mictlán,10,2015-15
Universidad de San Carlos,11,2015-15
Deportivo Malacateco,12,2015-15
CSD Comunicaciones,1,2015-15
Deportivo Marquense,2,2015-15
Halcones FC,3,2015-15
Universidad de San Carlos,4,2015-15
Xelajú,5,2015-15
Suchitepéquez,6,2015-15
Deportivo Malacateco,7,2015-15
CD Petapa,8,2015-15
Guastatoya,9,2015-15
CSD Municipal,10,2015-15
Antigua Guatemala,11,2015-15
Coatepeque,12,2015-15
CSD Comunicaciones,1,2014-14
Deportivo Marquense,2,2014-14
CSD Municipal,3,2014-14
Suchitepéquez,4,2014-14
CD Petapa,5,2014-14
Antigua Guatemala,6,2014-14
Xelajú,7,2014-14
Universidad de San Carlos,8,2014-14
Deportivo Malacateco,9,2014-14
Guastatoya,10,2014-14
Halcones FC,11,2014-14
Coatepeque,12,2014-14
Deportivo Heredia,1,2014-14
Suchitepéquez,2,2014-14
Xelajú,3,2014-14
CSD Comunicaciones,4,2014-14
Coatepeque,5,2014-14
Universidad de San Carlos,6,2014-14
CSD Municipal,7,2014-14
Halcones FC,8,2014-14
Mictlán,9,2014-14
Deportivo Marquense,10,2014-14
Deportivo Malacateco,11,2014-14
Iztapa,12,2014-14
CSD Comunicaciones,1,2013-13
CSD Municipal,2,2013-13
Deportivo Heredia,3,2013-13
Universidad de San Carlos,4,2013-13
Deportivo Marquense,5,2013-13
Halcones FC,6,2013-13
Deportivo Malacateco,7,2013-13
Suchitepéquez,8,2013-13
Xelajú,9,2013-13
Mictlán,10,2013-13
Coatepeque,11,2013-13
Iztapa,12,2013-13
CSD Comunicaciones,1,2013-13
Deportivo Heredia,2,2013-13
Halcones FC,3,2013-13
Deportivo Malacateco,4,2013-13
Deportivo Marquense,5,2013-13
Suchitepéquez,6,2013-13
Universidad de San Carlos,7,2013-13
Xelajú,8,2013-13
Mictlán,9,2013-13
CD Petapa,10,2013-13
CSD Municipal,11,2013-13
Juventud Escuintleca,12,2013-13
CSD Comunicaciones,1,2012-12
CSD Municipal,2,2012-12
Halcones FC,3,2012-12
Xelajú,4,2012-12
Deportivo Heredia,5,2012-12
Deportivo Malacateco,6,2012-12
Suchitepéquez,7,2012-12
Deportivo Marquense,8,2012-12
Mictlán,9,2012-12
Universidad de San Carlos,10,2012-12
CD Petapa,11,2012-12
Juventud Escuintleca,12,2012-12
CSD Comunicaciones,1,2012-12
Deportivo Marquense,2,2012-12
Xelajú,3,2012-12
CSD Municipal,4,2012-12
Suchitepéquez,5,2012-12
Deportivo Heredia,6,2012-12
CD Petapa,7,2012-12
Mictlán,8,2012-12
Deportivo Malacateco,9,2012-12
Halcones FC,10,2012-12
Zacapa,11,2012-12
Juventud Retalteca,12,2012-12
Suchitepéquez,1,2011-11
Xelajú,2,2011-11
Deportivo Marquense,3,2011-11
CSD Comunicaciones,4,2011-11
Deportivo Heredia,5,2011-11
CSD Municipal,6,2011-11
Halcones FC,7,2011-11
Deportivo Malacateco,8,2011-11
Zacapa,9,2011-11
Juventud Retalteca,10,2011-11
Mictlán,11,2011-11
CD Petapa,12,2011-11
CSD Municipal,1,2011-11
Deportivo Heredia,2,2011-11
CSD Comunicaciones,3,2011-11
Mictlán,4,2011-11
Deportivo Malacateco,5,2011-11
Halcones FC,6,2011-11
Juventud Retalteca,7,2011-11
Xelajú,8,2011-11
Deportivo Marquense,9,2011-11
Universidad de San Carlos,10,2011-11
Suchitepéquez,11,2011-11
Xinabajul,12,2011-11
CSD Municipal,1,2010-10
Deportivo Marquense,2,2010-10
Deportivo Heredia,3,2010-10
CSD Comunicaciones,4,2010-10
Mictlán,5,2010-10
Suchitepéquez,6,2010-10
Juventud Retalteca,7,2010-10
Xelajú,8,2010-10
Xinabajul,9,2010-10
Universidad de San Carlos,10,2010-10
Deportivo Malacateco,11,2010-10
Halcones FC,12,2010-10
CSD Comunicaciones,1,2010-10
Xelajú,2,2010-10
Suchitepéquez,3,2010-10
CSD Municipal,4,2010-10
Universidad de San Carlos,5,2010-10
Halcones FC,6,2010-10
Juventud Retalteca,7,2010-10
Deportivo Marquense,8,2010-10
Jalapa,9,2010-10
Deportivo Heredia,10,2010-10
Xinabajul,11,2010-10
Zacapa,12,2010-10
Xelajú,1,2009-09
CSD Municipal,2,2009-09
Deportivo Marquense,3,2009-09
Deportivo Heredia,4,2009-09
Juventud Retalteca,5,2009-09
CSD Comunicaciones,6,2009-09
Suchitepéquez,7,2009-09
Xinabajul,8,2009-09
Jalapa,9,2009-09
Zacapa,10,2009-09
Universidad de San Carlos,11,2009-09
Halcones FC,12,2009-09
