team,pos,season
FAR Rabat,1,2022-23
Wydad Casablanca,2,2022-23
FUS Rabat,3,2022-23
RCA Raja Casablanca Athletic,4,2022-23
Olympic Club de Safi,5,2022-23
RSB Berkane,6,2022-23
Union de Touarga,7,2022-23
Jeunesse Sportive Soualem,8,2022-23
Maghreb Fès,9,2022-23
Difaâ El Jadida,10,2022-23
SC Chabab Mohammédia,11,2022-23
Moghreb Tétouan,12,2022-23
Hassania Agadir,13,2022-23
MCO Oujda,14,2022-23
OCK Khouribga,15,2022-23
Ittihad Tanger,16,2022-23
Wydad Casablanca,1,2021-22
RCA Raja Casablanca Athletic,2,2021-22
FAR Rabat,3,2021-22
Maghreb Fès,4,2021-22
FUS Rabat,5,2021-22
RSB Berkane,6,2021-22
Olympic Club de Safi,7,2021-22
OCK Khouribga,8,2021-22
Difaâ El Jadida,9,2021-22
Hassania Agadir,10,2021-22
Ittihad Tanger,11,2021-22
MCO Oujda,12,2021-22
Rapide Club Oued Zem,13,2021-22
Youssoufia Berrechid,14,2021-22
SC Chabab Mohammédia,15,2021-22
Jeunesse Sportive Soualem,16,2021-22
Wydad Casablanca,1,2020-21
RCA Raja Casablanca Athletic,2,2020-21
FAR Rabat,3,2020-21
RSB Berkane,4,2020-21
MCO Oujda,5,2020-21
Hassania Agadir,6,2020-21
Maghreb Fès,7,2020-21
Ittihad Tanger,8,2020-21
SC Chabab Mohammédia,9,2020-21
FUS Rabat,10,2020-21
Difaâ El Jadida,11,2020-21
Olympic Club de Safi,12,2020-21
Rapide Club Oued Zem,13,2020-21
Youssoufia Berrechid,14,2020-21
Moghreb Tétouan,15,2020-21
Renaissance Club Zemamra,16,2020-21
RCA Raja Casablanca Athletic,1,2019-20
Wydad Casablanca,2,2019-20
RSB Berkane,3,2019-20
FUS Rabat,4,2019-20
MCO Oujda,5,2019-20
FAR Rabat,6,2019-20
Moghreb Tétouan,7,2019-20
Rapide Club Oued Zem,8,2019-20
Youssoufia Berrechid,9,2019-20
Difaâ El Jadida,10,2019-20
Renaissance Club Zemamra,11,2019-20
Hassania Agadir,12,2019-20
Ittihad Tanger,13,2019-20
OCK Khouribga,14,2019-20
Olympic Club de Safi,15,2019-20
