team,pos,season
Union Deportivo Universitario,1,2023-23
Sporting San Miguelito,2,2023-23
Herrera FC,3,2023-23
Independiente de La Chorrera,4,2023-23
CD Plaza Amador,5,2023-23
Tauro FC,6,2023-23
San Francisco FC,7,2023-23
Árabe Unido,8,2023-23
Alianza,9,2023-23
UMECIT FC,10,2023-23
Atlético Chiriquí,11,2023-23
Deportivo del Este,12,2023-23
Independiente de La Chorrera,1,2022-22
Union Deportivo Universitario,2,2022-22
Árabe Unido,3,2022-22
Sporting San Miguelito,4,2022-22
Alianza,5,2022-22
Tauro FC,6,2022-22
Deportivo del Este,7,2022-22
CD Plaza Amador,8,2022-22
San Francisco FC,9,2022-22
Veraguas FC,10,2022-22
Herrera FC,11,2022-22
Atlético Chiriquí,12,2022-22
Sporting San Miguelito,1,2022-22
Alianza,2,2022-22
Atlético Chiriquí,3,2022-22
Tauro FC,4,2022-22
CD Plaza Amador,5,2022-22
Independiente de La Chorrera,6,2022-22
Herrera FC,7,2022-22
San Francisco FC,8,2022-22
Deportivo del Este,9,2022-22
Veraguas FC,10,2022-22
Árabe Unido,11,2022-22
Union Deportivo Universitario,12,2022-22
Tauro FC,1,2021-21
CD Plaza Amador,2,2021-21
Alianza,3,2021-21
Herrera FC,4,2021-21
Independiente de La Chorrera,5,2021-21
Deportivo del Este,6,2021-21
Árabe Unido,7,2021-21
Veraguas FC,8,2021-21
Union Deportivo Universitario,9,2021-21
Atlético Chiriquí,10,2021-21
Sporting San Miguelito,11,2021-21
San Francisco FC,12,2021-21
Union Deportivo Universitario,1,2021-21
Independiente de La Chorrera,2,2021-21
Veraguas FC,3,2021-21
CD Plaza Amador,4,2021-21
Herrera FC,5,2021-21
Deportivo del Este,6,2021-21
Sporting San Miguelito,7,2021-21
Tauro FC,8,2021-21
Atlético Chiriquí,9,2021-21
Árabe Unido,10,2021-21
Alianza,11,2021-21
San Francisco FC,12,2021-21
Independiente de La Chorrera,1,2020-20
San Francisco FC,2,2020-20
Tauro FC,3,2020-20
Deportivo del Este,4,2020-20
Alianza,5,2020-20
CD Plaza Amador,6,2020-20
Árabe Unido,7,2020-20
Sporting San Miguelito,8,2020-20
Atlético Chiriquí,9,2020-20
Union Deportivo Universitario,10,2020-20
Union Deportivo Universitario,1,2020-20
Tauro FC,2,2020-20
Árabe Unido,3,2020-20
San Francisco FC,4,2020-20
Sporting San Miguelito,5,2020-20
Alianza,6,2020-20
Independiente de La Chorrera,7,2020-20
CD Plaza Amador,8,2020-20
Deportivo del Este,9,2020-20
Atlético Chiriquí,10,2020-20
San Francisco FC,1,2019-19
Independiente de La Chorrera,2,2019-19
CD Plaza Amador,3,2019-19
Union Deportivo Universitario,4,2019-19
Tauro FC,5,2019-19
Deportivo del Este,6,2019-19
Alianza,7,2019-19
Árabe Unido,8,2019-19
Santa Gema FC,9,2019-19
Sporting San Miguelito,10,2019-19
Deportivo del Este,1,2018-18
Árabe Unido,2,2018-18
Tauro FC,3,2018-18
CD Plaza Amador,4,2018-18
San Francisco FC,5,2018-18
Alianza,6,2018-18
Santa Gema FC,7,2018-18
Union Deportivo Universitario,8,2018-18
Independiente de La Chorrera,9,2018-18
Sporting San Miguelito,10,2018-18
Tauro FC,1,2017-17
CD Plaza Amador,2,2017-17
Árabe Unido,3,2017-17
Chorrillo,4,2017-17
Atlético Veragüense,5,2017-17
Independiente de La Chorrera,6,2017-17
San Francisco FC,7,2017-17
Sporting San Miguelito,8,2017-17
Santa Gema FC,9,2017-17
Alianza,10,2017-17
CD Plaza Amador,1,2017-17
Atlético Veragüense,2,2017-17
Tauro FC,3,2017-17
Árabe Unido,4,2017-17
San Francisco FC,5,2017-17
Chorrillo,6,2017-17
Alianza,7,2017-17
Sporting San Miguelito,8,2017-17
Santa Gema FC,9,2017-17
SD Atletico Nacional,10,2017-17
Tauro FC,1,2016-16
Chorrillo,2,2016-16
CD Plaza Amador,3,2016-16
Árabe Unido,4,2016-16
San Francisco FC,5,2016-16
Santa Gema FC,6,2016-16
Alianza,7,2016-16
Sporting San Miguelito,8,2016-16
SD Atletico Nacional,9,2016-16
