team,pos,season
Valmiera FK,1,2022-22
Riga FC,2,2022-22
Rigas Futbola skola,3,2022-22
FK Liepājas Metalurgs,4,2022-22
FK Auda,5,2022-22
FK Tukums 2000,6,2022-22
BFC Daugavpils,7,2022-22
FK Spartaks,8,2022-22
SK Super Nova,9,2022-22
FK Metta,10,2022-22
Rigas Futbola skola,1,2021-21
Valmiera FK,2,2021-21
FK Liepājas Metalurgs,3,2021-21
Riga FC,4,2021-21
FK Spartaks,5,2021-21
BFC Daugavpils,6,2021-21
FK Metta,7,2021-21
Ventspils,8,2021-21
Noah Jūrmala,9,2021-21
Rigas Futbola skola,1,2020-20
Riga FC,2,2020-20
FK Liepājas Metalurgs,3,2020-20
Valmiera FK,4,2020-20
Ventspils,5,2020-20
FK Spartaks,6,2020-20
FK Jelgava,7,2020-20
BFC Daugavpils,8,2020-20
FK Metta,9,2020-20
FK Tukums 2000,10,2020-20
Riga FC,1,2019-19
Rigas Futbola skola,2,2019-19
Ventspils,3,2019-19
Valmiera FK,4,2019-19
FK Spartaks,5,2019-19
FK Liepājas Metalurgs,6,2019-19
FK Jelgava,7,2019-19
BFC Daugavpils,8,2019-19
FK Metta,9,2019-19
Riga FC,1,2018-18
Ventspils,2,2018-18
Rigas Futbola skola,3,2018-18
FK Liepājas Metalurgs,4,2018-18
FK Spartaks,5,2018-18
FK Jelgava,6,2018-18
FK Metta,7,2018-18
Valmiera FK,8,2018-18
FK Spartaks,1,2017-17
FK Liepājas Metalurgs,2,2017-17
Ventspils,3,2017-17
Riga FC,4,2017-17
Rigas Futbola skola,5,2017-17
FK Jelgava,6,2017-17
FK Metta,7,2017-17
SK Babīte,8,2017-17
FK Spartaks,1,2016-16
Ventspils,2,2016-16
FK Jelgava,3,2016-16
FK Liepājas Metalurgs,4,2016-16
Riga FC,5,2016-16
Rigas Futbola skola,6,2016-16
FK Metta,7,2016-16
BFC Daugavpils,8,2016-16
FK Liepājas Metalurgs,1,2015-15
FC Skonto Riga,2,2015-15
Ventspils,3,2015-15
FK Jelgava,4,2015-15
FK Spartaks,5,2015-15
BFC Daugavpils,6,2015-15
FK Metta,7,2015-15
FB Gulbene,8,2015-15
Ventspils,1,2014-14
FK Jelgava,2,2014-14
FK Liepājas Metalurgs,3,2014-14
FK Spartaks,4,2014-14
Rigas Futbola skola,5,2014-14
BFC Daugavpils,6,2014-14
FK Metta,7,2014-14
FC Jurmala,8,2014-14
Ventspils,1,2013-13
FC Skonto Riga,2,2013-13
FC Daugava,3,2013-13
Rigas Futbola skola,4,2013-13
FK Liepājas Metalurgs,5,2013-13
FC Jurmala,6,2013-13
FK Spartaks,7,2013-13
FK Jelgava,8,2013-13
FK Metta,9,2013-13
Ilukstes NSS,10,2013-13
