team,pos,season
Libertad,1,2023-23
General Caballero JLM,2,2023-23
Cerro Porteño,3,2023-23
Nacional Asunción,4,2023-23
Olimpia,5,2023-23
Sportivo Trinidense,6,2023-23
Guaireña FC,7,2023-23
Sportivo Ameliano,8,2023-23
Guaraní,9,2023-23
Sportivo Luqueño,10,2023-23
Tacuary,11,2023-23
Resistencia Sport Club,12,2023-23
Olimpia,1,2022-22
Cerro Porteño,2,2022-22
Nacional Asunción,3,2022-22
Libertad,4,2022-22
Tacuary,5,2022-22
General Caballero JLM,6,2022-22
Sportivo Ameliano,7,2022-22
Guaireña FC,8,2022-22
Guaraní,9,2022-22
Sol de América,10,2022-22
Resistencia Sport Club,11,2022-22
12 de Octubre de Itaugua,12,2022-22
Libertad,1,2022-22
Cerro Porteño,2,2022-22
Olimpia,3,2022-22
Guaraní,4,2022-22
Resistencia Sport Club,5,2022-22
Nacional Asunción,6,2022-22
Sol de América,7,2022-22
Guaireña FC,8,2022-22
General Caballero JLM,9,2022-22
Tacuary,10,2022-22
Sportivo Ameliano,11,2022-22
12 de Octubre de Itaugua,12,2022-22
Cerro Porteño,1,2021-21
Guaraní,2,2021-21
Sol de América,3,2021-21
Libertad,4,2021-21
12 de Octubre de Itaugua,5,2021-21
Sportivo Luqueño,6,2021-21
Nacional Asunción,7,2021-21
Olimpia,8,2021-21
Guaireña FC,9,2021-21
Club River Plate,10,2021-21
Libertad,1,2021-21
Olimpia,2,2021-21
Nacional Asunción,3,2021-21
Cerro Porteño,4,2021-21
Guaireña FC,5,2021-21
Guaraní,6,2021-21
12 de Octubre de Itaugua,7,2021-21
Sportivo Luqueño,8,2021-21
Sol de América,9,2021-21
Club River Plate,10,2021-21
Cerro Porteño,1,2020-20
Olimpia,2,2020-20
Libertad,3,2020-20
Guaraní,4,2020-20
12 de Octubre de Itaugua,5,2020-20
Nacional Asunción,6,2020-20
Guaireña FC,7,2020-20
Sportivo Luqueño,8,2020-20
Sol de América,9,2020-20
Sportivo San Lorenzo,10,2020-20
Club River Plate,11,2020-20
General Díaz,12,2020-20
Cerro Porteño,1,2020-20
Guaraní,2,2020-20
Libertad,3,2020-20
Olimpia,4,2020-20
Club River Plate,5,2020-20
Nacional Asunción,6,2020-20
Guaireña FC,7,2020-20
Sol de América,8,2020-20
12 de Octubre de Itaugua,9,2020-20
Sportivo Luqueño,10,2020-20
General Díaz,11,2020-20
Sportivo San Lorenzo,12,2020-20
Olimpia,1,2019-19
Cerro Porteño,2,2019-19
Libertad,3,2019-19
Guaraní,4,2019-19
Sportivo Luqueño,5,2019-19
Club River Plate,6,2019-19
Deportivo Capiatá,7,2019-19
Sol de América,8,2019-19
Sportivo San Lorenzo,9,2019-19
Nacional Asunción,10,2019-19
General Díaz,11,2019-19
Deportivo Santaní,12,2019-19
Olimpia,1,2019-19
Cerro Porteño,2,2019-19
Libertad,3,2019-19
Guaraní,4,2019-19
Sportivo Luqueño,5,2019-19
Club River Plate,6,2019-19
Deportivo Capiatá,7,2019-19
Sol de América,8,2019-19
Sportivo San Lorenzo,9,2019-19
Nacional Asunción,10,2019-19
General Díaz,11,2019-19
Deportivo Santaní,12,2019-19
Olimpia,1,2018-18
Cerro Porteño,2,2018-18
Libertad,3,2018-18
Sol de América,4,2018-18
Nacional Asunción,5,2018-18
Independiente FBC (Campo Grande),6,2018-18
Guaraní,7,2018-18
Deportivo Santaní,8,2018-18
3 de Febrero,9,2018-18
Sportivo Luqueño,10,2018-18
General Díaz,11,2018-18
Deportivo Capiatá,12,2018-18
Olimpia,1,2018-18
Cerro Porteño,2,2018-18
Libertad,3,2018-18
Independiente FBC (Campo Grande),4,2018-18
Nacional Asunción,5,2018-18
Sol de América,6,2018-18
General Díaz,7,2018-18
Guaraní,8,2018-18
Deportivo Santaní,9,2018-18
Sportivo Luqueño,10,2018-18
Deportivo Capiatá,11,2018-18
3 de Febrero,12,2018-18
Cerro Porteño,1,2017-17
Olimpia,2,2017-17
Guaraní,3,2017-17
General Díaz,4,2017-17
Sportivo Luqueño,5,2017-17
Sol de América,6,2017-17
Nacional Asunción,7,2017-17
Libertad,8,2017-17
Deportivo Capiatá,9,2017-17
Rubio Ñú,10,2017-17
Sportivo Trinidense,11,2017-17
Independiente FBC (Campo Grande),12,2017-17
Libertad,1,2017-17
Guaraní,2,2017-17
Olimpia,3,2017-17
Cerro Porteño,4,2017-17
Sol de América,5,2017-17
Independiente FBC (Campo Grande),6,2017-17
General Díaz,7,2017-17
Deportivo Capiatá,8,2017-17
Nacional Asunción,9,2017-17
Rubio Ñú,10,2017-17
Sportivo Luqueño,11,2017-17
Sportivo Trinidense,12,2017-17
Guaraní,1,2016-16
Olimpia,2,2016-16
Libertad,3,2016-16
Deportivo Capiatá,4,2016-16
Cerro Porteño,5,2016-16
Nacional Asunción,6,2016-16
Sol de América,7,2016-16
Sportivo Luqueño,8,2016-16
General Díaz,9,2016-16
General Caballero,10,2016-16
Rubio Ñú,11,2016-16
Club River Plate,12,2016-16
Libertad,1,2016-16
Olimpia,2,2016-16
Sol de América,3,2016-16
Guaraní,4,2016-16
Rubio Ñú,5,2016-16
Cerro Porteño,6,2016-16
Deportivo Capiatá,7,2016-16
Sportivo Luqueño,8,2016-16
General Díaz,9,2016-16
General Caballero,10,2016-16
Nacional Asunción,11,2016-16
Club River Plate,12,2016-16
Olimpia,1,2015-15
Cerro Porteño,2,2015-15
Guaraní,3,2015-15
Libertad,4,2015-15
Deportivo Capiatá,5,2015-15
Sol de América,6,2015-15
Deportivo Santaní,7,2015-15
General Díaz,8,2015-15
Sportivo Luqueño,9,2015-15
Rubio Ñú,10,2015-15
Sportivo San Lorenzo,11,2015-15
Nacional Asunción,12,2015-15
Guaraní,1,2015-15
