team,pos,season
Mount Pleasant FC,1,2022-23
Cavaliers FC,2,2022-23
Arnett Gardens,3,2022-23
Humble Lions,4,2022-23
Harbour View,5,2022-23
Dunbeholden FC,6,2022-23
Portmore United FC,7,2022-23
Tivoli Gardens,8,2022-23
Montego Bay United,9,2022-23
Waterhouse FC,10,2022-23
Vere United FC,11,2022-23
Molynes United FC,12,2022-23
Chapelton Maroons FC,13,2022-23
Faulkland FC,14,2022-23
Waterhouse FC,1,2021-22
Dunbeholden FC,2,2021-22
Mount Pleasant FC,3,2021-22
Arnett Gardens,4,2021-22
Cavaliers FC,5,2021-22
Harbour View,6,2021-22
Humble Lions,7,2021-22
Tivoli Gardens,8,2021-22
Portmore United FC,9,2021-22
Vere United FC,10,2021-22
Molynes United FC,11,2021-22
Montego Bay United,12,2021-22
Waterhouse FC,1,2021-21
Cavaliers FC,2,2021-21
Mount Pleasant FC,3,2021-21
Tivoli Gardens,4,2021-21
Vere United FC,5,2021-21
Harbour View,6,2021-21
Dunbeholden FC,7,2021-21
Portmore United FC,8,2021-21
Arnett Gardens,9,2021-21
Molynes United FC,10,2021-21
Humble Lions,11,2021-21
UWI FC,12,2021-21
Waterhouse FC,1,2019-20
Mount Pleasant FC,2,2019-20
Humble Lions,3,2019-20
Portmore United FC,4,2019-20
Dunbeholden FC,5,2019-20
Tivoli Gardens,6,2019-20
Cavaliers FC,7,2019-20
Arnett Gardens,8,2019-20
Harbour View,9,2019-20
Molynes United FC,10,2019-20
UWI FC,11,2019-20
Vere United FC,12,2019-20
Portmore United FC,1,2018-19
Mount Pleasant FC,2,2018-19
Waterhouse FC,3,2018-19
Cavaliers FC,4,2018-19
Arnett Gardens,5,2018-19
UWI FC,6,2018-19
Tivoli Gardens,7,2018-19
Humble Lions,8,2018-19
Harbour View,9,2018-19
Dunbeholden FC,10,2018-19
Montego Bay United,11,2018-19
Reno FC,12,2018-19
Portmore United FC,1,2017-18
Arnett Gardens,2,2017-18
Tivoli Gardens,3,2017-18
Waterhouse FC,4,2017-18
Harbour View,5,2017-18
Cavaliers FC,6,2017-18
UWI FC,7,2017-18
Humble Lions,8,2017-18
Montego Bay United,9,2017-18
Reno FC,10,2017-18
Sandals South Coast,11,2017-18
Boys' Town,12,2017-18
UWI FC,1,2016-17
Humble Lions,2,2016-17
Montego Bay United,3,2016-17
Tivoli Gardens,4,2016-17
Portmore United FC,5,2016-17
Arnett Gardens,6,2016-17
Reno FC,7,2016-17
Waterhouse FC,8,2016-17
Maverly Hughenden FC,9,2016-17
Harbour View,10,2016-17
Boys' Town,11,2016-17
Vere United FC,12,2016-17
Arnett Gardens,1,2015-16
Montego Bay United,2,2015-16
Portmore United FC,3,2015-16
Humble Lions,4,2015-16
UWI FC,5,2015-16
Harbour View,6,2015-16
Tivoli Gardens,7,2015-16
Boys' Town,8,2015-16
Waterhouse FC,9,2015-16
Reno FC,10,2015-16
Rivoli United,11,2015-16
Cavaliers FC,12,2015-16
Sporting Central Academy,1,2014-15
Boys' Town,2,2014-15
Harbour View,3,2014-15
Reno FC,4,2014-15
Montego Bay United,5,2014-15
Barbican FC,6,2014-15
Tivoli Gardens,7,2014-15
Rivoli United,8,2014-15
Humble Lions,9,2014-15
Cavaliers FC,10,2014-15
Arnett Gardens,11,2014-15
Waterhouse FC,12,2014-15
