team,pos,season
Cliftonville,1,2022-23
Larne FC,2,2022-23
Linfield,3,2022-23
Coleraine,4,2022-23
Crusaders,5,2022-23
Glentoran,6,2022-23
Ballymena United,7,2022-23
Glenavon,8,2022-23
Carrick Rangers,9,2022-23
Newry City AFC,10,2022-23
Dungannon Swifts,11,2022-23
Portadown FC,12,2022-23
Linfield,1,2021-22
Cliftonville,2,2021-22
Crusaders,3,2021-22
Glentoran,4,2021-22
Larne FC,5,2021-22
Glenavon,6,2021-22
Ballymena United,7,2021-22
Coleraine,8,2021-22
Dungannon Swifts,9,2021-22
Carrick Rangers,10,2021-22
Warrenpoint Town,11,2021-22
Portadown FC,12,2021-22
Linfield,1,2020-21
Coleraine,2,2020-21
Glentoran,3,2020-21
Larne FC,4,2020-21
Glenavon,5,2020-21
Ballymena United,6,2020-21
Cliftonville,7,2020-21
Crusaders,8,2020-21
Portadown FC,9,2020-21
Warrenpoint Town,10,2020-21
Carrick Rangers,11,2020-21
Dungannon Swifts,12,2020-21
