team,pos,season
Wuhan Three Towns F.C.,1,2022-22
Shandong Taishan F.C.,2,2022-22
Zhejiang Professional,3,2022-22
Shanghai Port F.C.,4,2022-22
Chengdu Rongcheng F.C.,5,2022-22
Henan Songshan Longmen F.C.,6,2022-22
Beijing Guoan,7,2022-22
Shanghai Shenhua,8,2022-22
Tianjin Jinmen Tiger F.C.,9,2022-22
Meizhou Hakka F.C.,10,2022-22
Dalian Professional FC,11,2022-22
Changchun Yatai,12,2022-22
Shijiazhuang Ever Bright,13,2022-22
Shenzhen FC,14,2022-22
Wuhan Yangtze River,15,2022-22
Guangzhou City F.C.,16,2022-22
Guangzhou F.C.,17,2022-22
Hebei F.C.,18,2022-22
Shandong Taishan F.C.,1,2021-21
Guangzhou F.C.,2,2021-21
Shanghai Port F.C.,3,2021-21
Changchun Yatai,4,2021-21
Shanghai Shenhua,5,2021-21
Henan Songshan Longmen F.C.,6,2021-21
Shenzhen FC,7,2021-21
Beijing Guoan,8,2021-21
Guangzhou City F.C.,9,2021-21
Hebei F.C.,10,2021-21
Shijiazhuang Ever Bright,11,2021-21
Wuhan Yangtze River,12,2021-21
Tianjin Jinmen Tiger F.C.,13,2021-21
Chongqing Liangjiang Athletic F.C.,14,2021-21
Dalian Professional FC,15,2021-21
Qingdao FC,16,2021-21
Guangzhou F.C.,1,2020-20
Jiangsu Suning FC,2,2020-20
Beijing Guoan,3,2020-20
Shanghai Port F.C.,4,2020-20
Shandong Taishan F.C.,5,2020-20
Shanghai Shenhua,6,2020-20
Chongqing Liangjiang Athletic F.C.,7,2020-20
Shenzhen FC,8,2020-20
Wuhan Yangtze River,9,2020-20
Hebei F.C.,10,2020-20
Guangzhou City F.C.,11,2020-20
Dalian Professional FC,12,2020-20
Shijiazhuang Ever Bright,13,2020-20
Henan Songshan Longmen F.C.,14,2020-20
Qingdao FC,15,2020-20
Tianjin Jinmen Tiger F.C.,16,2020-20
Guangzhou F.C.,1,2019-19
Beijing Guoan,2,2019-19
Shanghai Port F.C.,3,2019-19
Jiangsu Suning FC,4,2019-19
Shandong Taishan F.C.,5,2019-19
Wuhan Yangtze River,6,2019-19
Tianjin Jinmen Tiger F.C.,7,2019-19
Henan Songshan Longmen F.C.,8,2019-19
Dalian Professional FC,9,2019-19
Chongqing Liangjiang Athletic F.C.,10,2019-19
Hebei F.C.,11,2019-19
Guangzhou City F.C.,12,2019-19
Shanghai Shenhua,13,2019-19
Tianjin Tianhai,14,2019-19
Shenzhen FC,15,2019-19
