team,pos,season
Shakhtyor Soligorsk,1,2022-22
FC Energetik-BGU Minsk,2,2022-22
Dinamo Minsk,3,2022-22
BATE Borisov,4,2022-22
Isloch,5,2022-22
FC Minsk,6,2022-22
Torpedo Zhodino,7,2022-22
Gomel,8,2022-22
Neman Grodno,9,2022-22
Slavia-Mozyr,10,2022-22
FK Slutsk,11,2022-22
Belshina Bobruisk,12,2022-22
FC Brest,13,2022-22
FK Vitebsk,14,2022-22
FC Arsenal Dzerzhinsk,15,2022-22
FC Dnyapro Mogilev,16,2022-22
Shakhtyor Soligorsk,1,2021-21
BATE Borisov,2,2021-21
Dinamo Minsk,3,2021-21
Gomel,4,2021-21
FC Ruh Brest,5,2021-21
FC Brest,6,2021-21
FK Vitebsk,7,2021-21
Torpedo Zhodino,8,2021-21
FK Slutsk,9,2021-21
Neman Grodno,10,2021-21
Isloch,11,2021-21
FC Energetik-BGU Minsk,12,2021-21
FC Minsk,13,2021-21
Slavia-Mozyr,14,2021-21
FC Smorgon,15,2021-21
FK Sputnik Rechytsa,16,2021-21
Shakhtyor Soligorsk,1,2020-20
BATE Borisov,2,2020-20
Torpedo Zhodino,3,2020-20
FC Brest,4,2020-20
Neman Grodno,5,2020-20
Dinamo Minsk,6,2020-20
Isloch,7,2020-20
FC Ruh Brest,8,2020-20
Slavia-Mozyr,9,2020-20
FC Minsk,10,2020-20
FK Vitebsk,11,2020-20
FC Energetik-BGU Minsk,12,2020-20
FK Gorodeya,13,2020-20
FK Slutsk,14,2020-20
Belshina Bobruisk,15,2020-20
Smolevichy,16,2020-20
FC Brest,1,2019-19
BATE Borisov,2,2019-19
Shakhtyor Soligorsk,3,2019-19
Dinamo Minsk,4,2019-19
Isloch,5,2019-19
Torpedo Zhodino,6,2019-19
FK Gorodeya,7,2019-19
Slavia-Mozyr,8,2019-19
FC Minsk,9,2019-19
Neman Grodno,10,2019-19
FK Slutsk,11,2019-19
FC Energetik-BGU Minsk,12,2019-19
FK Vitebsk,13,2019-19
FC Dnyapro Mogilev,14,2019-19
Gomel,15,2019-19
FC Torpedo Minsk,16,2019-19
BATE Borisov,1,2018-18
Shakhtyor Soligorsk,2,2018-18
Dinamo Minsk,3,2018-18
FK Vitebsk,4,2018-18
Torpedo Zhodino,5,2018-18
FC Brest,6,2018-18
Neman Grodno,7,2018-18
FK Slutsk,8,2018-18
FK Gorodeya,9,2018-18
Isloch,10,2018-18
FC Minsk,11,2018-18
Gomel,12,2018-18
Smolevichy,13,2018-18
FC Torpedo Minsk,14,2018-18
FC Luch Minsk,15,2018-18
Dnepr Mogilev,16,2018-18
Dinamo Minsk,1,2017-17
BATE Borisov,2,2017-17
Shakhtyor Soligorsk,3,2017-17
Torpedo Zhodino,4,2017-17
Neman Grodno,5,2017-17
FC Brest,6,2017-17
FK Vitebsk,7,2017-17
FK Slutsk,8,2017-17
FK Gorodeya,9,2017-17
Gomel,10,2017-17
Isloch,11,2017-17
Dnepr Mogilev,12,2017-17
Krumkachy Minsk,13,2017-17
FC Minsk,14,2017-17
Slavia-Mozyr,15,2017-17
Naftan Novopolotsk,16,2017-17
BATE Borisov,1,2016-16
Shakhtyor Soligorsk,2,2016-16
Dinamo Minsk,3,2016-16
FC Minsk,4,2016-16
Torpedo Zhodino,5,2016-16
Isloch,6,2016-16
FC Brest,7,2016-16
FK Vitebsk,8,2016-16
FK Gorodeya,9,2016-16
Slavia-Mozyr,10,2016-16
Krumkachy Minsk,11,2016-16
FK Slutsk,12,2016-16
Neman Grodno,13,2016-16
Naftan Novopolotsk,14,2016-16
Belshina Bobruisk,15,2016-16
Granit Mikashevichi,16,2016-16
BATE Borisov,1,2015-15
Dinamo Minsk,2,2015-15
Shakhtyor Soligorsk,3,2015-15
Belshina Bobruisk,4,2015-15
Granit Mikashevichi,5,2015-15
FC Minsk,6,2015-15
Torpedo Zhodino,7,2015-15
Neman Grodno,8,2015-15
Naftan Novopolotsk,9,2015-15
Slavia-Mozyr,10,2015-15
FK Slutsk,11,2015-15
FC Brest,12,2015-15
FK Vitebsk,13,2015-15
Gomel,14,2015-15
BATE Borisov,1,2014-14
Dinamo Minsk,2,2014-14
FC Minsk,3,2014-14
Torpedo Zhodino,4,2014-14
Shakhtyor Soligorsk,5,2014-14
Naftan Novopolotsk,6,2014-14
Neman Grodno,7,2014-14
FK Slutsk,8,2014-14
Gomel,9,2014-14
Belshina Bobruisk,10,2014-14
FC Brest,11,2014-14
Dnepr Mogilev,12,2014-14
BATE Borisov,1,2013-13
Belshina Bobruisk,2,2013-13
Shakhtyor Soligorsk,3,2013-13
Dinamo Minsk,4,2013-13
Neman Grodno,5,2013-13
FC Minsk,6,2013-13
Gomel,7,2013-13
FC Brest,8,2013-13
Naftan Novopolotsk,9,2013-13
Torpedo Zhodino,10,2013-13
Dnepr Mogilev,11,2013-13
Slavia-Mozyr,12,2013-13
BATE Borisov,1,2012-12
Shakhtyor Soligorsk,2,2012-12
Dinamo Minsk,3,2012-12
Gomel,4,2012-12
Neman Grodno,5,2012-12
FC Minsk,6,2012-12
Belshina Bobruisk,7,2012-12
FC Brest,8,2012-12
Naftan Novopolotsk,9,2012-12
Slavia-Mozyr,10,2012-12
Torpedo Zhodino,11,2012-12
BATE Borisov,1,2011-11
Shakhtyor Soligorsk,2,2011-11
Gomel,3,2011-11
Dinamo Minsk,4,2011-11
Belshina Bobruisk,5,2011-11
Torpedo Zhodino,6,2011-11
Neman Grodno,7,2011-11
Naftan Novopolotsk,8,2011-11
FC Brest,9,2011-11
FC Minsk,10,2011-11
Dnepr Mogilev,11,2011-11
FK Vitebsk,12,2011-11
BATE Borisov,1,2010-10
Shakhtyor Soligorsk,2,2010-10
FC Minsk,3,2010-10
Dinamo Minsk,4,2010-10
FC Brest,5,2010-10
Belshina Bobruisk,6,2010-10
Naftan Novopolotsk,7,2010-10
Dnepr Mogilev,8,2010-10
FK Vitebsk,9,2010-10
Neman Grodno,10,2010-10
Torpedo Zhodino,11,2010-10
Partizan Minsk,12,2010-10
BATE Borisov,1,2009-09
Dinamo Minsk,2,2009-09
Dnepr Mogilev,3,2009-09
FC Brest,4,2009-09
Shakhtyor Soligorsk,5,2009-09
Naftan Novopolotsk,6,2009-09
Torpedo Zhodino,7,2009-09
Neman Grodno,8,2009-09
FC Minsk,9,2009-09
FK Vitebsk,10,2009-09
Partizan Minsk,11,2009-09
Gomel,12,2009-09
Granit,13,2009-09
FC Smorgon,14,2009-09
