team,pos,season
Al Ahly,1,2022-23
Pyramids FC,2,2022-23
Future FC,3,2022-23
El Zamalek,4,2022-23
Al Mokawloon Al Arab,5,2022-23
Al-Ittihad Al-Sakandary,6,2022-23
Ghazl El Mehalla,7,2022-23
Aswan FC,8,2022-23
Al Masry,9,2022-23
Smouha SC,10,2022-23
Ceramica Cleopatra,11,2022-23
Pharco FC,12,2022-23
El Geish,13,2022-23
ENPPI,14,2022-23
Haras El-Hodood SC,15,2022-23
National Bank,16,2022-23
Ismaily SC,17,2022-23
El Dakhleya,18,2022-23
El Zamalek,1,2021-22
Pyramids FC,2,2021-22
Al Ahly,3,2021-22
Smouha SC,4,2021-22
El Geish,5,2021-22
Future FC,6,2021-22
Al-Ittihad Al-Sakandary,7,2021-22
Al Masry,8,2021-22
ENPPI,9,2021-22
Ghazl El Mehalla,10,2021-22
El Gounah,11,2021-22
National Bank,12,2021-22
Al Mokawloon Al Arab,13,2021-22
Ismaily SC,14,2021-22
Pharco FC,15,2021-22
Ceramica Cleopatra,16,2021-22
El-Sharkia Lel Dokhan (Eastern Company SC),17,2021-22
Misr El Makasa,18,2021-22
El Zamalek,1,2020-21
Al Ahly,2,2020-21
Pyramids FC,3,2020-21
Smouha SC,4,2020-21
Al Masry,5,2020-21
ENPPI,6,2020-21
Al-Ittihad Al-Sakandary,7,2020-21
El Geish,8,2020-21
Ismaily SC,9,2020-21
Al Mokawloon Al Arab,10,2020-21
Ceramica Cleopatra,11,2020-21
El Gounah,12,2020-21
Misr El Makasa,13,2020-21
National Bank,14,2020-21
Ghazl El Mehalla,15,2020-21
Wadi Degla FC,16,2020-21
El Entag El Harby,17,2020-21
Aswan FC,18,2020-21
Al Ahly,1,2019-20
El Zamalek,2,2019-20
Pyramids FC,3,2019-20
Al Mokawloon Al Arab,4,2019-20
Smouha SC,5,2019-20
Al Masry,6,2019-20
ENPPI,7,2019-20
El Entag El Harby,8,2019-20
Al-Ittihad Al-Sakandary,9,2019-20
Ismaily SC,10,2019-20
Misr El Makasa,11,2019-20
El Geish,12,2019-20
El Gounah,13,2019-20
Aswan FC,14,2019-20
Haras El-Hodood SC,15,2019-20
Wadi Degla FC,16,2019-20
Tanta,17,2019-20
FC Masr,18,2019-20
Al Ahly,1,2018-19
Pyramids FC,2,2018-19
El Zamalek,3,2018-19
Al Masry,4,2018-19
Al Mokawloon Al Arab,5,2018-19
Misr El Makasa,6,2018-19
Ismaily SC,7,2018-19
El Geish,8,2018-19
ENPPI,9,2018-19
Wadi Degla FC,10,2018-19
Haras El-Hodood SC,11,2018-19
Al-Ittihad Al-Sakandary,12,2018-19
El Entag El Harby,13,2018-19
Smouha SC,14,2018-19
El Gounah,15,2018-19
Petrojet,16,2018-19
El Dakhleya,17,2018-19
Nogoom FC,18,2018-19
Al Ahly,1,2017-18
Ismaily SC,2,2017-18
Al Masry,3,2017-18
El Zamalek,4,2017-18
Smouha SC,5,2017-18
ENPPI,6,2017-18
Misr El Makasa,7,2017-18
El Entag El Harby,8,2017-18
Al Mokawloon Al Arab,9,2017-18
Pyramids FC,10,2017-18
Al-Ittihad Al-Sakandary,11,2017-18
El Dakhleya,12,2017-18
Petrojet,13,2017-18
El Geish,14,2017-18
Wadi Degla FC,15,2017-18
El Raja,16,2017-18
Tanta,17,2017-18
Al Nasr FC,18,2017-18
Al Ahly,1,2016-17
Misr El Makasa,2,2016-17
El Zamalek,3,2016-17
Al Masry,4,2016-17
Smouha SC,5,2016-17
Ismaily SC,6,2016-17
Al Mokawloon Al Arab,7,2016-17
Petrojet,8,2016-17
Al-Ittihad Al-Sakandary,9,2016-17
ENPPI,10,2016-17
El Geish,11,2016-17
Wadi Degla FC,12,2016-17
El Entag El Harby,13,2016-17
Tanta,14,2016-17
El Dakhleya,15,2016-17
Aswan FC,16,2016-17
El Nasr Tadeen,17,2016-17
Al Sharkeyah,18,2016-17
El Zamalek,1,2015-16
Al Ahly,2,2015-16
ENPPI,3,2015-16
Ismaily SC,4,2015-16
Misr El Makasa,5,2015-16
Wadi Degla FC,6,2015-16
Al Masry,7,2015-16
Smouha SC,8,2015-16
Petrojet,9,2015-16
El Dakhleya,10,2015-16
El Geish,11,2015-16
Al Mokawloon Al Arab,12,2015-16
Al-Ittihad Al-Sakandary,13,2015-16
Ittihad El-Shorta,14,2015-16
Haras El-Hodood SC,15,2015-16
Al Ahly,16,2015-16
El Zamalek,17,2015-16
El Gounah,18,2015-16
El Entag El Harby,19,2015-16
Wadi Degla FC,20,2015-16
El Raja,21,2015-16
Smouha SC,22,2015-16
Ismaily SC,23,2015-16
Al Masry,24,2015-16
Al Nasr FC,25,2015-16
Petrojet,26,2015-16
Al Mokawloon Al Arab,27,2015-16
ENPPI,28,2015-16
El Geish,29,2015-16
Aswan FC,30,2015-16
Misr El Makasa,31,2015-16
El Dakhleya,32,2015-16
Al-Ittihad Al-Sakandary,33,2015-16
Ittihad El-Shorta,34,2015-16
Pyramids FC,35,2015-16
Haras El-Hodood SC,36,2015-16
Ala'ab Damanhour,37,2015-16
Ghazl El Mehalla,38,2015-16
