team,pos,season
Al-Faisaly SC Amman,1,2022-22
Al-Wehdat SC,2,2022-22
Al-Hussein SC Irbid,3,2022-22
Shabab Al-Ordon Club,4,2022-22
Shabab Al-Aqaba Club,5,2022-22
Al-Ramtha SC,6,2022-22
FC Ma'an,7,2022-22
Sahab SC,8,2022-22
Al-Salt,9,2022-22
Mgaear Al Sarhan,10,2022-22
Al-Sareeh SC,11,2022-22
Al-Jazeera Amman,12,2022-22
Al-Wehdat SC,1,2021-21
Al-Ramtha SC,2,2021-21
Al-Salt,3,2021-21
Al-Faisaly SC Amman,4,2021-21
Al-Hussein SC Irbid,5,2021-21
Shabab Al-Ordon Club,6,2021-21
Al-Jazeera Amman,7,2021-21
Shabab Al-Aqaba Club,8,2021-21
Sahab SC,9,2021-21
FC Ma'an,10,2021-21
Al-Sareeh SC,11,2021-21
Al Ahli SC Amman,12,2021-21
Al-Jazeera Amman,1,2020-20
Al-Wehdat SC,2,2020-20
Al-Ramtha SC,3,2020-20
Shabab Al-Aqaba Club,4,2020-20
Al-Salt,5,2020-20
Al-Faisaly SC Amman,6,2020-20
FC Ma'an,7,2020-20
Shabab Al-Ordon Club,8,2020-20
Sahab SC,9,2020-20
Al-Hussein SC Irbid,10,2020-20
Al Ahli SC Amman,11,2020-20
Al-Sareeh SC,12,2020-20
Al-Faisaly SC Amman,1,2018-19
Al-Jazeera Amman,2,2018-19
Al-Wehdat SC,3,2018-19
Shabab Al-Ordon Club,4,2018-19
Al-Salt,5,2018-19
Shabab Al-Aqaba Club,6,2018-19
Al-Sareeh SC,7,2018-19
Al-Ramtha SC,8,2018-19
Al-Hussein SC Irbid,9,2018-19
Al Ahli SC Amman,10,2018-19
Al-Baqa'a SC,11,2018-19
That Ras Club,12,2018-19
Al-Wehdat SC,1,2017-18
Al-Faisaly SC Amman,2,2017-18
Al-Jazeera Amman,3,2017-18
Al-Ramtha SC,4,2017-18
Shabab Al-Ordon Club,5,2017-18
That Ras Club,6,2017-18
Al Ahli SC Amman,7,2017-18
Al-Baqa'a SC,8,2017-18
Shabab Al-Aqaba Club,9,2017-18
Al-Hussein SC Irbid,10,2017-18
Mansheyat Bani Hasan,11,2017-18
Al-Yarmouk FC,12,2017-18
Al-Faisaly SC Amman,1,2016-17
Al-Jazeera Amman,2,2016-17
Al-Wehdat SC,3,2016-17
Mansheyat Bani Hasan,4,2016-17
Al-Ramtha SC,5,2016-17
Al-Hussein SC Irbid,6,2016-17
Al Ahli SC Amman,7,2016-17
Shabab Al-Ordon Club,8,2016-17
That Ras Club,9,2016-17
Al-Baqa'a SC,10,2016-17
Al-Sareeh SC,11,2016-17
Sahab SC,12,2016-17
Al-Wehdat SC,1,2015-16
Al Ahli SC Amman,2,2015-16
Al-Jazeera Amman,3,2015-16
Al-Faisaly SC Amman,4,2015-16
Shabab Al-Ordon Club,5,2015-16
Al-Ramtha SC,6,2015-16
Al-Hussein SC Irbid,7,2015-16
That Ras Club,8,2015-16
Al-Baqa'a SC,9,2015-16
Al-Sareeh SC,10,2015-16
Kfarsoum,11,2015-16
Al Asalah,12,2015-16
Al-Ramtha SC,1,2014-15
Al-Faisaly SC Amman,2,2014-15
Al-Jazeera Amman,3,2014-15
Al-Baqa'a SC,4,2014-15
Shabab Al-Ordon Club,5,2014-15
That Ras Club,6,2014-15
Al-Wehdat SC,7,2014-15
Ittihad Al-Ramtha,8,2014-15
Al Ahli SC Amman,9,2014-15
Al-Hussein SC Irbid,10,2014-15
Mansheyat Bani Hasan,11,2014-15
Al-Sareeh SC,12,2014-15
