team,pos,season
Mumbai City FC,1,2022-23
Hyderabad FC,2,2022-23
Kerala Blasters FC,3,2022-23
ATK Mohun Bagan FC,4,2022-23
FC Goa,5,2022-23
Bengaluru FC,6,2022-23
Odisha FC,7,2022-23
Chennaiyin FC,8,2022-23
East Bengal Club,9,2022-23
Jamshedpur FC,10,2022-23
Northeast United FC,11,2022-23
Gokulam Kerala Fc,1,2021-22
Mohammedan SC,2,2021-22
Sreenidi Deccan,3,2021-22
Churchill Brothers SC,4,2021-22
Punjab Football Club,5,2021-22
Rajasthan United,6,2021-22
Aizawl,7,2021-22
North Eastern Re Organising Cultural Association,8,2021-22
TRAU F.C.,9,2021-22
Sudeva Delhi FC,10,2021-22
Arrows,11,2021-22
Real Kashmir FC,12,2021-22
Kenkre FC,13,2021-22
Gokulam Kerala Fc,1,2020-21
Churchill Brothers SC,2,2020-21
TRAU F.C.,3,2020-21
Aizawl,4,2020-21
Punjab Football Club,5,2020-21
Real Kashmir FC,6,2020-21
Mohammedan SC,7,2020-21
Sudeva Delhi FC,8,2020-21
Chennai City FC,9,2020-21
Arrows,10,2020-21
North Eastern Re Organising Cultural Association,11,2020-21
ATK Mohun Bagan FC,1,2019-20
East Bengal Club,2,2019-20
Punjab Football Club,3,2019-20
Real Kashmir FC,4,2019-20
Gokulam Kerala Fc,5,2019-20
TRAU F.C.,6,2019-20
Chennai City FC,7,2019-20
Churchill Brothers SC,8,2019-20
North Eastern Re Organising Cultural Association,9,2019-20
Aizawl,10,2019-20
Arrows,11,2019-20
