team,pos,season
FC Dinamo Batumi,1,2022-22
Dinamo Tbilisi,2,2022-22
Dila Gori,3,2022-22
FC Samgurali Tskhaltubo,4,2022-22
Torpedo Kutaisi,5,2022-22
Saburtalo,6,2022-22
FC Telavi,7,2022-22
FC Gagra,8,2022-22
FC Sioni Bolnisi,9,2022-22
Lokomotivi Tbilisi,10,2022-22
FC Dinamo Batumi,1,2021-21
Dinamo Tbilisi,2,2021-21
Dila Gori,3,2021-21
Saburtalo,4,2021-21
Lokomotivi Tbilisi,5,2021-21
FC Telavi,6,2021-21
FC Samgurali Tskhaltubo,7,2021-21
Torpedo Kutaisi,8,2021-21
FC Shukura Kobuleti,9,2021-21
FC Samtredia,10,2021-21
Torpedo Kutaisi,1,2017-17
Saburtalo,2,2017-17
FC Samtredia,3,2017-17
Dinamo Tbilisi,4,2017-17
Chikhura,5,2017-17
Lokomotivi Tbilisi,6,2017-17
Dila Gori,7,2017-17
FC Dinamo Batumi,8,2017-17
FC Shukura Kobuleti,9,2017-17
FC Kolkheti-1913 Poti,10,2017-17
Dinamo Tbilisi,1,2016-17
FC Samtredia,2,2016-17
Chikhura,3,2016-17
Torpedo Kutaisi,4,2016-17
Saburtalo,5,2016-17
FC Dinamo Batumi,6,2016-17
Dila Gori,7,2016-17
Lokomotivi Tbilisi,8,2016-17
FC Kolkheti-1913 Poti,9,2016-17
FC Shukura Kobuleti,10,2016-17
FC Sioni Bolnisi,11,2016-17
FC Guria Lanchkhuti,12,2016-17
FC Tskhinvali,13,2016-17
FC Zugdidi,14,2016-17
Dinamo Tbilisi,1,2015-16
FC Samtredia,2,2015-16
Dila Gori,3,2015-16
Chikhura,4,2015-16
FC Sioni Bolnisi,5,2015-16
Torpedo Kutaisi,6,2015-16
FC Tskhinvali,7,2015-16
FC Dinamo Batumi,8,2015-16
Saburtalo,9,2015-16
FC Shukura Kobuleti,10,2015-16
FC Kolkheti-1913 Poti,11,2015-16
FC Guria Lanchkhuti,12,2015-16
Lokomotivi Tbilisi,13,2015-16
FC Zugdidi,14,2015-16
Merani Martvili,15,2015-16
Sapovnela,16,2015-16
Zestafoni,1,2014-15
FC Kolkheti-1913 Poti,2,2014-15
FC Tskhinvali,3,2014-15
FC Samtredia,4,2014-15
Merani Martvili,5,2014-15
Chikhura,6,2014-15
FC Zugdidi,7,2014-15
FC Dinamo Batumi,8,2014-15
FC Sioni Bolnisi,9,2014-15
FC Shukura Kobuleti,10,2014-15
FC Rustavi,11,2014-15
WIT Georgia Tbilisi,12,2014-15
Dinamo Tbilisi,13,2014-15
Dila Gori,14,2014-15
Torpedo Kutaisi,15,2014-15
FC Guria Lanchkhuti,16,2014-15
Dinamo Tbilisi,1,2013-14
Zestafoni,2,2013-14
FC Sioni Bolnisi,3,2013-14
Torpedo Kutaisi,4,2013-14
Chikhura,5,2013-14
WIT Georgia Tbilisi,6,2013-14
FC Rustavi,7,2013-14
Dila Gori,8,2013-14
FC Tskhinvali,9,2013-14
FC Zugdidi,10,2013-14
FC Guria Lanchkhuti,11,2013-14
Merani Martvili,12,2013-14
