team,pos,season
Al-Duhail SC,1,2022-23
Al-Arabi Doha,2,2022-23
Al-Sadd,3,2022-23
Qatar SC,4,2022-23
AL Gharafa,5,2022-23
Al-Wakra,6,2022-23
Al Ahli,7,2022-23
Al-Markhiya Sports Club,8,2022-23
Al-Shamal SC,9,2022-23
Al-Rayyan,10,2022-23
Al-Sailiya,11,2022-23
Umm-Salal,12,2022-23
Al-Sadd,1,2021-22
Al-Duhail SC,2,2021-22
Al-Wakra,3,2021-22
Al-Arabi Doha,4,2021-22
AL Gharafa,5,2021-22
Umm-Salal,6,2021-22
Al Ahli,7,2021-22
Al-Rayyan,8,2021-22
Qatar SC,9,2021-22
Al-Shamal SC,10,2021-22
Al-Sailiya,11,2021-22
Al-Khor,12,2021-22
Al-Sadd,1,2020-21
Al-Duhail SC,2,2020-21
Al-Rayyan,3,2020-21
AL Gharafa,4,2020-21
Al Ahli,5,2020-21
Qatar SC,6,2020-21
Al-Arabi Doha,7,2020-21
Al-Wakra,8,2020-21
Al-Sailiya,9,2020-21
Umm-Salal,10,2020-21
Al-Khor,11,2020-21
Al-Kharitiyat,12,2020-21
Al-Duhail SC,1,2019-20
Al-Rayyan,2,2019-20
Al-Sadd,3,2019-20
AL Gharafa,4,2019-20
Al-Sailiya,5,2019-20
Al-Wakra,6,2019-20
Al-Arabi Doha,7,2019-20
Qatar SC,8,2019-20
Al Ahli,9,2019-20
Al-Khor,10,2019-20
Umm-Salal,11,2019-20
Al-Shahania S.C.,12,2019-20
Al-Sadd,1,2018-19
Al-Duhail SC,2,2018-19
Al-Sailiya,3,2018-19
Al-Rayyan,4,2018-19
Al Ahli,5,2018-19
Al-Arabi Doha,6,2018-19
Al-Shahania S.C.,7,2018-19
AL Gharafa,8,2018-19
Umm-Salal,9,2018-19
Al-Khor,10,2018-19
Qatar SC,11,2018-19
Al-Kharitiyat,12,2018-19
Al-Duhail SC,1,2017-18
Al-Sadd,2,2017-18
Al-Rayyan,3,2017-18
Umm-Salal,4,2017-18
AL Gharafa,5,2017-18
Al-Sailiya,6,2017-18
Al-Arabi Doha,7,2017-18
Al-Khor,8,2017-18
Al Ahli,9,2017-18
Qatar SC,10,2017-18
Al-Markhiya Sports Club,11,2017-18
Al-Kharitiyat,12,2017-18
Al-Duhail SC,1,2016-17
Al-Sadd,2,2016-17
Al-Rayyan,3,2016-17
El Jaish (Doha),4,2016-17
AL Gharafa,5,2016-17
Umm-Salal,6,2016-17
Al-Kharitiyat,7,2016-17
Al-Sailiya,8,2016-17
Al-Arabi Doha,9,2016-17
Al Ahli,10,2016-17
Al-Khor,11,2016-17
Al-Shahania S.C.,12,2016-17
Muaither SC,13,2016-17
Al-Wakra,14,2016-17
Al-Rayyan,1,2015-16
El Jaish (Doha),2,2015-16
Al-Sadd,3,2015-16
Al-Duhail SC,4,2015-16
Umm-Salal,5,2015-16
Al Ahli,6,2015-16
Al-Sailiya,7,2015-16
Al-Arabi Doha,8,2015-16
AL Gharafa,9,2015-16
Al-Khor,10,2015-16
Al-Wakra,11,2015-16
Al-Kharitiyat,12,2015-16
Qatar SC,13,2015-16
Al Mesaimeer,14,2015-16
Al-Duhail SC,1,2014-15
Al-Sailiya,2,2014-15
Al-Khor,3,2014-15
Umm-Salal,4,2014-15
Al-Wakra,5,2014-15
Al-Shahania S.C.,6,2014-15
Al-Sadd,7,2014-15
Al-Shamal SC,8,2014-15
Al-Kharitiyat,9,2014-15
AL Gharafa,10,2014-15
El Jaish (Doha),11,2014-15
Al-Arabi Doha,12,2014-15
Al Ahli,13,2014-15
Qatar SC,14,2014-15
Al-Duhail SC,1,2013-14
El Jaish (Doha),2,2013-14
Al-Sadd,3,2013-14
Al-Sailiya,4,2013-14
Al-Arabi Doha,5,2013-14
Umm-Salal,6,2013-14
Al Ahli,7,2013-14
AL Gharafa,8,2013-14
Al-Wakra,9,2013-14
Qatar SC,10,2013-14
Al-Khor,11,2013-14
Al-Rayyan,12,2013-14
Al-Kharitiyat,13,2013-14
Muaither SC,14,2013-14
Al-Sadd,1,2012-13
Al-Duhail SC,2,2012-13
El Jaish (Doha),3,2012-13
Al-Rayyan,4,2012-13
Umm-Salal,5,2012-13
AL Gharafa,6,2012-13
Al-Khor,7,2012-13
Qatar SC,8,2012-13
Al-Wakra,9,2012-13
Al-Kharitiyat,10,2012-13
Al-Arabi Doha,11,2012-13
Al-Sailiya,12,2012-13
Al-Duhail SC,1,2011-12
El Jaish (Doha),2,2011-12
Al-Rayyan,3,2011-12
Al-Sadd,4,2011-12
Al-Khor,5,2011-12
AL Gharafa,6,2011-12
Al-Wakra,7,2011-12
Al-Kharitiyat,8,2011-12
Al-Arabi Doha,9,2011-12
Qatar SC,10,2011-12
Umm-Salal,11,2011-12
Al Ahli,12,2011-12
Al-Duhail SC,1,2010-11
AL Gharafa,2,2010-11
Al-Rayyan,3,2010-11
Al-Arabi Doha,4,2010-11
Qatar SC,5,2010-11
Al-Sadd,6,2010-11
Al-Wakra,7,2010-11
Al-Kharitiyat,8,2010-11
Al-Khor,9,2010-11
Umm-Salal,10,2010-11
Al-Sailiya,11,2010-11
Al Ahli,12,2010-11
AL Gharafa,1,2009-10
Al-Sadd,2,2009-10
Al-Arabi Doha,3,2009-10
Qatar SC,4,2009-10
Al-Rayyan,5,2009-10
Al-Kharitiyat,6,2009-10
Umm-Salal,7,2009-10
Al-Wakra,8,2009-10
Al-Khor,9,2009-10
Al Ahli,10,2009-10
Al-Sailiya,11,2009-10
Al-Shamal SC,12,2009-10
