team,pos,season
Sporting San José FC,1,2023-23
LD Alajuelense,2,2023-23
Deportivo Saprissa,3,2023-23
Cartaginés,4,2023-23
Pérez Zeledón,5,2023-23
Club Sport Herediano,6,2023-23
Puntarenas FC,7,2023-23
AD Guanacasteca,8,2023-23
Santos de Guápiles,9,2023-23
Guadalupe FC,10,2023-23
AD Grecia FC,11,2023-23
Deportiva San Carlos,12,2023-23
Club Sport Herediano,1,2022-22
Deportivo Saprissa,2,2022-22
LD Alajuelense,3,2022-22
Puntarenas FC,4,2022-22
Sporting San José FC,5,2022-22
AD Grecia FC,6,2022-22
Deportiva San Carlos,7,2022-22
Pérez Zeledón,8,2022-22
Cartaginés,9,2022-22
Guadalupe FC,10,2022-22
Santos de Guápiles,11,2022-22
AD Guanacasteca,12,2022-22
LD Alajuelense,1,2022-22
Club Sport Herediano,2,2022-22
Cartaginés,3,2022-22
Deportiva San Carlos,4,2022-22
Deportivo Saprissa,5,2022-22
Sporting San José FC,6,2022-22
Guadalupe FC,7,2022-22
Santos de Guápiles,8,2022-22
AD Grecia FC,9,2022-22
Asoc. Dep. y Rec. Jicaral Sercoba,10,2022-22
Pérez Zeledón,11,2022-22
AD Guanacasteca,12,2022-22
Club Sport Herediano,1,2021-21
LD Alajuelense,2,2021-21
Santos de Guápiles,3,2021-21
Deportivo Saprissa,4,2021-21
Cartaginés,5,2021-21
AD Grecia FC,6,2021-21
Sporting San José FC,7,2021-21
Deportiva San Carlos,8,2021-21
Pérez Zeledón,9,2021-21
AD Guanacasteca,10,2021-21
Guadalupe FC,11,2021-21
Asoc. Dep. y Rec. Jicaral Sercoba,12,2021-21
LD Alajuelense,1,2021-21
LD Alajuelense,2,2021-21
Santos de Guápiles,3,2021-21
Cartaginés,4,2021-21
Deportivo Saprissa,5,2021-21
Club Sport Herediano,6,2021-21
Deportivo Saprissa,7,2021-21
Asoc. Dep. y Rec. Jicaral Sercoba,8,2021-21
Pérez Zeledón,9,2021-21
Club Sport Herediano,10,2021-21
Deportiva San Carlos,11,2021-21
Deportiva San Carlos,12,2021-21
AD Grecia FC,13,2021-21
Cartaginés,14,2021-21
Limón,15,2021-21
Sporting San José FC,16,2021-21
Guadalupe FC,17,2021-21
Limón,18,2021-21
Asoc. Dep. y Rec. Jicaral Sercoba,19,2021-21
Guadalupe FC,20,2021-21
Santos de Guápiles,21,2021-21
Pérez Zeledón,22,2021-21
AD Grecia FC,23,2021-21
Puntarenas FC,24,2021-21
