team,pos,season
Zalgiris Vilnius,1,2022-22
FK Kauno Zalgiris,2,2022-22
FK Panevėžys,3,2022-22
Hegelmann Litauen Kaunas,4,2022-22
FK Riteriai,5,2022-22
Suduva Marijampole,6,2022-22
FA Šiauliai,7,2022-22
Banga Gargzdai,8,2022-22
Džiugas Telšiai,9,2022-22
Lietava Jonava,10,2022-22
Zalgiris Vilnius,1,2021-21
Suduva Marijampole,2,2021-21
FK Kauno Zalgiris,3,2021-21
FK Panevėžys,4,2021-21
Hegelmann Litauen Kaunas,5,2021-21
FK Riteriai,6,2021-21
FK Riteriai,7,2021-21
Dainava Alytus,8,2021-21
Džiugas Telšiai,9,2021-21
Banga Gargzdai,10,2021-21
Nevėžis Kėdainiai,11,2021-21
Zalgiris Vilnius,1,2020-20
Suduva Marijampole,2,2020-20
FK Kauno Zalgiris,3,2020-20
Banga Gargzdai,4,2020-20
FK Panevėžys,5,2020-20
Suduva Marijampole,1,2019-19
Zalgiris Vilnius,2,2019-19
FK Kauno Zalgiris,3,2019-19
FK Riteriai,4,2019-19
FK Panevėžys,5,2019-19
FK Atlantas,6,2019-19
FK Palanga,7,2019-19
FC Stumbras,8,2019-19
Suduva Marijampole,1,2018-18
Zalgiris Vilnius,2,2018-18
FK Riteriai,3,2018-18
FC Stumbras,4,2018-18
FK Kauno Zalgiris,5,2018-18
FK Atlantas,6,2018-18
FK Palanga,7,2018-18
Lietava Jonava,8,2018-18
Suduva Marijampole,1,2017-17
Zalgiris Vilnius,2,2017-17
FK Riteriai,3,2017-17
Lietava Jonava,4,2017-17
FK Atlantas,5,2017-17
FK Utenis Utena,6,2017-17
FC Stumbras,7,2017-17
FK Šilas,8,2017-17
Zalgiris Vilnius,1,2016-16
FK Riteriai,2,2016-16
Suduva Marijampole,3,2016-16
FK Atlantas,4,2016-16
FC Stumbras,5,2016-16
Lietava Jonava,6,2016-16
FK Utenis Utena,7,2016-16
FK Kauno Zalgiris,8,2016-16
Zalgiris Vilnius,1,2015-15
FK Riteriai,2,2015-15
FK Atlantas,3,2015-15
Suduva Marijampole,4,2015-15
FK Kauno Zalgiris,5,2015-15
FK Utenis Utena,6,2015-15
FC Stumbras,7,2015-15
Klaipedos Granitas,8,2015-15
Kruoja Pakruojis,9,2015-15
Siauliai,10,2015-15
Zalgiris Vilnius,1,2014-14
Kruoja Pakruojis,2,2014-14
FK Atlantas,3,2014-14
FK Riteriai,4,2014-14
Suduva Marijampole,5,2014-14
Ekranas,6,2014-14
Siauliai,7,2014-14
Klaipedos Granitas,8,2014-14
Banga Gargzdai,9,2014-14
Dainava Alytus,10,2014-14
Zalgiris Vilnius,1,2013-13
FK Atlantas,2,2013-13
Ekranas,3,2013-13
Suduva Marijampole,4,2013-13
Kruoja Pakruojis,5,2013-13
Banga Gargzdai,6,2013-13
Siauliai,7,2013-13
Dainava Alytus,8,2013-13
FK Tauras Taurage,9,2013-13
